goal,element,element_name,po_chemicals,po_chemicals_3nm,po_pathogens,po_nutrients,po_nutrients_3nm,po_trash,sp_alien,sp_genetic,hd_subtidal_sb,hd_intertidal,fp_com_hb,fp_com_lb,fp_art_lb,fp_targetharvest,cc_sst,cc_acid,cc_uv,cc_slr,ss_wgi
AO,,,,1,,,1,,1,,1,1,2,1,,2,3,,,2,1
CP,seaice_shoreline,,,,,,,,,,,,,,,,3,,,3,1
CW,,,,3,3,,3,3,,,,,,,,,,,,,1
ECO,fishing,Commericial Fishing,2,,,1,,,1,1,2,1,3,1,1,,,,,,1
ECO,tourism,Tourism,3,,3,,3,3,,,,,,,,,3,,,2,1
ECO,transport,Ocean Transport,,,,,,,,,,,,,,,1,,,1,
ECO,food,Food Processing,2,,,3,3,,1,,2,,,,,,2,,,1,
FIS,,,1,,,1,,,1,1,2,1,3,1,1,,3,,,,1
HAB,seaice_edge,,,,,,,,,,,,,,,,3,,,1,1
HAB,soft_bottom,,,2,,,2,,1,,3,,3,1,1,,,,,,1
ICO,,,,2,,,1,1,1,,,1,2,,,2,3,1,,,1
LIV,fishing,Commericial Fishing,2,,,1,,,1,1,2,1,3,1,1,,3,,,,1
LIV,tourism,Tourism,3,,3,,3,3,,,,,,,,,3,,,2,1
LIV,transport,Transportation & Shipping,,,,,,,1,,,,,,,,,,,1,1
LIV,education,Education,,,,,,,,,,,,,,,3,,,,
LIV,food,Food Processing,2,,,3,3,,1,,2,,,,,,2,,,1,
LSP,,,,2,,,2,3,1,,,3,,,,,3,,,1,1
MAR,,,2,,,,3,,,,,,,,,,3,,,1,1
NP,,,1,,,2,,,1,,,,,,,,3,1,1,1,1
SPP,,,2,,,3,,1,1,1,3,2,3,1,1,1,3,1,1,1,1
TR,,,,3,3,,3,3,,,,,,,,,3,,,2,1
