"cell_id","ocean","fao_id","rgn_name","proportionArea","rgn_id","area"
1,"Arctic",18,NA,NA,NA,NA
2,"Arctic",18,NA,NA,NA,NA
3,"Arctic",18,NA,NA,NA,NA
4,"Arctic",18,NA,NA,NA,NA
5,"Arctic",18,NA,NA,NA,NA
6,"Arctic",18,NA,NA,NA,NA
7,"Arctic",18,NA,NA,NA,NA
8,"Arctic",18,NA,NA,NA,NA
9,"Arctic",18,NA,NA,NA,NA
10,"Arctic",18,NA,NA,NA,NA
11,"Arctic",18,NA,NA,NA,NA
12,"Arctic",18,NA,NA,NA,NA
13,"Arctic",18,NA,NA,NA,NA
14,"Arctic",18,NA,NA,NA,NA
15,"Arctic",18,NA,NA,NA,NA
16,"Arctic",18,NA,NA,NA,NA
17,"Arctic",18,NA,NA,NA,NA
18,"Arctic",18,NA,NA,NA,NA
19,"Arctic",18,NA,NA,NA,NA
20,"Arctic",18,NA,NA,NA,NA
21,"Arctic",18,NA,NA,NA,NA
22,"Arctic",18,NA,NA,NA,NA
23,"Arctic",18,NA,NA,NA,NA
24,"Arctic",18,NA,NA,NA,NA
25,"Arctic",18,NA,NA,NA,NA
26,"Arctic",18,NA,NA,NA,NA
27,"Arctic",18,NA,NA,NA,NA
28,"Arctic",18,NA,NA,NA,NA
29,"Arctic",18,NA,NA,NA,NA
30,"Arctic",18,NA,NA,NA,NA
31,"Arctic",18,NA,NA,NA,NA
32,"Arctic",18,NA,NA,NA,NA
33,"Arctic",18,NA,NA,NA,NA
34,"Arctic",18,NA,NA,NA,NA
35,"Arctic",18,NA,NA,NA,NA
36,"Arctic",18,NA,NA,NA,NA
37,"Arctic",18,NA,NA,NA,NA
38,"Arctic",18,NA,NA,NA,NA
39,"Arctic",18,NA,NA,NA,NA
40,"Arctic",18,NA,NA,NA,NA
41,"Arctic",18,NA,NA,NA,NA
42,"Arctic",18,NA,NA,NA,NA
43,"Arctic",18,NA,NA,NA,NA
44,"Arctic",18,NA,NA,NA,NA
45,"Arctic",18,NA,NA,NA,NA
46,"Arctic",18,NA,NA,NA,NA
47,"Arctic",18,NA,NA,NA,NA
48,"Arctic",18,NA,NA,NA,NA
49,"Arctic",18,NA,NA,NA,NA
50,"Arctic",18,NA,NA,NA,NA
51,"Arctic",18,NA,NA,NA,NA
52,"Arctic",18,NA,NA,NA,NA
53,"Arctic",18,NA,NA,NA,NA
54,"Arctic",18,NA,NA,NA,NA
55,"Arctic",18,NA,NA,NA,NA
56,"Arctic",18,NA,NA,NA,NA
57,"Arctic",18,NA,NA,NA,NA
58,"Arctic",18,NA,NA,NA,NA
59,"Arctic",18,NA,NA,NA,NA
60,"Arctic",18,NA,NA,NA,NA
61,"Arctic",18,NA,NA,NA,NA
62,"Arctic",18,NA,NA,NA,NA
63,"Arctic",18,NA,NA,NA,NA
64,"Arctic",18,NA,NA,NA,NA
65,"Arctic",18,NA,NA,NA,NA
66,"Arctic",18,NA,NA,NA,NA
67,"Arctic",18,NA,NA,NA,NA
68,"Arctic",18,NA,NA,NA,NA
69,"Arctic",18,NA,NA,NA,NA
70,"Arctic",18,NA,NA,NA,NA
71,"Arctic",18,NA,NA,NA,NA
72,"Arctic",18,NA,NA,NA,NA
73,"Arctic",18,NA,NA,NA,NA
74,"Arctic",18,NA,NA,NA,NA
75,"Arctic",18,NA,NA,NA,NA
76,"Arctic",18,NA,NA,NA,NA
77,"Arctic",18,NA,NA,NA,NA
78,"Arctic",18,NA,NA,NA,NA
79,"Arctic",18,NA,NA,NA,NA
80,"Arctic",18,NA,NA,NA,NA
81,"Arctic",18,NA,NA,NA,NA
82,"Arctic",18,NA,NA,NA,NA
83,"Arctic",18,NA,NA,NA,NA
84,"Arctic",18,NA,NA,NA,NA
85,"Arctic",18,NA,NA,NA,NA
86,"Arctic",18,NA,NA,NA,NA
87,"Arctic",18,NA,NA,NA,NA
88,"Arctic",18,NA,NA,NA,NA
89,"Arctic",18,NA,NA,NA,NA
90,"Arctic",18,NA,NA,NA,NA
91,"Arctic",18,NA,NA,NA,NA
92,"Arctic",18,NA,NA,NA,NA
93,"Arctic",18,NA,NA,NA,NA
94,"Arctic",18,NA,NA,NA,NA
95,"Arctic",18,NA,NA,NA,NA
96,"Arctic",18,NA,NA,NA,NA
97,"Arctic",18,NA,NA,NA,NA
98,"Arctic",18,NA,NA,NA,NA
99,"Arctic",18,NA,NA,NA,NA
100,"Arctic",18,NA,NA,NA,NA
101,"Arctic",18,NA,NA,NA,NA
102,"Arctic",18,NA,NA,NA,NA
103,"Arctic",18,NA,NA,NA,NA
104,"Arctic",18,NA,NA,NA,NA
105,"Arctic",18,NA,NA,NA,NA
106,"Arctic",18,NA,NA,NA,NA
107,"Arctic",18,NA,NA,NA,NA
108,"Arctic",18,NA,NA,NA,NA
109,"Arctic",18,NA,NA,NA,NA
110,"Arctic",18,NA,NA,NA,NA
111,"Arctic",18,NA,NA,NA,NA
112,"Arctic",18,NA,NA,NA,NA
113,"Arctic",18,NA,NA,NA,NA
114,"Arctic",18,NA,NA,NA,NA
115,"Arctic",18,NA,NA,NA,NA
116,"Arctic",18,NA,NA,NA,NA
117,"Arctic",18,NA,NA,NA,NA
118,"Arctic",18,NA,NA,NA,NA
119,"Arctic",18,NA,NA,NA,NA
120,"Arctic",18,NA,NA,NA,NA
121,"Arctic",18,NA,NA,NA,NA
122,"Arctic",18,NA,NA,NA,NA
123,"Arctic",18,NA,NA,NA,NA
124,"Arctic",18,NA,NA,NA,NA
125,"Arctic",18,NA,NA,NA,NA
126,"Arctic",18,NA,NA,NA,NA
127,"Arctic",18,NA,NA,NA,NA
128,"Arctic",18,NA,NA,NA,NA
129,"Arctic",18,NA,NA,NA,NA
130,"Arctic",18,NA,NA,NA,NA
131,"Arctic",18,NA,NA,NA,NA
132,"Arctic",18,NA,NA,NA,NA
133,"Arctic",18,NA,NA,NA,NA
134,"Arctic",18,NA,NA,NA,NA
135,"Arctic",18,NA,NA,NA,NA
136,"Arctic",18,NA,NA,NA,NA
137,"Arctic",18,NA,NA,NA,NA
138,"Arctic",18,NA,NA,NA,NA
139,"Arctic",18,NA,NA,NA,NA
140,"Arctic",18,NA,NA,NA,NA
141,"Arctic",18,NA,NA,NA,NA
142,"Arctic",18,NA,NA,NA,NA
143,"Arctic",18,NA,NA,NA,NA
144,"Arctic",18,NA,NA,NA,NA
145,"Arctic",18,NA,NA,NA,NA
146,"Arctic",18,NA,NA,NA,NA
147,"Arctic",18,NA,NA,NA,NA
148,"Arctic",18,NA,NA,NA,NA
149,"Arctic",18,NA,NA,NA,NA
150,"Arctic",18,NA,NA,NA,NA
151,"Arctic",18,NA,NA,NA,NA
152,"Arctic",18,NA,NA,NA,NA
153,"Arctic",18,NA,NA,NA,NA
154,"Arctic",18,NA,NA,NA,NA
155,"Arctic",18,NA,NA,NA,NA
156,"Arctic",18,NA,NA,NA,NA
157,"Arctic",18,NA,NA,NA,NA
158,"Arctic",18,NA,NA,NA,NA
159,"Arctic",18,NA,NA,NA,NA
160,"Arctic",18,NA,NA,NA,NA
161,"Arctic",18,NA,NA,NA,NA
162,"Arctic",18,NA,NA,NA,NA
163,"Arctic",18,NA,NA,NA,NA
164,"Arctic",18,NA,NA,NA,NA
165,"Arctic",18,NA,NA,NA,NA
166,"Arctic",18,NA,NA,NA,NA
