"rgn_id","habitat","extent_rank"
1,"mangrove",107911.523857406
1,"saltmarsh",374549.8
1,"seagrass",226567.85499287
2,"mangrove",107911.523857406
2,"saltmarsh",374549.8
2,"seagrass",226567.85499287
3,"mangrove",107911.523857406
3,"saltmarsh",374549.8
3,"seagrass",226567.85499287
4,"mangrove",107911.523857406
4,"saltmarsh",374549.8
4,"seagrass",226567.85499287
5,"mangrove",107911.523857406
5,"saltmarsh",374549.8
5,"seagrass",226567.85499287
6,"mangrove",107911.523857406
6,"saltmarsh",374549.8
6,"seagrass",226567.85499287
7,"mangrove",107911.523857406
7,"saltmarsh",374549.8
7,"seagrass",226567.85499287
8,"mangrove",107911.523857406
8,"saltmarsh",374549.8
8,"seagrass",226567.85499287
9,"mangrove",107911.523857406
9,"saltmarsh",374549.8
9,"seagrass",226567.85499287
