rgn_id,habitat,health
1,coral,0.422873323253544
1,mangrove,0.709090909090909
1,saltmarsh,0.5
1,seaice_edge,0.906039462625238
1,seaice_shoreline,0.942348754448399
1,seagrass,1
1,soft_bottom,0.958429278325
2,saltmarsh,0.5
2,seaice_edge,0.904111955499228
2,seagrass,1
2,seaice_shoreline,0.951758064370677
2,soft_bottom,1
3,saltmarsh,0.5
3,seaice_edge,0.904111955499228
3,seagrass,1
3,seaice_shoreline,0.951758064370677
3,soft_bottom,1
4,seaice_shoreline,0.904937659523678
4,seagrass,1
4,soft_bottom,0.99425731898
4,seaice_edge,1
5,soft_bottom,0.921047292093
5,seaice_edge,0.78193160135036
5,seaice_shoreline,0.573463665984694
6,soft_bottom,0.921047292093
6,seaice_edge,0.78193160135036
6,seaice_shoreline,0.573463665984694
7,soft_bottom,0.921047292093
7,seaice_edge,0.78193160135036
7,seaice_shoreline,0.573463665984694
8,seagrass,1
8,soft_bottom,0.903656562515
8,seaice_edge,0.810477506886647
8,seaice_shoreline,0.894230881137763
9,seagrass,1
9,soft_bottom,0.903656562515
9,seaice_edge,0.810477506886647
9,seaice_shoreline,0.894230881137763
