rgn_id,sciname,category
1,Alopias vulpinus,VU
1,Balaena mysticetus,NT
1,Balaena mysticetus,LC
1,Balaenoptera acutorostrata,LC
1,Balaenoptera borealis,EN
1,Balaenoptera musculus,EN
1,Balaenoptera physalus,EN
1,Carcharhinus amblyrhynchos,NT
1,Carcharhinus perezi,NT
1,Carcharodon carcharias,VU
1,Caretta caretta,EN
1,Cetorhinus maximus,VU
1,Cetorhinus maximus,EN
1,Chelonia mydas,EN
1,Chelonia mydas,LC
1,Dermochelys coriacea,LC
1,Dermochelys coriacea,VU
1,Dermochelys coriacea,CR
1,Dermochelys coriacea,CR
1,Eretmochelys imbricata,CR
1,Eschrichtius robustus,LC
1,Eubalaena glacialis,EN
1,Eubalaena japonica,EN
1,Eubalaena japonica,CR
1,Galeocerdo cuvier,NT
1,Isurus oxyrinchus,VU
1,Isurus oxyrinchus,VU
1,Isurus oxyrinchus,NT
1,Isurus paucus,VU
1,Lamna nasus,VU
1,Lamna nasus,EN
1,Lepidochelys kempii,CR
1,Lepidochelys olivacea,VU
1,Megaptera novaeangliae,LC
1,Prionace glauca,NT
1,Rhincodon typus,VU
1,Triaenodon obesus,NT
1,Ursus maritimus,VU
2,Alopias vulpinus,VU
2,Balaena mysticetus,NT
2,Balaena mysticetus,LC
2,Balaenoptera acutorostrata,LC
2,Balaenoptera borealis,EN
2,Balaenoptera musculus,EN
2,Balaenoptera physalus,EN
2,Cetorhinus maximus,VU
2,Cetorhinus maximus,EN
2,Dermochelys coriacea,LC
2,Dermochelys coriacea,VU
2,Dermochelys coriacea,CR
2,Eschrichtius robustus,LC
2,Eubalaena glacialis,EN
2,Eubalaena japonica,CR
2,Isurus oxyrinchus,VU
2,Isurus oxyrinchus,VU
2,Lamna nasus,VU
2,Lamna nasus,EN
2,Megaptera novaeangliae,LC
2,Prionace glauca,NT
2,Ursus maritimus,VU
3,Alopias vulpinus,VU
3,Balaena mysticetus,NT
3,Balaena mysticetus,LC
3,Balaenoptera acutorostrata,LC
3,Balaenoptera borealis,EN
3,Balaenoptera musculus,EN
3,Balaenoptera physalus,EN
3,Cetorhinus maximus,VU
3,Cetorhinus maximus,EN
3,Dermochelys coriacea,LC
3,Dermochelys coriacea,VU
3,Dermochelys coriacea,CR
3,Eschrichtius robustus,LC
3,Eubalaena glacialis,EN
3,Eubalaena japonica,CR
3,Isurus oxyrinchus,VU
3,Isurus oxyrinchus,VU
3,Lamna nasus,VU
3,Lamna nasus,EN
3,Megaptera novaeangliae,LC
3,Prionace glauca,NT
3,Ursus maritimus,VU
4,Balaena mysticetus,NT
4,Balaena mysticetus,EN
4,Balaenoptera acutorostrata,LC
4,Balaenoptera borealis,EN
4,Balaenoptera musculus,EN
4,Balaenoptera physalus,EN
4,Cetorhinus maximus,VU
4,Cetorhinus maximus,EN
4,Dermochelys coriacea,VU
4,Dermochelys coriacea,CR
4,Eschrichtius robustus,CR
4,Eschrichtius robustus,LC
4,Eubalaena japonica,EN
4,Isurus oxyrinchus,VU
4,Isurus oxyrinchus,VU
4,Lamna nasus,CR
4,Megaptera novaeangliae,LC
4,Ursus maritimus,VU
5,Alopias vulpinus,VU
5,Balaenoptera acutorostrata,LC
5,Balaenoptera borealis,EN
5,Balaenoptera musculus,EN
5,Balaenoptera physalus,EN
5,Cetorhinus maximus,EN
5,Cetorhinus maximus,VU
5,Eubalaena glacialis,EN
5,Isurus oxyrinchus,VU
5,Isurus oxyrinchus,VU
5,Lamna nasus,CR
5,Megaptera novaeangliae,LC
5,Prionace glauca,NT
5,Ursus maritimus,VU
6,Alopias vulpinus,VU
6,Balaenoptera acutorostrata,LC
6,Balaenoptera borealis,EN
6,Balaenoptera musculus,EN
6,Balaenoptera physalus,EN
6,Cetorhinus maximus,EN
6,Cetorhinus maximus,VU
6,Eubalaena glacialis,EN
6,Isurus oxyrinchus,VU
6,Isurus oxyrinchus,VU
6,Lamna nasus,CR
6,Megaptera novaeangliae,LC
6,Prionace glauca,NT
6,Ursus maritimus,VU
7,Alopias vulpinus,VU
7,Balaenoptera acutorostrata,LC
7,Balaenoptera borealis,EN
7,Balaenoptera musculus,EN
7,Balaenoptera physalus,EN
7,Cetorhinus maximus,EN
7,Cetorhinus maximus,VU
7,Eubalaena glacialis,EN
7,Isurus oxyrinchus,VU
7,Isurus oxyrinchus,VU
7,Lamna nasus,CR
7,Megaptera novaeangliae,LC
7,Prionace glauca,NT
7,Ursus maritimus,VU
8,Balaena mysticetus,CR
8,Balaena mysticetus,LC
8,Balaenoptera acutorostrata,LC
8,Balaenoptera borealis,EN
8,Balaenoptera musculus,EN
8,Balaenoptera physalus,EN
8,Cetorhinus maximus,EN
8,Eubalaena glacialis,EN
8,Lamna nasus,VU
8,Lamna nasus,EN
8,Megaptera novaeangliae,LC
8,Ursus maritimus,VU
9,Balaena mysticetus,CR
9,Balaena mysticetus,LC
9,Balaenoptera acutorostrata,LC
9,Balaenoptera borealis,EN
9,Balaenoptera musculus,EN
9,Balaenoptera physalus,EN
9,Cetorhinus maximus,EN
9,Eubalaena glacialis,EN
9,Lamna nasus,VU
9,Lamna nasus,EN
9,Megaptera novaeangliae,LC
9,Ursus maritimus,VU
