rgn_id,sector,year,usd
1,tourism,1997,242971935
1,transport,1997,1869175775
1,tourism,1998,250063953.5
1,transport,1998,1860215116
1,tourism,1999,272256045.5
1,transport,1999,1874571835
1,tourism,2000,289237964.2
1,transport,2000,1826971114
1,tourism,2001,294763052.2
1,transport,2001,2198243641
1,tourism,2002,319641633.7
1,transport,2002,1861881423
1,tourism,2003,326628866
1,transport,2003,1904118557
1,tourism,2004,341119197
1,transport,2004,1967061481
1,tourism,2005,341398058.3
1,transport,2005,1930674757
1,tourism,2006,346096357.2
1,transport,2006,1996987074
1,tourism,2007,349010285.7
1,transport,2007,2099995429
1,tourism,2008,342303964.8
1,transport,2008,2174422907
1,tourism,2009,333007734.8
1,transport,2009,2113829834
1,tourism,2010,339121739.1
1,transport,2010,2344095652
1,tourism,2011,349896733.4
1,transport,2011,2359751317
1,tourism,2012,359236326.1
1,transport,2012,2353424149
1,tourism,2013,372126144.5
1,transport,2013,2366242116
1,tourism,2014,390026026
1,transport,2014,2403939940
2,fishing,2004,2341088.09
2,tourism,2004,24021599.54
2,transport,2004,41936012.75
2,fishing,2005,2299901.896
2,tourism,2005,20599121.32
2,transport,2005,36798430.33
2,fishing,2006,1752379.318
2,tourism,2006,19276172.5
2,transport,2006,37870864.15
2,fishing,2007,2165559.623
2,tourism,2007,19395881.84
2,transport,2007,31918465.74
2,fishing,2008,2141277.721
2,tourism,2008,18736180.06
2,transport,2008,33457464.39
2,fishing,2009,2939472.13
2,tourism,2009,19382144.36
2,transport,2009,31415608.4
2,fishing,2010,2405861.234
2,tourism,2010,19157783.9
2,transport,2010,35553282.68
2,fishing,2011,2209627.542
2,tourism,2011,22266246.77
2,transport,2011,39093410.35
2,fishing,2012,2238761.078
2,tourism,2012,19319678.94
2,transport,2012,38556440.78
2,fishing,2013,2259738.275
2,tourism,2013,18831152.29
2,transport,2013,40340512.9
3,tourism,2004,11895373.95
3,transport,2004,30583974.82
3,tourism,2005,11250320.11
3,transport,2005,36023863.36
3,tourism,2006,10865920.02
3,transport,2006,33053962.82
3,tourism,2007,10749461.35
3,transport,2007,32716333.22
3,tourism,2008,10566134.92
3,transport,2008,30811558.89
3,tourism,2009,9665535.516
3,transport,2009,28605289.33
3,tourism,2010,9312643.307
3,transport,2010,28393439.65
3,tourism,2011,8616527.585
3,transport,2011,27068447.3
3,tourism,2012,8300828.575
3,transport,2012,28234591.38
3,tourism,2013,53522989.05
3,transport,2013,27881152.99
4,fishing,2008,1422570076
4,tourism,2008,833516504.2
4,transport,2008,9312686758
4,fishing,2009,1608057625
4,tourism,2009,787781295.7
4,transport,2009,9040632487
4,fishing,2010,1414943734
4,tourism,2010,803751519.3
4,transport,2010,9845912517
4,fishing,2011,1580338852
4,tourism,2011,794047861.7
4,transport,2011,9973787762
4,fishing,2012,1544924520
4,tourism,2012,843442973.8
4,transport,2012,12139356893
4,fishing,2013,1578669464
4,tourism,2013,847413978.1
4,transport,2013,11376026212
4,fishing,2014,1988672263
4,tourism,2014,860361243.3
4,transport,2014,11491803015
5,education,2008,6165936.559
5,tourism,2008,16358607.2
5,transport,2008,8053468.159
5,education,2009,6907231.38
5,tourism,2009,14677866.69
5,transport,2009,5550453.788
5,education,2010,18342410.46
5,tourism,2010,15687587.89
5,transport,2010,7723120.195
5,education,2011,12431571.11
5,tourism,2011,15715382.34
5,transport,2011,9734154.731
5,education,2012,13479071.36
5,tourism,2012,14278677.3
5,transport,2012,9138353.467
5,education,2013,15852085.73
5,tourism,2013,18662739.23
5,transport,2013,9893500.312
6,fishing,2008,570034543.2
6,tourism,2008,630435554.3
6,transport,2008,17742797.04
6,fishing,2009,722792426.5
6,tourism,2009,619183955.8
6,transport,2009,13567775.92
6,fishing,2010,997971937.6
6,tourism,2010,654051741.4
6,transport,2010,22203970.55
6,fishing,2011,838544654.6
6,tourism,2011,706019415.5
6,transport,2011,24628584.26
6,fishing,2012,710506982.1
6,tourism,2012,710506982.1
6,transport,2012,26158536.8
6,fishing,2013,1017456567
6,tourism,2013,722900079.7
6,transport,2013,18213034.67
7,NA,NA,NA
8,fishing,2003,47448818.99
8,tourism,2003,25790123.25
8,transport,2003,38293951.21
8,fishing,2004,54485228.32
8,tourism,2004,35536029.91
8,transport,2004,43594884.4
8,fishing,2005,54121723.82
8,tourism,2005,36037977.04
8,transport,2005,42125254.38
8,fishing,2006,57414887.25
8,tourism,2006,35093901.35
8,transport,2006,36706323.84
8,fishing,2007,54198422.91
8,tourism,2007,42408124.54
8,transport,2007,36227455.29
8,fishing,2008,53971581.75
8,tourism,2008,44293680.44
8,transport,2008,54161683.38
8,fishing,2009,54547129.72
8,tourism,2009,47456662.44
8,transport,2009,54415214.06
8,fishing,2010,52646338.55
8,tourism,2010,47946048.72
8,transport,2010,53295720.71
8,fishing,2011,60656648.89
8,tourism,2011,42348170.35
8,transport,2011,57877403
8,fishing,2012,51324546.77
8,tourism,2012,36800883.02
8,transport,2012,46079494.51
8,fishing,2013,56716064.64
8,tourism,2013,36197427.05
8,transport,2013,39414332.1
9,fishing,2003,11862204.75
9,tourism,2003,6447530.813
9,transport,2003,9573487.803
9,fishing,2004,13621307.08
9,tourism,2004,8884007.477
9,transport,2004,10898721.1
9,fishing,2005,13530430.96
9,tourism,2005,9009494.258
9,transport,2005,10531313.59
9,fishing,2006,14353721.81
9,tourism,2006,8773475.337
9,transport,2006,9176580.961
9,fishing,2007,13549605.73
