rgn_id,sector,year,value
1,tour,2005,1591706.48193
1,tour,2006,1647899.99855
1,tour,2007,1673128.45888
1,tour,2008,1685365.83237
1,tour,2009,1554722.18719
1,tour,2010,1520051.37366
2,cf,1999,37880.4363
2,cf,2000,34357.085
2,cf,2001,32878.1523
2,cf,2002,33922.5096
2,cf,2003,32160.6362
2,cf,2004,38904.544
2,tour,2005,332943.422695
2,tour,2006,318450.060257
2,tour,2007,296306.103221
2,tour,2008,294975.56503
2,tour,2009,281052.433245
2,tour,2010,289748.450708
2,wte,2005,8.695
2,wte,2006,8.695
2,wte,2007,8.695
2,wte,2008,8.695
2,wte,2009,8.695
2,wte,2010,8.695
4,cf,2000,132168.19
4,cf,2001,130451.72
4,cf,2002,124629.96
4,cf,2003,124368.93
4,cf,2004,126979.23
4,cf,2005,126979.23
4,mar,2000,1.340499935491
4,mar,2001,1.443615315903
4,mar,2002,1.443615315903
4,mar,2003,1.443615315903
4,mar,2004,1.443615315903
4,mar,2005,1.557751463931
4,mmw,1998,0
4,mmw,2008,3.83
4,tour,2005,360979.470794
4,tour,2006,367965.474884
4,tour,2007,380193.431551
4,tour,2008,378086.852478
4,tour,2009,410244.026984
4,tour,2010,389139.044081
5,cf,2003,21807.7118
5,cf,2004,20583.7975
5,cf,2005,19080.4229
5,cf,2006,17847.2539
5,cf,2007,17318.2331
5,cf,2008,16870.1316
5,mar,2003,10205.595
5,mar,2004,9899.55
5,mar,2005,9732.408471
5,mar,2006,10352.8048077
5,mar,2007,10590.7336164
5,mar,2008,10868.069808
5,mmw,1998,49.79
5,mmw,2008,78.515
5,tour,2005,100681.539844
5,tour,2006,90218.5562919
5,tour,2007,82190.3550756
5,tour,2008,92324.313988
5,tour,2009,93903.6322601
5,tour,2010,89165.6774439
8,mmw,1998,5.745
8,mmw,2007,7.66
