rgn_id,sector,year,usd
1,transport,2014,61584.78478
1,transport,2013,62728.26043
1,transport,2012,63034.49948
1,transport,2011,61109.24131
1,transport,2010,61764.68478
1,transport,2009,70346.79558
1,transport,2008,64114.87885
1,transport,2007,64676.06857
1,transport,2006,64500.97532
1,transport,2005,64240.95874
1,transport,2004,61673.47553
1,tourism,2004,44729.66123
1,tourism,2005,33764.34466
1,tourism,2006,38039.9765
1,tourism,2007,38589.98857
1,tourism,2008,38724.06388
1,tourism,2009,41580.58564
1,tourism,2010,40498.59783
1,tourism,2011,40270.17914
1,tourism,2012,40453.38493
1,tourism,2013,40443.43845
1,tourism,2014,50359.75976
2,fishing,2008,52089.7211
2,transport,2008,52089.7211
2,fishing,2009,56085.4222
2,transport,2009,56085.4222
2,fishing,2010,56475.07968
2,transport,2010,56475.07968
2,fishing,2011,56138.23925
2,transport,2011,56138.23925
2,fishing,2012,56899.19072
2,transport,2012,56899.19072
2,fishing,2013,58338.00589
2,transport,2013,58338.00589
2,fishing,2014,59032.31355
2,transport,2014,59032.31355
2,tourism,2008,52089.7211
2,tourism,2009,56085.4222
2,tourism,2010,56475.07968
2,tourism,2011,56138.23925
2,tourism,2012,56899.19072
2,tourism,2013,58338.00589
2,tourism,2014,59032.31355
3,transport,2001,49651.56396
3,transport,2002,49638.68062
3,transport,2003,49633.64866
3,transport,2004,49352.18625
3,transport,2005,50524.68482
3,transport,2006,50836.91343
3,transport,2007,52254.70261
3,transport,2008,49408.93954
3,transport,2009,50224.16376
3,transport,2010,48625.02476
3,transport,2011,47792.80747
3,transport,2012,48522.33548
3,transport,2013,51227.01963
3,transport,2014,52221.88872
3,transport,2015,52266.37553
3,tourism,2001,49651.56396
3,tourism,2002,49638.68062
3,tourism,2003,49633.64866
3,tourism,2004,49352.18625
3,tourism,2005,50524.68482
3,tourism,2006,50836.91343
3,tourism,2007,52254.70261
3,tourism,2008,49408.93954
3,tourism,2009,50224.16376
3,tourism,2010,48625.02476
3,tourism,2011,47792.80747
3,tourism,2012,48522.33548
3,tourism,2013,51227.01963
3,tourism,2014,52221.88872
3,tourism,2015,52266.37553
4,fishing,2010,27843.92425
4,transport,2010,27843.92425
4,fishing,2011,26353.03985
4,transport,2011,26353.03985
4,fishing,2012,28252.90643
4,transport,2012,28252.90643
4,fishing,2013,26909.97219
4,transport,2013,26909.97219
4,fishing,2014,26698.22949
4,transport,2014,26698.22949
4,tourism,2010,27843.92425
4,tourism,2011,26353.03985
4,tourism,2012,28252.90643
4,tourism,2013,26909.97219
4,tourism,2014,26698.22949
5,transport,2009,52544.29586
5,education,2009,53876.40476
5,transport,2010,53144.72084
5,education,2010,55027.23138
5,transport,2011,53479.21154
5,education,2011,55027.29397
5,transport,2012,53870.59369
5,education,2012,56475.02443
5,transport,2013,54774.01536
5,education,2013,56527.86314
5,transport,2014,53859.56446
5,education,2014,55916.25428
5,tourism,2009,43462.81775
5,tourism,2010,43534.5565
5,tourism,2011,43212.33372
5,tourism,2012,43478.17695
5,tourism,2013,43760.71637
5,tourism,2014,43104.79066
6,food,2010,41994.46605
6,fishing,2010,51986.2528
6,transport,2010,53144.72084
6,food,2011,41798.22586
6,fishing,2011,52916.27247
6,transport,2011,53479.21154
6,food,2012,41807.96711
6,fishing,2012,52636.91598
6,transport,2012,53870.59369
6,food,2013,42092.34679
6,fishing,2013,53559.81305
6,transport,2013,54774.01536
6,food,2014,40876.71003
6,fishing,2014,53859.56446
6,transport,2014,53859.56446
6,tourism,2010,49958.93376
6,tourism,2011,50101.57712
6,tourism,2012,50854.93705
6,tourism,2013,51805.96527
6,tourism,2014,50903.07286
7,NA,NA,NA
8,fishing,2008,41805.5093
8,transport,2008,41805.5093
8,fishing,2009,40916.53084
8,transport,2009,40916.53084
8,fishing,2010,39004.86824
8,transport,2010,39004.86824
8,fishing,2011,40697.30614
8,transport,2011,40697.30614
8,fishing,2012,37970.68646
8,transport,2012,37970.68646
8,fishing,2013,39359.81135
8,transport,2013,39359.81135
8,tourism,2008,41805.5093
8,tourism,2009,40916.53084
8,tourism,2010,39004.86824
8,tourism,2011,40697.30614
8,tourism,2012,37970.68646
8,tourism,2013,39359.81135
9,fishing,2008,41805.5093
9,transport,2008,41805.5093
9,fishing,2009,40916.53084
9,transport,2009,40916.53084
9,fishing,2010,39004.86824
9,transport,2010,39004.86824
9,fishing,2011,40697.30614
9,transport,2011,40697.30614
9,fishing,2012,37970.68646
9,transport,2012,37970.68646
9,fishing,2013,39359.81135
9,transport,2013,39359.81135
9,tourism,2008,41805.5093
9,tourism,2009,40916.53084
9,tourism,2010,39004.86824
9,tourism,2011,40697.30614
9,tourism,2012,37970.68646
9,tourism,2013,39359.81135
