rgn_id,year,area_km2
1,0,10963
1,1878,0
1,1883,0
1,1888,0
1,1889,0
1,1895,0
1,1896,0
1,1898,0
1,1900,0
1,1902,0
1,1903,8
1,1904,20.75
1,1905,0
1,1906,0
1,1907,0
1,1908,14
1,1909,71.25
1,1910,0
1,1911,0
1,1912,0
1,1913,0.5
1,1914,1
1,1915,1.5
1,1916,48
1,1917,0
1,1918,0
1,1919,0
1,1920,3.75
1,1921,0
1,1922,0
1,1923,196
1,1924,17.25
1,1925,0
1,1926,0
1,1927,0
1,1928,0
1,1929,2
1,1930,85.5
1,1931,97.5
1,1932,1020.25
1,1933,15.25
1,1934,5.5
1,1935,49
1,1936,24
1,1937,346.5
1,1938,294.75
1,1939,64.75
1,1940,0
1,1941,18.5
1,1942,0
1,1943,88
1,1944,11.5
1,1945,16.5
1,1946,4
1,1947,3.75
1,1948,0
1,1949,6.25
1,1950,0
1,1951,1.25
1,1952,1
1,1953,4.5
1,1954,80
1,1955,0.75
1,1956,0
1,1957,11.75
1,1958,0
1,1959,16.25
1,1960,870.25
1,1961,70
1,1962,282
1,1963,124
1,1964,83
1,1965,83.25
1,1966,131
1,1967,57
1,1968,68.25
1,1969,324.5
1,1970,464.75
1,1971,235
1,1972,730.75
1,1973,9
1,1974,124.5
1,1975,214.5
1,1976,201.5
1,1977,3
1,1978,518
1,1979,1779.5
1,1980,8458.75
1,1981,3.25
1,1982,7
1,1983,78
1,1984,399
1,1985,17.25
1,1986,285.25
1,1987,1128.5
1,1988,130
1,1989,204.5
1,1990,362.75
1,1991,16.75
1,1992,359.75
1,1993,51.75
1,1994,51.25
1,1995,30.5
1,1996,12.25
1,1997,5.5
1,1998,43.75
1,1999,44
1,2000,4.75
1,2001,0
1,2002,8.25
1,2003,1.25
1,2004,3.5
1,2005,5
1,2006,72.25
1,2007,4.25
1,2008,0.5
1,2009,2.75
1,2010,867.25
1,2011,2.5
1,2012,14
1,2013,0
1,2014,0
2,0,28
2,1878,0
2,1883,0
2,1888,0
2,1889,0
2,1895,0
2,1896,0
2,1898,0
2,1900,0
2,1902,0
2,1903,0
2,1904,0
2,1905,0
2,1906,0
2,1907,0
2,1908,0
2,1909,0
2,1910,0
2,1911,18
2,1912,0
2,1913,0
2,1914,0
2,1915,0
2,1916,0
2,1917,0
2,1918,0
2,1919,5.25
2,1920,0
2,1921,0.25
2,1922,0
2,1923,1.75
2,1924,0
2,1925,35.75
2,1926,0
2,1927,0.75
2,1928,0
2,1929,0
2,1930,0
2,1931,2
2,1932,0
2,1933,0
2,1934,0
2,1935,0
2,1936,36.5
2,1937,29.25
2,1938,0.25
2,1939,2.25
2,1940,0.75
2,1941,191.5
2,1942,0
2,1943,0
2,1944,0
2,1945,0
2,1946,0
2,1947,0
2,1948,14.75
2,1949,0
2,1950,1
2,1951,0
2,1952,0
2,1953,0
2,1954,0.25
2,1955,14.25
2,1956,0.5
2,1957,120.25
2,1958,18.25
2,1959,145.75
2,1960,49.75
2,1961,1367.25
2,1962,0.25
2,1963,0
2,1964,19.75
2,1965,265.25
2,1966,0.75
2,1967,4.25
2,1968,5
2,1969,0.25
2,1970,184
2,1971,79.5
2,1972,4.75
2,1973,246
2,1974,54.75
2,1975,8
2,1976,819.25
2,1977,25.5
2,1978,20.25
2,1979,75
2,1980,14.25
2,1981,26
2,1982,306.5
2,1983,31.5
2,1984,292.75
2,1985,200.25
2,1986,102.5
2,1987,1162
2,1988,678
2,1989,7.75
2,1990,9
2,1991,11.25
2,1992,82
2,1993,53
2,1994,15
2,1995,320.5
2,1996,995.25
2,1997,38.5
2,1998,164
2,1999,26.25
2,2000,12.75
2,2001,1089.25
2,2002,13.5
2,2003,635.75
2,2004,76.5
2,2005,1359.75
2,2006,838
2,2007,343.25
2,2008,1483.5
2,2009,141.5
2,2010,545.75
2,2011,1
2,2012,0.75
2,2013,106.5
2,2014,0
3,0,28
3,1878,0
3,1883,0
3,1888,0
3,1889,0
3,1895,0
3,1896,0
3,1898,0
3,1900,0
3,1902,0
3,1903,0
3,1904,0
3,1905,0
3,1906,0
3,1907,0
3,1908,0
3,1909,0
3,1910,0
3,1911,18
3,1912,0
3,1913,0
3,1914,0
3,1915,0
3,1916,0
3,1917,0
3,1918,0
3,1919,5.25
3,1920,0
3,1921,0.25
3,1922,0
3,1923,1.75
3,1924,0
3,1925,35.75
3,1926,0
3,1927,0.75
3,1928,0
3,1929,0
3,1930,0
3,1931,2
3,1932,0
3,1933,0
3,1934,0
3,1935,0
3,1936,36.5
3,1937,29.25
3,1938,0.25
3,1939,2.25
3,1940,0.75
3,1941,191.5
3,1942,0
3,1943,0
3,1944,0
3,1945,0
3,1946,0
3,1947,0
3,1948,14.75
3,1949,0
3,1950,1
3,1951,0
3,1952,0
3,1953,0
3,1954,0.25
3,1955,14.25
3,1956,0.5
3,1957,120.25
3,1958,18.25
3,1959,145.75
3,1960,49.75
3,1961,1367.25
3,1962,0.25
3,1963,0
3,1964,19.75
3,1965,265.25
3,1966,0.75
3,1967,4.25
3,1968,5
3,1969,0.25
3,1970,184
3,1971,79.5
3,1972,4.75
3,1973,246
3,1974,54.75
3,1975,8
3,1976,819.25
3,1977,25.5
3,1978,20.25
3,1979,75
3,1980,14.25
3,1981,26
3,1982,306.5
3,1983,31.5
3,1984,292.75
3,1985,200.25
3,1986,102.5
3,1987,1162
3,1988,678
3,1989,7.75
3,1990,9
3,1991,11.25
3,1992,82
3,1993,53
3,1994,15
3,1995,320.5
3,1996,995.25
3,1997,38.5
3,1998,164
3,1999,26.25
3,2000,12.75
3,2001,1089.25
3,2002,13.5
3,2003,635.75
3,2004,76.5
3,2005,1359.75
3,2006,838
3,2007,343.25
3,2008,1483.5
3,2009,141.5
3,2010,545.75
3,2011,1
3,2012,0.75
3,2013,106.5
3,2014,0
4,0,384.5
4,1878,0
4,1883,0
4,1888,0
4,1889,0
4,1895,0
4,1896,0
4,1898,0
4,1900,0
4,1902,0
4,1903,0
4,1904,0
4,1905,0
4,1906,0
4,1907,0
4,1908,0
4,1909,0
4,1910,0
4,1911,0
4,1912,0
4,1913,0
4,1914,0
4,1915,0
4,1916,0
4,1917,0
4,1918,0
4,1919,0
4,1920,0
4,1921,0
4,1922,0
4,1923,0
4,1924,0
4,1925,0
4,1926,0
4,1927,0
4,1928,0
4,1929,0
4,1930,0
4,1931,0
4,1932,114.5
4,1933,0
4,1934,0
4,1935,0
4,1936,0
4,1937,0
4,1938,0
4,1939,0
4,1940,0
4,1941,0
4,1942,0
4,1943,0
4,1944,0
4,1945,0
4,1946,0
