rgn_id,species_code,year,tonnes,,,,,
1,NA,NA,NA,,,,,
2,NA,NA,NA,,,,,
3,NA,NA,NA,,,,,
4,505,2003,300,,,,,
4,505,2004,203,,,,,
4,505,2005,200,,,,,
4,505,2006,229,,,,,
4,505,2007,108,,,,,
4,505,2008,51,,,,,
4,505,2009,2126,,,,,
4,505,2010,4500,,,,,
4,505,2011,8500,,,,,
4,505,2012,8754,,,,,
4,505,2013,22500,,,,,
5,NA,NA,NA,,,,,
6,505,2014,489843,,,,,
6,509,2014,7542,,,,,
6,363,2014,319,,,,,
6,549,2014,66,,,,,
6,364,2014,290,,,,,
6,195,2014,384,,,,,
6,505,2013,458580,,,,,
6,509,2013,8734,,,,,
6,363,2013,1613,,,,,
6,549,2013,120,,,,,
6,364,2013,593,,,,,
6,195,2013,625,,,,,
6,505,2012,458795,,,,,
6,509,2012,8141,,,,,
6,363,2012,5880,,,,,
6,549,2012,253,,,,,
6,364,2012,274,,,,,
6,195,2012,602,,,,,
6,505,2011,378035,,,,,
6,509,2011,4427,,,,,
6,363,2011,8359,,,,,
6,549,2011,178,,,,,
6,364,2011,223,,,,,
6,195,2011,661,,,,,
6,502,2011,158,,,,,
6,505,2010,346582,,,,,
6,509,2010,10314,,,,,
6,363,2010,13526,,,,,
6,549,2010,373,,,,,
6,364,2010,0,,,,,
6,195,2010,588,,,,,
6,502,2010,47,,,,,
6,505,2009,283072,,,,,
6,509,2009,23236,,,,,
6,363,2009,12764,,,,,
6,549,2009,390,,,,,
6,364,2009,140,,,,,
6,195,2009,342,,,,,
6,502,2009,60,,,,,
6,505,2008,256721,,,,,
6,509,2008,22624,,,,,
6,363,2008,10492,,,,,
6,549,2008,369,,,,,
6,364,2008,333,,,,,
6,195,2008,262,,,,,
6,502,2008,3,,,,,
6,505,2007,239087,,,,,
6,509,2007,13126,,,,,
6,363,2007,3030,,,,,
6,549,2007,350,,,,,
6,364,2007,210,,,,,
6,195,2007,816,,,,,
6,502,2007,21,,,,,
6,505,2006,224026,,,,,
6,509,2006,10894,,,,,
6,363,2006,2646,,,,,
6,549,2006,878,,,,,
6,364,2006,323,,,,,
6,195,2006,654,,,,,
6,502,2006,13,,,,,
6,505,2005,199329,,,,,
6,509,2005,10355,,,,,
6,363,2005,1502,,,,,
6,549,2005,350,,,,,
6,364,2005,177,,,,,
6,195,2005,520,,,,,
6,502,2005,2,,,,,
6,505,2004,197663,,,,,
6,509,2004,13411,,,,,
6,363,2004,1820,,,,,
6,549,2004,354,,,,,
6,364,2004,47,,,,,
6,195,2004,246,,,,,
6,502,2004,0,,,,,
7,NA,NA,NA,,,,,
8,NA,NA,NA,,,,,
9,NA,NA,NA,,,,,
