rgn_id,species_code,year,tonnes
1,504,1985,23
1,504,1986,281
1,504,1987,0
1,504,1988,56
1,504,1989,0
1,504,1990,0
1,504,1991,0
1,504,1992,0
1,504,1993,0
1,504,1994,0
1,504,1995,0
1,504,1996,265
1,504,1997,265
1,504,1998,0
1,504,1999,0
1,504,2000,0
1,504,2001,0
1,504,2002,0
1,504,2003,0
1,504,2004,262
1,504,2005,253
1,504,2006,175
1,504,2007,175
1,504,2008,175
1,504,2009,200
1,504,2010,250
1,504,2011,250
1,504,2012,250
1,504,2013,201
1,917,2005,26
1,917,2006,154
1,917,2007,330
1,917,2008,473
1,917,2009,251
1,917,2010,400
1,917,2011,400
1,917,2012,400
1,917,2013,400
1,149,1950,25000
1,149,1951,30000
1,149,1952,35000
1,149,1953,35000
1,149,1954,40000
1,149,1955,50000
1,149,1956,50000
1,149,1957,50000
1,149,1958,45000
1,149,1959,55000
1,149,1960,60000
1,149,1961,60000
1,149,1962,65000
1,149,1963,80000
1,149,1964,80000
1,149,1965,75000
1,149,1966,70000
1,149,1967,80000
1,149,1968,80000
1,149,1969,70000
1,149,1970,102300
1,149,1971,101000
1,149,1972,99600
1,149,1973,98200
1,149,1974,96850
1,149,1975,129060
1,149,1976,94100
1,149,1977,85000
1,149,1978,80000
1,149,1979,67400
1,149,1980,65800
1,149,1981,87200
1,149,1982,85900
1,149,1983,84500
1,149,1984,102889
1,149,1985,95740
1,149,1986,89268
1,149,1987,80893
1,149,1988,78861
1,149,1989,76807
1,149,1990,31835
1,149,1991,69013
1,149,1992,83544
1,149,1993,74611
1,149,1994,60873
1,149,1995,73991
1,149,1996,57005
1,149,1997,63166
1,149,1998,53097
1,149,1999,54037
1,149,2000,38255
1,149,2001,40629
1,149,2002,49539
1,149,2003,65632
1,149,2004,105287
1,149,2005,55188
1,149,2006,90000
1,149,2007,90000
1,149,2008,90000
1,149,2009,90000
1,149,2010,108279
1,149,2011,67975
1,149,2012,99047
1,149,2013,104000
1,534,1986,8
1,534,1987,113
1,534,1988,898
1,534,1989,2554
1,534,1990,3185
1,534,1991,6661
1,534,1992,10028
1,534,1993,10750
1,534,1994,10906
1,534,1995,14075
1,534,1996,13906
1,534,1997,18005
1,534,1998,14507
1,534,1999,17739
1,534,2000,22395
1,534,2001,20769
1,534,2002,12734
1,534,2003,16315
1,534,2004,15127
1,534,2005,9401
1,534,2006,10485
1,534,2007,11001
1,534,2008,16714
1,534,2009,14074
1,534,2010,19535
1,534,2011,18595
1,534,2012,19295
1,534,2013,18685
1,456,1984,0
1,456,1985,0
1,456,1986,0
1,456,1987,0
1,456,1988,0
1,456,1989,0
1,456,1990,0
1,456,1991,0
1,456,1992,0
1,456,1993,0
1,456,1994,0
1,456,1995,0
1,456,1996,0
1,456,1997,115
1,456,1998,212
1,456,1999,129
1,456,2000,488
1,456,2001,501
1,456,2002,121
1,456,2003,249
1,456,2004,45
1,456,2005,0
1,456,2006,0
1,456,2007,0
1,456,2008,0
1,456,2009,0
1,456,2010,0
1,456,2011,0
1,456,2012,0
1,456,2013,0
1,150,1950,773
1,150,1951,465
1,150,1952,273
