rgn_id,year,species_code,reference
1,1989,PWA,2580
1,1990,PWA,2580
1,1991,PWA,2580
1,1992,PWA,2580
1,1993,PWA,2580
1,1994,PWA,2580
1,1995,PWA,2580
1,1996,PWA,2580
1,1997,PWA,2580
1,1998,PWA,2580
1,1999,PWA,2580
1,2000,PWA,2580
1,2001,PWA,2580
1,2002,PWA,2580
1,2003,PWA,2580
1,2004,PWA,2580
1,2005,PWA,2580
1,2006,PWA,2580
1,2007,PWA,2580
1,2008,PWA,2580
1,2009,PWA,2580
1,2010,PWA,2580
1,2011,PWA,2580
1,2012,PWA,2580
1,2013,PWA,2580
1,2014,PWA,2580
1,2015,PWA,2580
1,2009,Spotted seal,11730
1,2010,Spotted seal,11730
1,2011,Spotted seal,11730
1,2012,Spotted seal,11730
1,2013,Spotted seal,11730
1,2014,Spotted seal,11730
1,2015,Spotted seal,11730
2,1998,NAR,542
2,1999,NAR,327
2,2000,NAR,467
2,2001,NAR,467
2,2002,NAR,638
2,2003,NAR,704
2,2004,NAR,782
2,2005,NAR,725
2,2006,NAR,808
2,2007,NAR,735
2,2008,NAR,741
2,2009,NAR,759
2,2010,NAR,745
2,2011,NAR,738
3,NA,NA,NA
4,1979,HAR,"34,000"
4,1980,HAR,"34,000"
4,1981,HAR,"42,500"
4,1982,HAR,"57,500"
4,1983,HAR,"64,000"
4,1984,HAR,"62,000"
4,1985,HAR,"61,000"
4,1986,HAR,"61,000"
4,1987,HAR,"61,000"
4,1988,HAR,"53,400"
4,1989,HAR,"30,500"
4,1990,HAR,"30,500"
4,1991,HAR,"30,500"
4,1992,HAR,"30,500"
4,1993,HAR,"30,500"
4,1994,HAR,"30,500"
4,1995,HAR,"31,250"
4,1996,HAR,"30,500"
4,1997,HAR,"35,000"
4,1998,HAR,"35,000"
4,1999,HAR,"16,400"
4,2000,HAR,"22,700"
4,2001,HAR,"48,000"
4,2002,HAR,"48,000"
4,2003,HAR,"43,000"
4,2004,HAR,"35,100"
4,2005,HAR,"35,100"
4,2006,HAR,"68,200"
4,2007,HAR,"63,200"
4,2008,HAR,"45,100"
4,2009,HAR,"28,000"
4,2010,HAR,0
4,2011,HAR,0
4,2006,PWA,"2,580"
4,2007,PWA,"2,580"
4,2008,PWA,"2,580"
4,2009,PWA,"2,580"
4,2010,PWA,"2,580"
5,NA,NA,
6,1979,HAR,10300
6,1980,HAR,5600
6,1981,HAR,4000
6,1982,HAR,0
6,1983,HAR,0
6,1984,HAR,0
6,1985,HAR,0
6,1986,HAR,0
6,1987,HAR,0
6,1988,HAR,0
6,1989,HAR,0
6,1990,HAR,0
6,1991,HAR,0
6,1992,HAR,15000
6,1993,HAR,15000
6,1994,HAR,15000
6,1995,HAR,15000
6,1996,HAR,15000
6,1997,HAR,"31,200"
6,1998,HAR,"31,200"
6,1999,HAR,"31,200"
6,2000,HAR,"40,000"
6,2001,HAR,"42,000"
6,2002,HAR,"42,000"
6,2003,HAR,"16,000"
6,2004,HAR,"16,000"
6,2005,HAR,"17,500"
6,2006,HAR,"17,500"
6,2007,HAR,"18,000"
6,2008,HAR,"18,000"
6,2009,HAR,"19,000"
6,2010,HAR,"19,000"
6,2011,HAR,"19,000"
7,2001,HAR,"16,600"
7,2002,HAR,"9,500"
7,2003,HAR,"9,500"
7,2004,HAR,"9,500"
7,2005,HAR,"9,500"
7,2006,HAR,"9,500"
7,2007,HAR,"9,500"
7,2008,HAR,"8,750"
7,2009,HAR,"9,500"
7,2010,HAR,"5,000"
7,2011,HAR,"5,000"
7,2001,HOO,"5,000"
7,2002,HOO,"5,000"
7,2003,HOO,"5,000"
7,2004,HOO,"5,000"
7,2005,HOO,"10,000"
7,2006,HOO,"10,000"
7,2007,HOO,"10,000"
7,2008,HOO,"10,000"
7,2009,HOO,"15,000"
7,2010,HOO,"10,000"
7,2011,HOO,"7,000"
7,2011,HOO,"7,000"
7,2011,HOO,"7,000"
8,2004,NAR,300
8,2005,NAR,300
8,2006,NAR,317
8,2007,NAR,300
8,2008,NAR,410
8,2009,NAR,310
8,2010,NAR,310
8,2011,NAR,310
8,2012,NAR,329
8,2013,NAR,310
8,2014,NAR,355
8,2007,WAL,170
8,2008,WAL,145
8,2009,WAL,111
8,2010,WAL,108
8,2011,WAL,112
8,2012,WAL,123
8,2013,WAL,122
8,2014,WAL,122
8,2015,WAL,155
9,2004,NAR,0
9,2005,NAR,0
9,2006,NAR,0
9,2007,NAR,0
9,2008,NAR,0
9,2009,NAR,85
9,2010,NAR,85
9,2011,NAR,85
9,2012,NAR,129
9,2013,NAR,88
9,2014,NAR,110
9,2007,WAL,30
9,2008,WAL,30
9,2009,WAL,23
9,2010,WAL,18
9,2011,WAL,18
9,2012,WAL,18
9,2013,WAL,18
9,2014,WAL,18
