"rgn_id","level","georgn_id"
1,"r0",1
1,"r1",179.763636363636
1,"r2",84.5681818181818
2,"r0",1
2,"r1",179.763636363636
2,"r2",84.5681818181818
3,"r0",1
3,"r1",179.763636363636
3,"r2",84.5681818181818
4,"r0",1
4,"r1",179.763636363636
4,"r2",84.5681818181818
5,"r0",1
5,"r1",179.763636363636
5,"r2",84.5681818181818
6,"r0",1
6,"r1",179.763636363636
6,"r2",84.5681818181818
7,"r0",1
7,"r1",179.763636363636
7,"r2",84.5681818181818
8,"r0",1
8,"r1",179.763636363636
8,"r2",84.5681818181818
9,"r0",1
9,"r1",179.763636363636
9,"r2",84.5681818181818
