rgn_id,year,Ep
1,1989,0.0366137
1,1990,0.0374275
1,1991,0.0382058
1,1992,0.0386237
1,1993,0.0394293
1,1994,0.0393929
1,1995,0.0401336
1,1996,0.0421768
1,1997,0.0431091
1,1998,0.0435693
1,1999,0.0438078
1,2000,0.0439601
1,2001,0.0422984
1,2002,0.041601
1,2003,0.0407408
1,2004,0.0421242
1,2005,0.0401279
1,2006,0.039026
1,2007,0.0376098
1,2008,0.0377921
1,2009,0.036324
1,2010,0.0352836
1,2011,0.0357072
1,2012,0.0366998
1,2013,0.0368387
2,1989,0.0201361
2,1990,0.0204079
2,1991,0.0199568
2,1992,0.0205132
2,1993,0.0216088
2,1994,0.023341
2,1995,0.0236542
2,1996,0.0255897
2,1997,0.0262595
2,1998,0.0284665
2,1999,0.028373
2,2000,0.0297859
2,2001,0.0309254
2,2002,0.0319138
2,2003,0.029735
2,2004,0.0310216
2,2005,0.0289161
2,2006,0.0260527
2,2007,0.02593
2,2008,0.0257464
2,2009,0.0257312
2,2010,0.0251402
2,2011,0.0251041
2,2012,0.0251579
2,2013,0.02522
3,1989,0.0201361
3,1990,0.0204079
3,1991,0.0199568
3,1992,0.0205132
3,1993,0.0216088
3,1994,0.023341
3,1995,0.0236542
3,1996,0.0255897
3,1997,0.0262595
3,1998,0.0284665
3,1999,0.028373
3,2000,0.0297859
3,2001,0.0309254
3,2002,0.0319138
3,2003,0.029735
3,2004,0.0310216
3,2005,0.0289161
3,2006,0.0260527
3,2007,0.02593
3,2008,0.0257464
3,2009,0.0257312
3,2010,0.0251402
3,2011,0.0251041
3,2012,0.0251579
3,2013,0.02522
4,1989,0.00141717
4,1990,0.00238399
4,1991,0.00279868
4,1992,0.0110941
4,1993,0.0266462
4,1994,0.01464
4,1995,0.0130923
4,1996,0.0155269
4,1997,0.0152244
4,1998,0.016035
4,1999,0.0158941
4,2000,0.0149826
4,2001,0.015908
4,2002,0.014919
4,2003,0.0142191
4,2004,0.0143373
4,2005,0.0141434
4,2006,0.0135875
4,2007,0.0134223
4,2008,0.0133188
4,2009,0.0145768
4,2010,0.0135342
4,2011,0.013057
4,2012,0.0130577
4,2013,0.0136792
5,1989,0.0581006
5,1990,0.053282
5,1991,0.0591429
5,1992,0.0576044
5,1993,0.0608481
5,1994,0.0653248
5,1995,0.0641906
5,1996,0.0704793
5,1997,0.0719816
5,1998,0.0694153
5,1999,0.0738223
5,2000,0.0744584
5,2001,0.0708163
5,2002,0.066415
5,2003,0.0632211
5,2004,0.0574579
5,2005,0.0577634
5,2006,0.0560803
5,2007,0.0575194
5,2008,0.0580173
5,2009,0.0570158
5,2010,0.0562028
5,2011,0.0576568
5,2012,0.0529271
5,2013,0.0501534
6,1989,0.0581006
6,1990,0.053282
6,1991,0.0591429
6,1992,0.0576044
6,1993,0.0608481
6,1994,0.0653248
6,1995,0.0641906
6,1996,0.0704793
6,1997,0.0719816
6,1998,0.0694153
6,1999,0.0738223
6,2000,0.0744584
6,2001,0.0708163
6,2002,0.066415
6,2003,0.0632211
6,2004,0.0574579
6,2005,0.0577634
6,2006,0.0560803
6,2007,0.0575194
6,2008,0.0580173
6,2009,0.0570158
6,2010,0.0562028
6,2011,0.0576568
6,2012,0.0529271
6,2013,0.0501534
7,1989,0.0581006
7,1990,0.053282
7,1991,0.0591429
7,1992,0.0576044
7,1993,0.0608481
7,1994,0.0653248
7,1995,0.0641906
7,1996,0.0704793
7,1997,0.0719816
7,1998,0.0694153
7,1999,0.0738223
7,2000,0.0744584
7,2001,0.0708163
7,2002,0.066415
7,2003,0.0632211
7,2004,0.0574579
7,2005,0.0577634
7,2006,0.0560803
7,2007,0.0575194
7,2008,0.0580173
7,2009,0.0570158
7,2010,0.0562028
7,2011,0.0576568
7,2012,0.0529271
7,2013,0.0501534
8,1989,0.0258816
8,1990,0.0246732
8,1991,0.0261327
8,1992,0.0274207
8,1993,0.0321741
8,1994,0.0323379
8,1995,0.0331734
8,1996,0.0366838
8,1997,0.037146
8,1998,0.0377668
8,1999,0.0386522
8,2000,0.0392494
8,2001,0.0380882
8,2002,0.0364361
8,2003,0.0343296
8,2004,0.0335642
8,2005,0.0337293
8,2006,0.0338101
8,2007,0.0333336
8,2008,0.0334177
8,2009,0.0344131
8,2010,0.0336809
8,2011,0.0348835
8,2012,0.0345003
8,2013,0.034877
9,1989,0.0258816
9,1990,0.0246732
9,1991,0.0261327
9,1992,0.0274207
9,1993,0.0321741
9,1994,0.0323379
9,1995,0.0331734
9,1996,0.0366838
9,1997,0.037146
9,1998,0.0377668
9,1999,0.0386522
9,2000,0.0392494
9,2001,0.0380882
9,2002,0.0364361
9,2003,0.0343296
9,2004,0.0335642
9,2005,0.0337293
9,2006,0.0338101
9,2007,0.0333336
9,2008,0.0334177
9,2009,0.0344131
9,2010,0.0336809
9,2011,0.0348835
9,2012,0.0345003
9,2013,0.034877
