rgn_id,year,employed
1,2004,11754.5346
1,2005,12210.8229
1,2006,13479.8774
1,2007,14990.9008
1,2008,16233.7112
1,2009,16562.3292
1,2010,16780.1678
1,2011,16824.8405
1,2012,17189.5014
1,2013,17307.3328
1,2014,18671.2407
2,2008,10660.0284
2,2009,10407.732
2,2010,11234.5681
2,2011,11665.692
2,2012,11899.1972
2,2013,12275.6928
2,2014,11899.3788
3,2001,2811.8172
3,2002,2953.7991
3,2003,2996.4806
3,2004,3123.8784
3,2005,3238.0442
3,2006,3266.0608
3,2007,3323.04
3,2008,3208.9608
3,2009,3010.1925
3,2010,3080.8652
3,2011,3266.175
3,2012,3294.0825
3,2013,3238.262
3,2014,3109.7358
3,2015,3109.6576
4,2010,1459463.032
4,2011,1465306.57
4,2012,1645022.894
4,2013,1471115.209
4,2014,1454767.358
5,2009,1455
5,2010,1411
5,2011,1539
5,2012,1633
5,2013,1594
5,2014,1629
6,2010,236744.0852
6,2011,239680.9648
6,2012,240091.2975
6,2013,242244.6558
6,2014,243711.6928
7,NA,NA
8,2008,36591.58656
8,2009,35384.93376
8,2010,34295.47472
8,2011,34294.4172
8,2012,33869.2248
8,2013,33723.12432
9,2008,9147.89664
9,2009,8846.23344
9,2010,8573.86868
9,2011,8573.6043
9,2012,8467.3062
9,2013,8430.78108
