rgn_id,year,L
1,1989,NA
1,1990,128051000
1,1991,128694000
1,1992,130998000
1,1993,132454000
1,1994,134870000
1,1995,136710000
1,1996,138813000
1,1997,141278000
1,1998,143349000
1,1999,145243000
1,2000,147134000
1,2001,148217000
1,2002,149007000
1,2003,149705000
1,2004,150729000
1,2005,152676000
1,2006,154695000
1,2007,155977000
1,2008,157725000
1,2009,157890000
1,2010,157454000
1,2011,157565000
1,2012,158666000
1,2013,158959000
2,1989,NA
2,1990,14720100
2,1991,14818800
2,1992,14782000
2,1993,14883800
2,1994,14995000
2,1995,15049100
2,1996,15197700
2,1997,15449600
2,1998,15707000
2,1999,15991000
2,2000,16240700
2,2001,16490500
2,2002,16930300
2,2003,17344200
2,2004,17583500
2,2005,17716100
2,2006,17922300
2,2007,18296200
2,2008,18608500
2,2009,18730300
2,2010,18917100
2,2011,19066200
2,2012,19269900
2,2013,19445500
3,1989,NA
3,1990,14720100
3,1991,14818800
3,1992,14782000
3,1993,14883800
3,1994,14995000
3,1995,15049100
3,1996,15197700
3,1997,15449600
3,1998,15707000
3,1999,15991000
3,2000,16240700
3,2001,16490500
3,2002,16930300
3,2003,17344200
3,2004,17583500
3,2005,17716100
3,2006,17922300
3,2007,18296200
3,2008,18608500
3,2009,18730300
3,2010,18917100
3,2011,19066200
3,2012,19269900
3,2013,19445500
4,1989,NA
4,1990,76777400
4,1991,75960800
4,1992,74967800
4,1993,72773200
4,1994,70393800
4,1995,70495400
4,1996,69698300
4,1997,68339100
4,1998,67708000
4,1999,72482200
4,2000,72788400
4,2001,71530600
4,2002,72574600
4,2003,73981200
4,2004,74645900
4,2005,75145200
4,2006,75315000
4,2007,76344900
4,2008,76650000
4,2009,76440000
4,2010,76318500
4,2011,76904200
4,2012,76872200
4,2013,76977300
5,1989,NA
5,1990,2169320
5,1991,2144920
5,1992,2144730
5,1993,2143500
5,1994,2165570
5,1995,2197230
5,1996,2257200
5,1997,2308030
5,1998,2346880
5,1999,2356970
5,2000,2374610
5,2001,2383010
5,2002,2404400
5,2003,2395350
5,2004,2409240
5,2005,2426170
5,2006,2454510
5,2007,2516080
5,2008,2592050
5,2009,2595140
5,2010,2608240
5,2011,2633450
5,2012,2674540
5,2013,2682270
6,1989,NA
6,1990,2169320
6,1991,2144920
6,1992,2144730
6,1993,2143500
6,1994,2165570
6,1995,2197230
6,1996,2257200
6,1997,2308030
6,1998,2346880
6,1999,2356970
6,2000,2374610
6,2001,2383010
6,2002,2404400
6,2003,2395350
6,2004,2409240
6,2005,2426170
6,2006,2454510
6,2007,2516080
6,2008,2592050
6,2009,2595140
6,2010,2608240
6,2011,2633450
6,2012,2674540
6,2013,2682270
7,1989,NA
7,1990,2169320
7,1991,2144920
7,1992,2144730
7,1993,2143500
7,1994,2165570
7,1995,2197230
7,1996,2257200
7,1997,2308030
7,1998,2346880
7,1999,2356970
7,2000,2374610
7,2001,2383010
7,2002,2404400
7,2003,2395350
7,2004,2409240
7,2005,2426170
7,2006,2454510
7,2007,2516080
7,2008,2592050
7,2009,2595140
7,2010,2608240
7,2011,2633450
7,2012,2674540
7,2013,2682270
8,1989,NA
8,1990,NA
8,1991,NA
8,1992,NA
8,1993,NA
8,1994,NA
8,1995,NA
8,1996,NA
8,1997,NA
8,1998,NA
8,1999,NA
8,2000,NA
8,2001,NA
8,2002,NA
8,2003,NA
8,2004,NA
8,2005,NA
8,2006,NA
8,2007,NA
8,2008,NA
8,2009,NA
8,2010,NA
8,2011,NA
8,2012,NA
8,2013,NA
9,1989,NA
9,1990,NA
9,1991,NA
9,1992,NA
9,1993,NA
9,1994,NA
9,1995,NA
9,1996,NA
9,1997,NA
9,1998,NA
9,1999,NA
9,2000,NA
9,2001,NA
9,2002,NA
9,2003,NA
9,2004,NA
9,2005,NA
9,2006,NA
9,2007,NA
9,2008,NA
9,2009,NA
9,2010,NA
9,2011,NA
9,2012,NA
9,2013,NA
