rgn_id,year,jobs
1,2004,598
1,2005,745
1,2006,671
1,2007,685
1,2008,749
1,2009,729
1,2010,712
1,2011,717
1,2012,745
1,2013,723
1,2014,891
2,2008,340
2,2009,325
2,2010,292
2,2011,283
2,2012,333
2,2013,483
2,2014,458
3,2001,270
3,2002,313
3,2003,313
3,2004,298
3,2005,298
3,2006,284
3,2007,284
3,2008,298
3,2009,228
3,2010,228
3,2011,298
3,2012,284
3,2013,270
3,2014,256
3,2015,270
4,2010,20556
4,2011,20900
4,2012,22679
4,2013,24290
4,2014,24855
5,2009,174
5,2010,181
5,2011,229
5,2012,260
5,2013,262
5,2014,315
6,2010,10109
6,2011,10443
6,2012,10449
6,2013,10907
6,2014,11268
7,NA,NA
8,2008,1575.2
8,2009,1470.4
8,2010,1454.4
8,2011,1445.6
8,2012,1416
8,2013,1472.8
9,2008,393.8
9,2009,367.6
9,2010,363.6
9,2011,361.4
9,2012,354
9,2013,368.2
