rgn_id,year,U
1,1989,NA
1,1990,NA
1,1991,0.069
1,1992,0.076
1,1993,0.07
1,1994,0.062
1,1995,0.057
1,1996,0.055
1,1997,0.05
1,1998,0.046
1,1999,0.043
1,2000,0.041
1,2001,0.048
1,2002,0.059
1,2003,0.061
1,2004,0.056
1,2005,0.052
1,2006,0.047
1,2007,0.047
1,2008,0.059
1,2009,0.094
1,2010,0.097
1,2011,0.09
1,2012,0.082
1,2013,0.074
2,1989,NA
2,1990,NA
2,1991,0.103
2,1992,0.112
2,1993,0.114
2,1994,0.104
2,1995,0.095
2,1996,0.096
2,1997,0.091
2,1998,0.083
2,1999,0.076
2,2000,0.068
2,2001,0.072
2,2002,0.077
2,2003,0.076
2,2004,0.072
2,2005,0.067
2,2006,0.063
2,2007,0.06
2,2008,0.061
2,2009,0.083
2,2010,0.08
2,2011,0.074
2,2012,0.072
2,2013,0.071
3,1989,NA
3,1990,NA
3,1991,0.103
3,1992,0.112
3,1993,0.114
3,1994,0.104
3,1995,0.095
3,1996,0.096
3,1997,0.091
3,1998,0.083
3,1999,0.076
3,2000,0.068
3,2001,0.072
3,2002,0.077
3,2003,0.076
3,2004,0.072
3,2005,0.067
3,2006,0.063
3,2007,0.06
3,2008,0.061
3,2009,0.083
3,2010,0.08
3,2011,0.074
3,2012,0.072
3,2013,0.071
4,1989,NA
4,1990,NA
4,1991,0.122
4,1992,0.052
4,1993,0.059
4,1994,0.081
4,1995,0.094
4,1996,0.097
4,1997,0.118
4,1998,0.133
4,1999,0.13
4,2000,0.106
4,2001,0.09
4,2002,0.079
4,2003,0.082
4,2004,0.078
4,2005,0.071
4,2006,0.071
4,2007,0.06
4,2008,0.062
4,2009,0.083
4,2010,0.073
4,2011,0.065
4,2012,0.055
4,2013,0.056
5,1989,NA
5,1990,NA
5,1991,0.054
5,1992,0.059
5,1993,0.06
5,1994,0.053
5,1995,0.049
5,1996,0.048
5,1997,0.039
5,1998,0.032
5,1999,0.032
5,2000,0.034
5,2001,0.034
5,2002,0.039
5,2003,0.044
5,2004,0.044
5,2005,0.046
5,2006,0.034
5,2007,0.025
5,2008,0.026
5,2009,0.032
5,2010,0.036
5,2011,0.033
5,2012,0.032
5,2013,0.035
6,1989,NA
6,1990,NA
6,1991,0.054
6,1992,0.059
6,1993,0.06
6,1994,0.053
6,1995,0.049
6,1996,0.048
6,1997,0.039
6,1998,0.032
6,1999,0.032
6,2000,0.034
6,2001,0.034
6,2002,0.039
6,2003,0.044
6,2004,0.044
6,2005,0.046
6,2006,0.034
6,2007,0.025
6,2008,0.026
6,2009,0.032
6,2010,0.036
6,2011,0.033
6,2012,0.032
6,2013,0.035
7,1989,NA
7,1990,NA
7,1991,0.054
7,1992,0.059
7,1993,0.06
7,1994,0.053
7,1995,0.049
7,1996,0.048
7,1997,0.039
7,1998,0.032
7,1999,0.032
7,2000,0.034
7,2001,0.034
7,2002,0.039
7,2003,0.044
7,2004,0.044
7,2005,0.046
7,2006,0.034
7,2007,0.025
7,2008,0.026
7,2009,0.032
7,2010,0.036
7,2011,0.033
7,2012,0.032
7,2013,0.035
8,1989,NA
8,1990,NA
8,1991,NA
8,1992,NA
8,1993,NA
8,1994,NA
8,1995,NA
8,1996,NA
8,1997,NA
8,1998,NA
8,1999,NA
8,2000,NA
8,2001,NA
8,2002,NA
8,2003,NA
8,2004,NA
8,2005,NA
8,2006,NA
8,2007,NA
8,2008,NA
8,2009,NA
8,2010,NA
8,2011,NA
8,2012,NA
8,2013,NA
9,1989,NA
9,1990,NA
9,1991,NA
9,1992,NA
9,1993,NA
9,1994,NA
9,1995,NA
9,1996,NA
9,1997,NA
9,1998,NA
9,1999,NA
9,2000,NA
9,2001,NA
9,2002,NA
9,2003,NA
9,2004,NA
9,2005,NA
9,2006,NA
9,2007,NA
9,2008,NA
9,2009,NA
9,2010,NA
9,2011,NA
9,2012,NA
9,2013,NA
