iucn_sid,year,code,category,sciname
22694245,2016,LC,Least Concern,Stercorarius parasiticus
22694245,2012,LC,Least Concern,Stercorarius parasiticus
22694245,2009,LC,Least Concern,Stercorarius parasiticus
22694245,2008,LC,Least Concern,Stercorarius parasiticus
22694245,2004,LC,Least Concern,Stercorarius parasiticus
22694245,2000,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,1994,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,1988,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,2016,LC,Least Concern,Stercorarius parasiticus
22694245,2012,LC,Least Concern,Stercorarius parasiticus
22694245,2009,LC,Least Concern,Stercorarius parasiticus
22694245,2008,LC,Least Concern,Stercorarius parasiticus
22694245,2004,LC,Least Concern,Stercorarius parasiticus
22694245,2000,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,1994,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,1988,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,2016,LC,Least Concern,Stercorarius parasiticus
22694245,2012,LC,Least Concern,Stercorarius parasiticus
22694245,2009,LC,Least Concern,Stercorarius parasiticus
22694245,2008,LC,Least Concern,Stercorarius parasiticus
22694245,2004,LC,Least Concern,Stercorarius parasiticus
22694245,2000,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,1994,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,1988,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,2016,LC,Least Concern,Stercorarius parasiticus
22694245,2012,LC,Least Concern,Stercorarius parasiticus
22694245,2009,LC,Least Concern,Stercorarius parasiticus
22694245,2008,LC,Least Concern,Stercorarius parasiticus
22694245,2004,LC,Least Concern,Stercorarius parasiticus
22694245,2000,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,1994,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694245,1988,LR/lc,Lower Risk/least concern,Stercorarius parasiticus
22694629,2016,LC,Least Concern,Sterna paradisaea
22694629,2012,LC,Least Concern,Sterna paradisaea
22694629,2010,LC,Least Concern,Sterna paradisaea
22694629,2009,LC,Least Concern,Sterna paradisaea
22694629,2008,LC,Least Concern,Sterna paradisaea
22694629,2004,LC,Least Concern,Sterna paradisaea
22694629,2000,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1994,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1988,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,2016,LC,Least Concern,Sterna paradisaea
22694629,2012,LC,Least Concern,Sterna paradisaea
22694629,2010,LC,Least Concern,Sterna paradisaea
22694629,2009,LC,Least Concern,Sterna paradisaea
22694629,2008,LC,Least Concern,Sterna paradisaea
22694629,2004,LC,Least Concern,Sterna paradisaea
22694629,2000,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1994,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1988,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,2016,LC,Least Concern,Sterna paradisaea
22694629,2012,LC,Least Concern,Sterna paradisaea
22694629,2010,LC,Least Concern,Sterna paradisaea
22694629,2009,LC,Least Concern,Sterna paradisaea
22694629,2008,LC,Least Concern,Sterna paradisaea
22694629,2004,LC,Least Concern,Sterna paradisaea
22694629,2000,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1994,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1988,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,2016,LC,Least Concern,Sterna paradisaea
22694629,2012,LC,Least Concern,Sterna paradisaea
22694629,2010,LC,Least Concern,Sterna paradisaea
22694629,2009,LC,Least Concern,Sterna paradisaea
22694629,2008,LC,Least Concern,Sterna paradisaea
22694629,2004,LC,Least Concern,Sterna paradisaea
22694629,2000,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1994,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1988,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,2016,LC,Least Concern,Sterna paradisaea
22694629,2012,LC,Least Concern,Sterna paradisaea
22694629,2010,LC,Least Concern,Sterna paradisaea
22694629,2009,LC,Least Concern,Sterna paradisaea
22694629,2008,LC,Least Concern,Sterna paradisaea
22694629,2004,LC,Least Concern,Sterna paradisaea
22694629,2000,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1994,LR/lc,Lower Risk/least concern,Sterna paradisaea
22694629,1988,LR/lc,Lower Risk/least concern,Sterna paradisaea
8010,2016,LC,Least Concern,Erignathus barbatus
8010,2008,LC,Least Concern,Erignathus barbatus
8010,1996,LR/lc,Lower Risk/least concern,Erignathus barbatus
8010,2016,LC,Least Concern,Erignathus barbatus
8010,2008,LC,Least Concern,Erignathus barbatus
