comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat,cat_txt,cat_score,year,cat_2016_score
Bowhead,Balaena mysticetus,NA,1,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead,Balaena mysticetus,NA,2,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead,Balaena mysticetus,NA,3,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead,Balaena mysticetus,NA,4,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead,Balaena mysticetus,NA,8,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead,Balaena mysticetus,NA,1,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1966,0
Bowhead,Balaena mysticetus,NA,2,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1966,0
Bowhead,Balaena mysticetus,NA,3,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1966,0
Bowhead,Balaena mysticetus,NA,4,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1966,0
Bowhead,Balaena mysticetus,NA,8,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1966,0
Bowhead,Balaena mysticetus,NA,1,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1967,0
Bowhead,Balaena mysticetus,NA,2,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1967,0
Bowhead,Balaena mysticetus,NA,3,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1967,0
Bowhead,Balaena mysticetus,NA,4,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1967,0
Bowhead,Balaena mysticetus,NA,8,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1967,0
Bowhead,Balaena mysticetus,NA,1,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1968,0
Bowhead,Balaena mysticetus,NA,2,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1968,0
