iucn_sid,sciname,year,cat,cat_score,rgn_id,rgn_name,comname,ico_gl,ico_rgn_id,presence
2467,Balaena mysticetus,2e3,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2e3,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2e3,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2e3,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2e3,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2e3,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2e3,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2e3,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2e3,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2e3,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2e3,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2e3,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2e3,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2e3,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2e3,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2e3,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2e3,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2e3,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2e3,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2e3,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2001,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2001,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2001,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2001,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2001,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2001,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2001,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2001,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2001,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2001,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2001,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2001,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2001,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2001,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2001,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2001,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2001,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2001,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2001,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2001,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2002,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2002,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2002,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2002,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2002,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2002,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2002,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2002,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
2467,Balaena mysticetus,2002,CD,0.3,2,Nunavut,Bowhead,NA,2,Extant
2467,Balaena mysticetus,2002,CD,0.3,3,Beaufort,Bowhead,NA,3,Extant
2467,Balaena mysticetus,2002,CD,0.3,8,West Greenland,Bowhead,NA,8,Extant
2467,Balaena mysticetus,2002,CD,0.3,1,Alaska,Bowhead,NA,1,Extant
