iucn_sid,presence,origin,distribution_code,rgn_id,rgn_name
2469,Extant,Native,Native,4,Russia
2468,Extant,Native,Native,2,Nunavut
2468,Extant,Native,Native,3,Beaufort
2468,Extant,Native,Native,4,Russia
2468,Extant,Native,Native,1,Alaska
2472,Extant,Native,Native,8,West Greenland
2472,Extant,Native,Native,9,East Greenland
2472,Extant,Native,Native,5,Svalbard
2472,Extant,Native,Native,7,Jan Mayen
2467,Extant,Native,Native,2,Nunavut
2467,Extant,Native,Native,3,Beaufort
2467,Extant,Native,Native,8,West Greenland
2467,Extant,Native,Native,9,East Greenland
2467,Extant,Native,Native,1,Alaska
8010,Extant,Native,Native,2,Nunavut
8010,Extant,Native,Native,3,Beaufort
8010,Extant,Native,Native,8,West Greenland
8010,Extant,Native,Native,9,East Greenland
8010,Extant,Native,Native,6,Norway
8010,Extant,Native,Native,4,Russia
8010,Extant,Native,Native,5,Svalbard
8010,Extant,Native,Native,7,Jan Mayen
8010,Extant,Native,Native,1,Alaska
41672,Extant,Native,Native,2,Nunavut
41672,Extant,Native,Native,3,Beaufort
41672,Extant,Native,Native,8,West Greenland
41672,Extant,Native,Native,9,East Greenland
41672,Extant,Native,Native,6,Norway
41672,Extant,Native,Native,4,Russia
41672,Extant,Native,Native,5,Svalbard
41672,Extant,Native,Native,7,Jan Mayen
41672,Extant,Native,Native,1,Alaska
17023,Extant,Native,Native,2,Nunavut
17023,Extant,Native,Native,3,Beaufort
17023,Extant,Native,Native,4,Russia
17023,Extant,Native,Native,1,Alaska
15106,Extant,Native,Native,2,Nunavut
15106,Extant,Native,Native,3,Beaufort
15106,Extant,Native,Native,8,West Greenland
15106,Extant,Native,Native,9,East Greenland
15106,Extant,Native,Native,4,Russia
15106,Extant,Native,Native,5,Svalbard
15106,Extant,Native,Native,7,Jan Mayen
15106,Extant,Native,Native,1,Alaska
41671,Extant,Native,Native,2,Nunavut
41671,Extant,Native,Native,3,Beaufort
41671,Extant,Native,Native,8,West Greenland
41671,Extant,Native,Native,9,East Greenland
41671,Extant,Native,Native,6,Norway
41671,Extant,Native,Native,4,Russia
41671,Extant,Native,Native,5,Svalbard
41671,Extant,Native,Native,7,Jan Mayen
41671,Extant,Vagrant,Vagrant,1,Alaska
6335,Extant,Native,Native,2,Nunavut
6335,Extant,Native,Native,3,Beaufort
6335,Extant,Native,Native,8,West Greenland
6335,Extant,Native,Native,9,East Greenland
6335,Extant,Vagrant,Vagrant,6,Norway
6335,Extant,Native,Native,4,Russia
6335,Extant,Native,Native,5,Svalbard
6335,Extant,Native,Native,7,Jan Mayen
6335,Extant,Native,Native,1,Alaska
61442,Extant,Native,Native,1,Alaska
22823,Extant,Native,Native,2,Nunavut
22823,Extant,Native,Native,3,Beaufort
22823,Extant,Native,Native,8,West Greenland
22823,Extant,Native,Native,9,East Greenland
22823,Extant,Native,Native,6,Norway
22823,Extant,Native,Native,4,Russia
22823,Extant,Native,Native,5,Svalbard
22823,Extant,Native,Native,7,Jan Mayen
22823,Extant,Native,Native,1,Alaska
41670,Extant,Native,Native,4,Russia
41670,Extant,Native,Native,1,Alaska
8097,Extant,Native,Native,2,Nunavut
8097,Extant,Native,Native,3,Beaufort
8097,Extant,Native,Native,4,Russia
8097,Extant,Native,Native,1,Alaska
8099,Extant,Native,Native,4,Russia
2478,Extant,Native,Native,2,Nunavut
2478,Extant,Native,Native,3,Beaufort
2478,Extant,Native,Native,8,West Greenland
2478,Extant,Native,Native,9,East Greenland
2478,Extant,Native,Native,6,Norway
2478,Extant,Native,Native,4,Russia
2478,Extant,Native,Native,5,Svalbard
2478,Extant,Native,Native,7,Jan Mayen
2478,Extant,Native,Native,1,Alaska
9250,Extant,Native,Native,2,Nunavut
9250,Extant,Native,Native,3,Beaufort
9250,Extant,Native,Native,8,West Greenland
9250,Extant,Native,Native,9,East Greenland
9250,Extant,Native,Native,6,Norway
9250,Extant,Native,Native,1,Alaska
2474,Extant,Native,Native,2,Nunavut
2474,Extant,Native,Native,3,Beaufort
2474,Extant,Native,Native,8,West Greenland
2474,Extant,Native,Native,9,East Greenland
2474,Extant,Native,Native,6,Norway
2474,Extant,Native,Native,4,Russia
2474,Extant,Native,Native,5,Svalbard
2474,Extant,Native,Native,7,Jan Mayen
2474,Extant,Native,Native,1,Alaska
17027,Extant,Native,Native,2,Nunavut
17027,Extant,Native,Native,3,Beaufort
17027,Extant,Native,Native,8,West Greenland
17027,Extant,Native,Native,9,East Greenland
17027,Extant,Native,Native,6,Norway
17027,Extant,Native,Native,4,Russia
17027,Extant,Native,Native,1,Alaska
17031,Extant,Native,Native,4,Russia
13006,Extant,Native,Native,2,Nunavut
13006,Extant,Native,Native,3,Beaufort
13006,Extant,Native,Native,8,West Greenland
13006,Extant,Native,Native,9,East Greenland
13006,Extant,Native,Native,6,Norway
13006,Extant,Native,Native,4,Russia
13006,Extant,Native,Native,1,Alaska
6204,Extant,Native,Native,2,Nunavut
6204,Extant,Native,Native,3,Beaufort
6204,Extant,Native,Native,8,West Greenland
6204,Extant,Native,Native,9,East Greenland
6204,Extant,Native,Native,6,Norway
6204,Extant,Vagrant,Vagrant,4,Russia
6204,Extant,Vagrant,Vagrant,5,Svalbard
6204,Extant,Vagrant,Vagrant,7,Jan Mayen
6204,Extant,Vagrant,Vagrant,1,Alaska
