"zone","avg3yr_1995","avg3yr_1996","avg3yr_1997","avg3yr_1998","avg3yr_1999","avg3yr_2000","avg3yr_2001","avg3yr_2002","avg3yr_2003","avg3yr_2004","avg3yr_2005","avg3yr_2006","avg3yr_2007","avg3yr_2008","avg3yr_2009","avg3yr_2010","avg3yr_2011","avg3yr_2012","avg3yr_2013","avg3yr_2014","avg3yr_2015","Reference_avg1979to1990monthlypixels","pctdevR_1995","pctdevR_1996","pctdevR_1997","pctdevR_1998","pctdevR_1999","pctdevR_2000","pctdevR_2001","pctdevR_2002","pctdevR_2003","pctdevR_2004","pctdevR_2005","pctdevR_2006","pctdevR_2007","pctdevR_2008","pctdevR_2009","pctdevR_2010","pctdevR_2011","pctdevR_2012","pctdevR_2013","pctdevR_2014","pctdevR_2015","Trend_1997to2006_pctdevRperyr","Trend_1998to2007_pctdevRperyr","Trend_1999to2008_pctdevRperyr","Trend_2000to2009_pctdevRperyr","Trend_2001to2010_pctdevRperyr","Trend_2002to2011_pctdevRperyr","Trend_2003to2012_pctdevRperyr","Trend_2004to2013_pctdevRperyr","Trend_2005to2014_pctdevRperyr","Trend_2006to2015_pctdevRperyr","pole"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n"
1,1032.66666666667,963.666666666667,1109,1043.66666666667,1039,1048.66666666667,1083.66666666667,1081.66666666667,1064,1002,1001.33333333333,978,1062.66666666667,1105,1127.33333333333,1047.33333333333,960.666666666667,880.333333333333,897.666666666667,910.333333333333,994.333333333333,854.583333333333,1.20838615309605,1.12764505119454,1.2977084349098,1.22125792296441,1.21579717211117,1.22710872745002,1.26806435884934,1.2657240370551,1.24505119453925,1.1725012189176,1.17172111165285,1.14441735738664,1.24349098000975,1.29302779132131,1.31916138469039,1.22554851292053,1.12413456850317,1.03013164310093,1.0504144319844,1.06523647001463,1.16352998537299,-0.00883314661493198,-0.0043862450761208,-0.000812747299754024,0.00291086324144154,0.00199286000577901,-0.00102722136620448,-0.00696058327637253,-0.0114699893143006,-0.0169834160513266,-0.0172502117287375,"n"
2,2053.33333333333,2084.33333333333,1926,2087.33333333333,2123.66666666667,2222.66666666667,2037.66666666667,1977.33333333333,1977.33333333333,1788.66666666667,1741.33333333333,1867.33333333333,2133.66666666667,2199,2086,2030,2201.33333333333,2252.66666666667,2237.33333333333,2025,2064,1880.83333333333,1.09171466548516,1.10819672131148,1.02401417811254,1.10979175897209,1.12910943730616,1.18174568010634,1.08338502436863,1.05130704474967,1.05130704474967,0.950996898537882,0.925830748781568,0.992822330527249,1.1344262295082,1.16916260522818,1.10908285334515,1.07930881701374,1.17040319007532,1.19769605671245,1.18954364200266,1.07665042091272,1.09738591050066,-0.0170594837261502,-0.013155831712204,-0.00483250334137167,0.000828016214937724,0.0088068646550569,0.0168904145977643,0.0230838390649565,0.0300319633156008,0.0198002227481553,0.00607683403113684,"n"
3,871.333333333333,757,859.333333333333,873,1043.66666666667,974.333333333333,803,721,819.666666666667,832.666666666667,826,749,915,1157.66666666667,1200.33333333333,1123,941.333333333333,1030.66666666667,932.333333333333,842.333333333333,943.333333333333,745.416666666667,1.16892118501956,1.01553940749022,1.15282280603689,1.17115707098938,1.40011179429849,1.30709893795416,1.07724986025713,0.967244270542202,1.09960871995528,1.11704863051984,1.10810508664058,1.0048071548351,1.22750139742873,1.55304639463387,1.61028507546115,1.50653996646171,1.26282839575182,1.38267188373393,1.25075461151481,1.13001676914477,1.2655114589156,-0.0206149940052187,-0.0155414395964233,0.00388296894205523,0.0327683264392087,0.0610991609746273,0.0597290519620613,0.0424513537160934,0.0288085013465316,0.00940885856140024,-0.00466885139781973,"n"
4,8195.66666666667,7483.66666666667,7698.66666666667,6847.66666666667,7575,7468,7663,7618.33333333333,7908,8006,8586.33333333333,8936.66666666667,9352.33333333333,9040,8905.33333333333,9017.66666666667,9127.66666666667,9465.33333333333,9236,9289.33333333333,8635.66666666667,6993.5,1.17189771454446,1.07008889206644,1.10083172469674,0.97914730344844,1.08314863802102,1.06784871666548,1.09573175091156,1.08934486785348,1.13076428111818,1.14477729320083,1.22775910964944,1.27785324467958,1.33728938776483,1.29262886966469,1.27337289387765,1.28943542813565,1.30516431924883,1.35344724863564,1.32065489382998,1.32828102285456,1.23481327899716,0.0210528387442136,0.0345032371123994,0.0285993932726603,0.0283320619153492,0.0247156413409837,0.0219764921143174,0.0181005809230387,0.0128989116748297,0.00660857576110491,-0.000257705740734254,"n"
5,2072,2023,2004.33333333333,2025.66666666667,1966,1904.33333333333,1872,1842,1882.33333333333,1857,1865,1844,1731.66666666667,1602,1599,1595.66666666667,1641,1509.33333333333,1539.66666666667,1602.33333333333,1589.33333333333,2025.5,1.02295729449519,0.998765736855098,0.989549905373159,1.00008228420966,0.970624537151321,0.940179379577059,0.924216242902987,0.909405085164157,0.929317863901917,0.916810664033572,0.92076030609726,0.910392495680079,0.854932938369127,0.790915823253518,0.789434707479635,0.787789023286431,0.810170328313996,0.745165802682465,0.760141528840615,0.791080391672838,0.784662223319345,-0.00970221086635516,-0.0110740447090622,-0.0141218903172107,-0.0168568230882242,-0.0193818527151859,-0.0197644194386863,-0.0227967652440812,-0.0221003791278426,-0.0178481869634688,-0.0122680163894916,"n"
6,64.6666666666667,85,90.6666666666667,90.3333333333333,55.6666666666667,41.6666666666667,30.3333333333333,31.3333333333333,52.6666666666667,60.3333333333333,56,36,27.6666666666667,29.6666666666667,29,27.6666666666667,28.6666666666667,29,29,25.6666666666667,27,106.25,0.608627450980392,0.8,0.853333333333333,0.850196078431372,0.523921568627451,0.392156862745098,0.285490196078431,0.294901960784314,0.495686274509804,0.567843137254902,0.527058823529412,0.338823529411765,0.260392156862745,0.27921568627451,0.272941176470588,0.260392156862745,0.269803921568627,0.272941176470588,0.272941176470588,0.24156862745098,0.254117647058824,-0.0451203208556149,-0.0347981661634787,-0.024169842133914,-0.027830303030301,-0.0546120546120535,-0.0856866537717587,-0.068507863444569,-0.0510631173614598,-0.0345959595959587,-0.0163860830527502,"n"
7,78.6666666666667,232,448,535.333333333333,313.666666666667,110.333333333333,111.333333333333,127,161.666666666667,129,111.666666666667,64.3333333333333,3.33333333333333,0,3.33333333333333,5,5,4,17.3333333333333,17.3333333333333,15,452.166666666667,0.173977147069665,0.513085145595282,0.990785108735717,1.18392922963509,0.69369701437523,0.244010320678216,0.246221894581644,0.280869885735348,0.357537781054184,0.285293033542204,0.246959085882787,0.142277921120531,0.00737191301142646,0,0.00737191301142646,0.0110578695171397,0.0110578695171397,0.00884629561371176,0.0383339476594176,0.0383339476594176,0.0331736085514191,-0.0970283189033183,-0.0728970904562434,-0.0750780922938202,-0.146663004669036,-0.166321901651241,-0.153614889047959,-0.112714776632299,-0.096171012450082,-0.0628493894165519,-0.0242424242424301,"n"
8,1728,1534.66666666667,1529.33333333333,1413,1457,1412,1361,1285,1224,1138.33333333333,1110.33333333333,1154,1237.33333333333,1383.66666666667,1305.66666666667,1245.66666666667,1168,1210,1146.33333333333,1080.66666666667,1070,1649.58333333333,1.04753725688305,0.930335943420056,0.927102803738318,0.856579944430412,0.883253346804749,0.855973730740086,0.825056832533468,0.778984592068704,0.742005556958828,0.690073250820914,0.673099267491791,0.699570598636019,0.750088406163173,0.838797676180854,0.791513008335438,0.755140186915888,0.708057590300581,0.733518565294266,0.694922960343521,0.655114928012124,0.648648648648649,-0.0306332725687562,-0.025474847555528,-0.0146724624418516,-0.00547114201505197,0.00109396685443697,0.00395550839130593,0.00673235624215954,0.00418829584276149,-0.00635535784139905,-0.0178772123312831,"n"
9,2867.33333333333,2995.66666666667,2984.66666666667,3170,2927.33333333333,3006.66666666667,2798,2781,2659.33333333333,2637.66666666667,2646.66666666667,2597.33333333333,2626,2626.33333333333,2548,2462,2470.33333333333,2602,2674,2688.66666666667,2602,3109.5,0.922120383770167,0.963391756445302,0.959854210216005,1.01945650426114,0.941416090475425,0.966929302674599,0.899823122688535,0.894356005788712,0.855228600525272,0.848260706437262,0.851155062443051,0.835289703596505,0.844508763466795,0.84461596183738,0.81942434474996,0.79176716513909,0.794447124403709,0.836790480784692,0.859945328831002,0.864662057136731,0.836790480784692,-0.01960863944335,-0.0183704553420645,-0.0140818340545053,-0.012662097695357,-0.0106230279925776,-0.0101511337757292,-0.00628622651686045,-0.00273657847270886,0.000551102969239185,0.00207516644888286,"n"
