"zone","avg3yr_2005","avg3yr_2006","avg3yr_2007","avg3yr_2008","avg3yr_2009","avg3yr_2010","avg3yr_2011","avg3yr_2012","avg3yr_2013","avg3yr_2014","avg3yr_2015","Reference_avg1979to2000monthlypixels","pctdevR_2005","pctdevR_2006","pctdevR_2007","pctdevR_2008","pctdevR_2009","pctdevR_2010","pctdevR_2011","pctdevR_2012","pctdevR_2013","pctdevR_2014","pctdevR_2015","Trend_2007to2011_pctdevRperyr","Trend_2008to2012_pctdevRperyr","Trend_2009to2013_pctdevRperyr","Trend_2010to2014_pctdevRperyr","Trend_2011to2015_pctdevRperyr","pole"
0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n"
1,1001.33333333333,978,1062.66666666667,1105,1127.33333333333,1047.33333333333,960.666666666667,880.333333333333,897.666666666667,910.333333333333,994.333333333333,917.681818181818,1.09115524955834,1.06572886225172,1.15799032476431,1.20412105602061,1.22845774101408,1.14128155596282,1.04684068882395,0.959301269668301,0.978189443096075,0.991992339062526,1.08352733336635,-0.0246235884567184,-0.0557466063348429,-0.0555588409225318,-0.032176957352004,0.0101318528799451,"n"
2,1741.33333333333,1867.33333333333,2133.66666666667,2199,2086,2030,2201.33333333333,2252.66666666667,2237.33333333333,2025,2064,1929.36363636364,0.90254283874413,0.967849345835493,1.1058914071212,1.13975404042784,1.08118550629035,1.05216039202752,1.14096342018879,1.16756977492971,1.15962242221489,1.04956886396834,1.06978278282995,-0.00157787845649142,0.0101258147642874,0.0251837647810809,0.00128078817734223,-0.022819503331315,"n"
3,826,749,915,1157.66666666667,1200.33333333333,1123,941.333333333333,1030.66666666667,932.333333333333,842.333333333333,943.333333333333,794.272727272727,1.03994506123383,0.943001030101866,1.15199725306169,1.45751783602304,1.51123574071955,1.41387203845714,1.18515127236656,1.29762313532486,1.17382015184465,1.06050894662546,1.18766929914921,0.00196721311474465,-0.0443132738266638,-0.0523465703971126,-0.0507865835559484,-0.019582152974505,"n"
4,8586.33333333333,8936.66666666667,9352.33333333333,9040,8905.33333333333,9017.66666666667,9127.66666666667,9465.33333333333,9236,9289.33333333333,8635.66666666667,7228.31818181818,1.18787429072105,1.23634107435193,1.29384638280836,1.25063670035152,1.23200627162947,1.24754700053871,1.26276492498989,1.30947934156275,1.27775227482817,1.28513066244086,1.19469929926279,-0.00504330470114367,0.011869469026549,0.0124532115586168,0.00722655528037537,-0.0127086148340214,"n"
5,1865,1844,1731.66666666667,1602,1599,1595.66666666667,1641,1509.33333333333,1539.66666666667,1602.33333333333,1589.33333333333,1996.36363636364,0.9341985428051,0.92367941712204,0.867410443230115,0.802459016393443,0.800956284153005,0.799286581663631,0.821994535519126,0.756041287188828,0.771235579842137,0.80262598664238,0.796114146933819,-0.0108373435996142,-0.00894714939658795,-0.0128205128205131,-0.00551493628577355,-0.000629697339020572,"n"
6,56,36,27.6666666666667,29.6666666666667,29,27.6666666666667,28.6666666666667,29,29,25.6666666666667,27,88.0454545454545,0.636035105833764,0.408879710893134,0.314231629667871,0.336947169161934,0.329375322663913,0.314231629667871,0.325589399414903,0.329375322663913,0.329375322663913,0.291516090173808,0.30665978316985,-1.87492819251937e-15,-0.00561797752808982,0.00459770114942559,-0.01325301204819,-0.0232558139534889,"n"
7,111.666666666667,64.3333333333333,3.33333333333333,0,3.33333333333333,5,5,4,17.3333333333333,17.3333333333333,15,360.5,0.309754969949145,0.178455848358761,0.0092464170134073,0,0.0092464170134073,0.013869625520111,0.013869625520111,0.0110957004160888,0.048081368469718,0.048081368469718,0.0416088765603329,0.250000000000059,Inf,0.810000000000018,0.739999999999914,0.666666666666678,"n"
8,1110.33333333333,1154,1237.33333333333,1383.66666666667,1305.66666666667,1245.66666666667,1168,1210,1146.33333333333,1080.66666666667,1070,1577.31818181818,0.703937446567342,0.731621567101813,0.784453858198131,0.877227361363265,0.827776336897112,0.789737087307763,0.740497392005994,0.767124866718538,0.726760996320951,0.685129150937053,0.678366617676724,-0.0223599137931101,-0.0350517947482539,-0.0271381159050297,-0.028231201498526,-0.0278538812785395,"n"
9,2646.66666666667,2597.33333333333,2626,2626.33333333333,2548,2462,2470.33333333333,2602,2674,2688.66666666667,2602,3056.36363636364,0.865952805869522,0.84981162006742,0.859190957763236,0.859300019829467,0.833670434265318,0.80553242117787,0.808258972833631,0.851338488994646,0.874895895300416,0.879694626214555,0.851338488994646,-0.0181137344503706,-0.00481025510851617,0.0153846153846159,0.0266856214459763,0.014168128457698,"n"
10,128,158.666666666667,177,111.333333333333,89,91.6666666666667,90.3333333333333,100.666666666667,83,62,59.3333333333333,357.409090909091,0.358133028106321,0.443935732756793,0.495230827928272,0.311501123404977,0.249014371105176,0.256475475857391,0.252744923481284,0.281656704396117,0.232226885412692,0.173470685488999,0.166009580736784,-0.109039548022603,-0.0179640718562869,-0.00337078651685427,-0.0727272727272631,-0.111439114391146,"n"
