"zone","avg3yr_1995","avg3yr_1996","avg3yr_1997","avg3yr_1998","avg3yr_1999","avg3yr_2000","avg3yr_2001","avg3yr_2002","avg3yr_2003","avg3yr_2004","avg3yr_2005","avg3yr_2006","avg3yr_2007","avg3yr_2008","avg3yr_2009","avg3yr_2010","avg3yr_2011","avg3yr_2012","avg3yr_2013","avg3yr_2014","avg3yr_2015","Reference_avg1979to1990monthlypixels","pctdevR_1995","pctdevR_1996","pctdevR_1997","pctdevR_1998","pctdevR_1999","pctdevR_2000","pctdevR_2001","pctdevR_2002","pctdevR_2003","pctdevR_2004","pctdevR_2005","pctdevR_2006","pctdevR_2007","pctdevR_2008","pctdevR_2009","pctdevR_2010","pctdevR_2011","pctdevR_2012","pctdevR_2013","pctdevR_2014","pctdevR_2015","Trend_1997to2006_pctdevRperyr","Trend_1998to2007_pctdevRperyr","Trend_1999to2008_pctdevRperyr","Trend_2000to2009_pctdevRperyr","Trend_2001to2010_pctdevRperyr","Trend_2002to2011_pctdevRperyr","Trend_2003to2012_pctdevRperyr","Trend_2004to2013_pctdevRperyr","Trend_2005to2014_pctdevRperyr","Trend_2006to2015_pctdevRperyr","pole"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n"
1,466,495.333333333333,473.333333333333,463.666666666667,461,472.666666666667,495.333333333333,479.333333333333,461.333333333333,434.666666666667,438,454.333333333333,452,451.333333333333,436,436,423.666666666667,431.666666666667,436.333333333333,437.666666666667,427.666666666667,516.833333333333,0.901644630764269,0.958400515962593,0.91583360206385,0.897129958078039,0.891970332150919,0.91454369558207,0.958400515962593,0.927442760399871,0.892615285391809,0.841019026120606,0.847468558529507,0.879071267333118,0.874556594646888,0.873266688165108,0.843598839084166,0.843598839084166,0.819735569171235,0.835214446952596,0.844243792325056,0.846823605288617,0.827475008061916,-0.00681604780196323,-0.00686229658192317,-0.00772146628979591,-0.0101594221481381,-0.0100208001957665,-0.00801618409407005,-0.00538185321422311,-0.0034300055772448,-0.00434020571006905,-0.00587829876164414,"n"
2,7199.66666666667,7208.66666666667,7248,7155.33333333333,7141.66666666667,7068.66666666667,7138.66666666667,7123.66666666667,7152,7188,7180.66666666667,7052.33333333333,6947.33333333333,6923.33333333333,7049.33333333333,7052,6995.33333333333,6879.33333333333,6950,7046,7126.66666666667,7275.91666666667,0.989520220819828,0.990757178362406,0.996163140955893,0.983427059591575,0.98154871665655,0.971515616588975,0.98113639747569,0.979074801571394,0.982968927168398,0.987916757338709,0.98690886600772,0.969270767715408,0.954839596385335,0.951541042938461,0.968858448534549,0.96922495447309,0.961436703279083,0.945493694952526,0.955206102323877,0.968400316111372,0.979487120752253,-0.000934008963810301,-0.00149157653117408,-0.00257897528375938,-0.00246013849710891,-0.00279654973341934,-0.00291417284538802,-0.00379550538946494,-0.00345384844550122,-0.00172995388852781,0.000796068641226117,"n"
3,1798.33333333333,1857.33333333333,1862.66666666667,1812.66666666667,1751,1760,1829,1884.66666666667,1871.66666666667,1882.66666666667,1855,1841.33333333333,1794.33333333333,1756.33333333333,1762,1724,1716.33333333333,1666.66666666667,1730.33333333333,1754,1779.33333333333,1872.33333333333,0.960477123019405,0.991988606017447,0.994837101655688,0.968132455047178,0.935196724230016,0.940003560619548,0.976855972939291,1.00658714616343,0.99964393804522,1.00551896029909,0.990742389175717,0.983443119102724,0.958340751290725,0.938045219868257,0.941071746483888,0.920776215061421,0.916681502581449,0.890154886950329,0.924158803631832,0.936799003026527,0.950329357308172,0.0037526300947918,0.00364550246859937,0.000941453368637885,-0.00365358126721698,-0.00881090842818554,-0.0112390262726307,-0.0127591138454889,-0.0113303717057258,-0.00811021263851469,-0.00416035810677387,"n"
4,6235.66666666667,6281.33333333333,6197.33333333333,6589.66666666667,6617,6565.33333333333,6371.33333333333,6301.33333333333,6371.66666666667,6359,6212,6084.66666666667,5889.33333333333,5856,5800.66666666667,5853.66666666667,5760,5602,5586.33333333333,5713.66666666667,5799.33333333333,6635.16666666667,0.939790510160508,0.946673030067067,0.934013212428726,0.993142598779232,0.997262063248851,0.989475270653839,0.960237120393861,0.94968727236191,0.960287357765442,0.958378337645374,0.936223656778277,0.917032980834443,0.887593881088141,0.882570143930069,0.87423074024767,0.882218482329005,0.868101780914822,0.844289266785562,0.841928110321268,0.861118786265103,0.874029790761347,-0.00547514734261713,-0.0108182845195344,-0.0121770829039983,-0.0125150776653614,-0.0116795241311302,-0.012073442849998,-0.0131234394692406,-0.0123991924274987,-0.0094099397061408,-0.00581259068166045,"n"
5,518.333333333333,485.333333333333,481.666666666667,476.666666666667,465,434,389,390.333333333333,421.333333333333,449.333333333333,455,376,322.333333333333,320.666666666667,367.333333333333,390.666666666667,379,317,285,277,300.666666666667,521.25,0.994404476418865,0.931095123900879,0.924060751398881,0.914468425259792,0.892086330935252,0.832613908872902,0.746282973621103,0.748840927258193,0.808313349320544,0.86203037569944,0.872901678657074,0.721342925659472,0.618385291766587,0.615187849720224,0.704716227018385,0.749480415667466,0.727098321342926,0.608153477218225,0.546762589928058,0.531414868105516,0.576818545163869,-0.0153213798888539,-0.0215511760966312,-0.0250722276528726,-0.0216264022715625,-0.0172833735815738,-0.0183733147012393,-0.0256137322593005,-0.0293813505979676,-0.0275369075369076,-0.0215398667526318,"n"
6,34.6666666666667,33.3333333333333,29,25.3333333333333,19.6666666666667,18.6666666666667,17.6666666666667,18.3333333333333,19,20,20,19.3333333333333,17.6666666666667,16.6666666666667,15.6666666666667,15.3333333333333,16.6666666666667,15,14,9.66666666666667,12.6666666666667,35.75,0.96969696969697,0.932400932400932,0.811188811188811,0.708624708624709,0.55011655011655,0.522144522144522,0.494172494172494,0.512820512820513,0.531468531468531,0.559440559440559,0.559440559440559,0.540792540792541,0.494172494172494,0.466200466200466,0.438228438228438,0.428904428904429,0.466200466200466,0.41958041958042,0.391608391608392,0.27039627039627,0.354312354312354,-0.0252873563218391,-0.0136363636363629,-0.00606060606060605,-0.0117965367965359,-0.020240137221269,-0.0244628099173551,-0.0301967038809124,-0.0334343434343432,-0.043636363636365,-0.0407523510971771,"n"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n"
8,1079,1078.33333333333,1071.66666666667,1051.33333333333,1003.33333333333,978.666666666667,971,933,898.666666666667,875.666666666667,884.666666666667,897.666666666667,903.666666666667,918,916,891.333333333333,861.333333333333,860,881,881,909.333333333333,1105.66666666667,0.97588182092252,0.975278866445583,0.969249321676213,0.950859210129635,0.907446487790172,0.885137172143503,0.878203195658728,0.843834790473319,0.812782634911064,0.791980705456738,0.800120590895387,0.811878203195659,0.817304793488092,0.830268314742237,0.828459451311426,0.806150135664757,0.779017184202593,0.777811275248719,0.796804341272234,0.796804341272234,0.822429906542056,-0.0206362222536405,-0.0164812359485793,-0.0110399677841538,-0.00666129964495093,-0.00400919597624029,-0.00252471120638326,-0.00233117525402385,-0.00239009816474598,-0.00385467333470374,-0.00294815965072163,"n"
9,1504.33333333333,1447.33333333333,1442,1458,1476.33333333333,1461.66666666667,1399.66666666667,1339,1275.66666666667,1277,1298.66666666667,1361.66666666667,1395.66666666667,1410.33333333333,1390,1347.33333333333,1379,1395.66666666667,1410,1372,1379.33333333333,1466.5,1.02579838618025,0.986930332992385,0.983293556085919,0.994203886805319,1.0067053074213,0.996704170928515,0.95442663939084,0.913058302079782,0.869871576315491,0.870780770542107,0.885555176724628,0.928514603932265,0.95169905671099,0.961700193203773,0.947834981247869,0.918740765996136,0.940334128878282,0.95169905671099,0.961472894647119,0.935560859188544,0.940561427434936,-0.0145154737387745,-0.0108492330714555,-0.00560630007457736,-3.04066894723849e-05,0.00423621785850876,0.00812757900136528,0.0101527424757106,0.00853009341654603,0.00402121834360014,0.00017951856385163,"n"
