"rgn_id","habitat","km2"
1,"seaice_edge",47795.928030303
2,"seaice_edge",100487.68939394
3,"seaice_edge",41368.3712121212
4,"seaice_edge",376474.90530303
5,"seaice_edge",103977.272727273
6,"seaice_edge",4585.70075757576
7,"seaice_edge",18776.0416666667
8,"seaice_edge",82151.9886363635
9,"seaice_edge",159185.606060606
1,"seaice_shoreline",26034.5643939394
2,"seaice_shoreline",376889.204545455
3,"seaice_shoreline",96557.7651515151
4,"seaice_shoreline",340111.268939394
5,"seaice_shoreline",25828.5984848485
6,"seaice_shoreline",1718.75
8,"seaice_shoreline",56112.6893939396
9,"seaice_shoreline",76276.0416666667
