"","CellID","rgn_id","area","rgn_name","proportionArea","ocean","fao_id"
"1",4566,8,1,"west",0.07,"Arctic",18
"2",4567,8,1,"west",0.1,"Arctic",18
"3",4568,8,1,"west",0.17,"Arctic",18
"4",4569,8,1,"west",0.2,"Arctic",18
"5",4570,8,1,"west",0.23,"Arctic",18
"6",4571,8,1,"west",0.3,"Arctic",18
"7",4572,8,1,"west",0.3,"Arctic",18
"8",4573,8,1,"west",0.38,"Arctic",18
"9",4574,8,1,"west",0.4,"Arctic",18
"10",4575,8,1,"west",0.4,"Arctic",18
"11",4576,8,1,"west",0.47,"Arctic",18
"12",4577,8,1,"west",0.5,"Arctic",18
"13",4578,8,1,"west",0.5,"Arctic",18
"14",4579,8,1,"west",0.54,"Arctic",18
"15",4580,8,1,"west",0.6,"Arctic",18
"16",4581,8,1,"west",0.6,"Arctic",18
"17",4582,8,1,"west",0.6,"Arctic",18
"18",4583,8,1,"west",0.68,"Arctic",18
"19",4584,8,1,"west",0.7,"Arctic",18
"20",4585,8,1,"west",0.7,"Arctic",18
"21",4586,8,1,"west",0.7,"Arctic",18
"22",4587,8,1,"west",0.72,"Arctic",18
"23",4588,8,1,"west",0.8,"Arctic",18
"24",4589,8,1,"west",0.8,"Arctic",18
"25",4590,8,1,"west",0.8,"Arctic",18
"26",4591,8,1,"west",0.8,"Arctic",18
"27",4592,8,1,"west",0.81,"Arctic",18
"28",4593,8,1,"west",0.9,"Arctic",18
"29",4594,8,1,"west",0.9,"Arctic",18
"30",4595,8,1,"west",0.9,"Arctic",18
"31",4596,8,1,"west",0.9,"Arctic",18
"32",4597,8,1,"west",0.9,"Arctic",18
"33",4598,8,1,"west",0.9,"Arctic",18
"34",4599,8,1,"west",0.9,"Arctic",18
"35",4600,8,1,"west",0.9,"Arctic",18
"36",4601,9,1,"east",0.93,"Atlantic",27
"37",4602,9,1,"east",1,"Atlantic",27
"38",4603,9,1,"east",1,"Atlantic",27
"39",4604,9,1,"east",1,"Atlantic",27
"40",4605,9,1,"east",1,"Atlantic",27
"41",4606,9,1,"east",1,"Atlantic",27
"42",4607,9,1,"east",1,"Atlantic",27
"43",4608,9,1,"east",1,"Atlantic",27
"44",4609,9,1,"east",1,"Atlantic",27
"45",4610,9,1,"east",1,"Atlantic",27
"46",4611,9,1,"east",1,"Atlantic",27
"47",4612,9,1,"east",1,"Atlantic",27
"48",4613,9,1,"east",1,"Atlantic",27
"49",4614,9,1,"east",1,"Atlantic",27
"50",4615,9,1,"east",1,"Atlantic",27
"51",4616,9,1,"east",1,"Atlantic",27
"52",4617,9,1,"east",1,"Atlantic",27
