"rgn_id","year","fis_catch"
1,2005,736.7269026277
1,2006,845.3129958406
1,2007,769.4838596255
1,2008,815.829316756
1,2009,833.2939202734
1,2010,777.0592387949
1,2011,767.3262408153
1,2012,797.8000947411
1,2013,794.6634552278
1,2014,790.3071202478
2,2005,51298.6795539965
2,2006,24261.8002032808
2,2007,23437.7310527991
2,2008,28360.7696366887
2,2009,46889.9850334376
2,2010,28997.8705434631
2,2011,21735.4148840846
2,2012,20056.3110264286
2,2013,21765.9087629947
2,2014,26943.4154635395
3,2005,82.0324932989
3,2006,86.3489331798
3,2007,83.1998893439
3,2008,85.2289564721
3,2009,87.7152803902
3,2010,85.3811426045
3,2011,87.2647398667
3,2012,91.8518743532
3,2013,89.9895828899
3,2014,88.1844230318
4,2005,288326.954459378
4,2006,328505.811457353
4,2007,361515.664239148
4,2008,351163.779102101
4,2009,465902.49523297
4,2010,467070.887658133
4,2011,472418.72238991
4,2012,435841.923947245
4,2013,467462.77237292
4,2014,409070.496521258
5,2005,188023.92461112
5,2006,262781.56579724
5,2007,233271.821502496
5,2008,257460.912411397
5,2009,477476.532261473
5,2010,479042.471225066
5,2011,592955.861835109
5,2012,603671.711161178
5,2013,443910.633142713
5,2014,454432.875430873
6,2005,657072.12580409
6,2006,1075687.5827554
6,2007,1119734.76195941
6,2008,1241156.79919156
6,2009,1418620.34429833
6,2010,1705379.42829319
6,2011,1474664.01401717
6,2012,1558890.34342866
6,2013,1160537.76544845
6,2014,1133236.68324627
7,2005,38507.0365379997
7,2006,52990.9035794701
7,2007,38366.8315944086
7,2008,30473.0366512006
7,2009,43211.1045734024
7,2010,56942.6790577937
7,2011,70732.5995110843
7,2012,79297.1863353898
7,2013,48850.921865273
7,2014,47668.0909392167
8,2005,278913.681938656
8,2006,272638.66119456
8,2007,201992.713793007
8,2008,208816.728625511
8,2009,193797.73498236
8,2010,159290.565108825
8,2011,155500.220706786
8,2012,162758.056561349
8,2013,140933.908942168
8,2014,146194.923319755
9,2005,157261.392519289
9,2006,129762.719240918
9,2007,137803.147999853
9,2008,128551.945639618
9,2009,143877.243746097
9,2010,118385.107122447
9,2011,189187.690328679
9,2012,150812.643818772
9,2013,149863.100438569
9,2014,187999.275236626
