rgn_id,year,fis_catch,fis_catch,difference %
1,2005,736.7269026,585.9210949,20.46970284
1,2006,845.3129958,586.6686618,30.59746335
1,2007,769.4838596,424.0617995,44.89009818
1,2008,815.8293168,436.3367036,46.51617751
1,2009,833.2939203,446.8912226,46.37051685
1,2010,777.0592388,437.5392645,43.69293321
1,2011,767.3262408,445.0077935,42.00539876
1,2012,797.8000947,453.195167,43.19439544
1,2013,794.6634552,456.4422519,42.56156504
1,2014,790.3071202,452.6976168,42.71877285
2,2005,51298.67955,13722.13059,73.25051891
2,2006,24261.8002,13526.25995,44.24873738
2,2007,23437.73105,12609.34511,46.2006579
2,2008,28360.76964,11569.55952,59.20576322
2,2009,46889.98503,12579.00939,73.17335593
2,2010,28997.87054,11956.58772,58.76735948
2,2011,21735.41488,12433.56453,42.7958261
2,2012,20056.31103,11957.47352,40.38049418
2,2013,21765.90876,12168.86532,44.09208707
2,2014,26943.41546,11712.42811,56.52953456
3,2005,82.0324933,130.4325796,-59.00111569
3,2006,86.34893318,131.8171759,-52.65640359
3,2007,83.19988934,133.6676638,-60.65846341
3,2008,85.22895647,135.6690053,-59.18182144
3,2009,87.71528039,137.5573259,-56.82253459
3,2010,85.3811426,139.5266805,-63.41627229
3,2011,87.26473987,141.6201866,-62.28798342
3,2012,91.85187435,143.7141737,-56.46297331
3,2013,89.98958289,145.804855,-62.02414801
3,2014,88.18442303,147.8908578,-67.70632807
4,2005,288326.9545,288274.0179,0.018359894
4,2006,328505.8115,308050.0249,6.22691771
4,2007,361515.6642,322478.4333,10.79821285
4,2008,351163.7791,295896.4754,15.73832695
4,2009,465902.4952,371447.8154,20.27348658
4,2010,467070.8877,386710.6165,17.2051552
4,2011,472418.7224,385189.8092,18.46432181
4,2012,435841.9239,377188.0437,13.45760401
4,2013,467462.7724,420947.486,9.95058625
4,2014,409070.4965,364038.5834,11.00835027
5,2005,188023.9246,119059.9327,36.67830677
5,2006,262781.5658,89723.00924,65.85642948
5,2007,233271.8215,83604.2397,64.16016338
5,2008,257460.9124,86965.06215,66.22203295
5,2009,477476.5323,211698.6484,55.66302549
5,2010,479042.4712,151921.4126,68.28644186
5,2011,592955.8618,343627.1243,42.04844806
5,2012,603671.7112,377555.3221,37.45684697
5,2013,443910.6331,306697.9472,30.90997955
5,2014,454432.8754,285785.6934,37.11157162
6,2005,657072.1258,947092.1564,-44.13823371
6,2006,1075687.583,874723.2851,18.68240379
6,2007,1119734.762,1062177.963,5.14021723
6,2008,1241156.799,1121660.633,9.627805753
6,2009,1418620.344,1328054.196,6.384100482
6,2010,1705379.428,1291700.069,24.25732084
6,2011,1474664.014,1463888.634,0.730700679
6,2012,1558890.343,1356531.301,12.98096707
6,2013,1160537.765,1297753.737,-11.82348181
6,2014,1133236.683,1186570.846,-4.706356851
7,2005,38507.03654,5840.771437,84.83193732
7,2006,52990.90358,3217.993161,93.92727252
7,2007,38366.83159,11127.49834,70.99708817
7,2008,30473.03665,38760.17985,-27.19500289
7,2009,43211.10457,10725.65106,75.17848441
7,2010,56942.67906,11670.31132,79.50515938
7,2011,70732.59951,7390.972666,89.55082562
7,2012,79297.18634,12180.93836,84.63887696
7,2013,48850.92187,6661.2214,86.36418486
7,2014,47668.09094,5028.934365,89.45010328
8,2005,278913.6819,237968.4466,14.68025343
8,2006,272638.6612,245049.0774,10.11946865
8,2007,201992.7138,228474.395,-13.11021605
8,2008,208816.7286,235552.8392,-12.80362487
8,2009,193797.735,206050.5987,-6.322500975
8,2010,159290.5651,204901.4348,-28.63375472
8,2011,155500.2207,200421.7063,-28.88837419
8,2012,162758.0566,193463.9268,-18.86596025
8,2013,140933.9089,189084.9405,-34.16568229
8,2014,146194.9233,187040.2868,-27.93897528
9,2005,157261.3925,37338.24593,76.25720762
9,2006,129762.7192,30746.0277,76.30596224
9,2007,137803.148,34157.22498,75.21302998
9,2008,128551.9456,40276.22299,68.66930112
9,2009,143877.2437,51449.39395,64.24077039
9,2010,118385.1071,44058.47107,62.78377227
9,2011,189187.6903,91820.67801,51.46582854
9,2012,150812.6438,91523.81164,39.31290552
9,2013,149863.1004,144387.6663,3.653623938
9,2014,187999.2752,161904.9913,13.87999176
