"year","Scientific_Name","Common_Name","fao_rgn","stock_id","TaxonKey","Resilience","tons"
1950,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1298.1913186309
1951,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1298.1913186309
1952,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1298.1913186309
1953,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1298.1913186309
1954,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1298.1913186309
1955,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1947.2869826046
1956,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1947.2869826046
1957,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1947.2869826046
1958,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1947.2869826046
1959,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,1947.2869826046
1960,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,2596.3827043846
1961,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,2596.3827043846
1962,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,2596.3827043846
1963,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,2596.3827043846
1964,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,2596.3827043846
1965,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,3894.5740389479
1966,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,3894.5740389479
1967,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,3894.5740389479
1968,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,3894.5740389479
1969,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,4543.6697220038
1970,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,6354.8199203475
1971,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,9997.7301125892
1972,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,9545.5267984194
1973,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,7884.5730781896
1974,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,13294.2561887998
1975,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,16438.4084847333
1976,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,17677.7431996502
1977,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,12198.4869727189
1978,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,10111.2264571378
1979,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,12638.5901118511
1980,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,14055.0067964771
1981,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,18915.7638976293
1982,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,14493.6173119584
1983,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,23885.5354716804
1984,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,19006.9897449673
1985,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,15359.4544383641
1986,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,16596.0961675017
1987,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,20453.9894766188
1988,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,12672.8576809552
1989,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,17621.8160780051
1990,"Aequipecten opercularis","Queen scallop",27,"Aequipecten_opercularis-27",690314,NA,22929.1665846376
