"","region_id","score","dimension","goal"
"1",1,37.4,"status","FIS"
"2",2,52.3,"status","FIS"
"3",3,40.8,"status","FIS"
"4",4,51.1,"status","FIS"
"5",5,53.5,"status","FIS"
"6",6,55.3,"status","FIS"
"7",7,52.2,"status","FIS"
"8",8,51.5,"status","FIS"
"9",9,53.8,"status","FIS"
"10",1,0.169,"trend","FIS"
"11",2,-0.295,"trend","FIS"
"12",3,0.1382,"trend","FIS"
"13",4,0.0312,"trend","FIS"
"14",5,0.0028,"trend","FIS"
"15",6,0.0939,"trend","FIS"
"16",7,0.0352,"trend","FIS"
"17",8,-0.2077,"trend","FIS"
"18",9,0.1371,"trend","FIS"
