"","region_id","score","dimension","goal"
"1",1,45,"status","FIS"
"2",2,69,"status","FIS"
"3",3,47.5,"status","FIS"
"4",4,21.4,"status","FIS"
"5",5,58.8,"status","FIS"
"6",6,51.5,"status","FIS"
"7",7,10.4,"status","FIS"
"8",8,92.3,"status","FIS"
"9",9,16.7,"status","FIS"
"10",1,-0.0029,"trend","FIS"
"11",2,0.2876,"trend","FIS"
"12",3,-0.0048,"trend","FIS"
"13",4,-0.1731,"trend","FIS"
"14",5,0.1602,"trend","FIS"
"15",6,-0.1604,"trend","FIS"
"16",7,0.0492,"trend","FIS"
"17",8,0.1654,"trend","FIS"
"18",9,-0.2934,"trend","FIS"
