"rgn_id","habitat","km2"
1,"soft_bottom",231685.666610248
2,"soft_bottom",623410.263500567
3,"soft_bottom",198746.645885603
4,"soft_bottom",2880698.12528884
5,"soft_bottom",247035.669428324
6,"soft_bottom",74055.162076692
7,"soft_bottom",884.603075134298
8,"soft_bottom",170434.981227232
9,"soft_bottom",191930.050027263
10,"soft_bottom",13937.9562509561
1,"seaice_edge",44509.5486111111
2,"seaice_edge",97960.0694444443
3,"seaice_edge",38823.7847222222
4,"seaice_edge",364244.791666667
5,"seaice_edge",105494.791666667
6,"seaice_edge",5533.85416666667
7,"seaice_edge",23550.3472222222
8,"seaice_edge",85915.7986111109
9,"seaice_edge",161953.125
1,"seaice_shoreline",26918.4027777778
2,"seaice_shoreline",378953.993055556
3,"seaice_shoreline",97517.3611111109
4,"seaice_shoreline",345581.597222222
5,"seaice_shoreline",27148.4375
6,"seaice_shoreline",1861.97916666667
8,"seaice_shoreline",57586.8055555557
9,"seaice_shoreline",76380.2083333333
