Specie Common Name,Specie Scientific Name,IUCN_id,am_id
Arctic Char,Salvelinus alpinus ,19877,
Arctic cisco,Coregonus autumnalis,5363,
Atlantic Cod,Gadus morhua,8784,
Atlantic Herring,Clupea harengus,155123,
Atlantic Salmon,Salmo salar,19855,
Basking Shark,Cetorhinus maximus,4292,
Bearded seal,Erignathus barbatus,8010,
Beluga whale,Delphinapterus leucas,6335,
Blue Shark,Prionace glauca,39381,
Blue whale,Balaenoptera musculus,2477,
Bowhead whale,Balaena mysticetus,2467,
Broad whitefish,Coregonus nasus,5370,
Brown Trout,Salmo trutta,19861,
Caribbean reef shark,Carcharhinus perezi,60217,
Chum Salmon,Oncorhynchus keta,NA,
Common Eiders,Somateria mollissima,22680405,
Dolly varden,Salvelinus malma malma,NA,
European Flounder,Platichthys flesus,135717,
Fin whale,Balaenoptera physalus,2478,
Gray reef shark,Carcharhinus amblyrhynchos,39365,
Gray Whale,Eschrichtius robustus,8097,
Great White Shark,Carcharodon carcharias,3855,
Greenland shark,Somniosus microcephalus ,60213,
Green Turtle,Chelonia mydas,4615,
Grey Seal,Halichoerus grypus,9660,
Black Guillemot,Cepphus grylle,22694861,
Harbor Seal,Phoca vitulina,17013,
Harbour Porpoise,Phocoena phocoena,17027,
Hooded seal,Cystophora cristata,6204,
Humpback Whale,Megaptera novaeangliae,13006,
Longfin Mako,Isurus paucus,60225,
Megamouth Shark,Megachasma pelagios,39338,
Minke whale,Balaenoptera acutorostrata,2474,
Muksun,Coregonus muksun,135665,
Narwhal,Monodon monoceros ,13704,
North Atlantic Right Whale,Eubalaena glacialis,41712,
North Pacific Right Whale,Eubalaena japonica,41711,
Northern Pike,Esox lucius,135631,
Pacific herring,Clupea pallasii pallasii,NA,
Perch,Perca fluviatilis,16580,
Pink salmon,Oncorhynchus gorbuscha,NA,
Polar bear,Ursus maritimus,22823,
Porbeagle,Lamna nasus,11200,
Rainbow smelt,Osmerus mordax mordax,NA,
Red knot,Calidris canutus ,22693363,
Ribbon seal,Histriophoca fasciata,41670,
Ringed Seal,Pusa hispida,41672,
Saffron cod,Eleginus gracilis,NA,
Sardine cisco,Coregonus sardinella,62223,
Sei whale,Balaenoptera borealis,2475,
Sheefishes,Stenodus leucichthys,20745,
Shortfin Mako,Isurus oxyrinchus,39341,
Spotted seal,Phoca largha ,17023,
Sprat,Sprattus sprattus,NA,
Starry flounder,Platichthys stellatus,19014407,
Thresher Shark,Alopias vulpinus,39339,
Tiger Shark,Galeocerdo cuvier,39378,
Walrus,Odobenus rosmarus ,15106,
