comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat
Arctic char,Salvelinus alpinus,TRUE,NA,19877,NA,LC
Arctic skua,Stercorarius parasiticus,FALSE,8,22694245,NA,LC
Arctic skua,Stercorarius parasiticus,FALSE,9,22694245,NA,LC
Arctic skua,Stercorarius parasiticus,FALSE,5,22694245,NA,LC
Arctic skua,Stercorarius parasiticus,FALSE,6,22694245,NA,LC
Arctic tern,Sterna paradisaea,FALSE,8,22694629,NA,LC
Arctic tern,Sterna paradisaea,FALSE,9,22694629,NA,LC
Arctic tern,Sterna paradisaea,FALSE,7,22694629,NA,LC
Arctic tern,Sterna paradisaea,FALSE,5,22694629,NA,LC
Arctic tern,Sterna paradisaea,FALSE,6,22694629,NA,LC
Bearded seal,Erignathus barbatus,FALSE,1,8010,NA,LC
Bearded seal,Erignathus barbatus,FALSE,8,8010,NA,LC
Bearded seal,Erignathus barbatus,FALSE,9,8010,NA,LC
Bearded seal,Erignathus barbatus,FALSE,5,8010,NA,LC
Bearded seal,Erignathus barbatus,FALSE,6,8010,NA,LC
Bearded seal,Erignathus barbatus,FALSE,7,8010,NA,LC
Beluga Whale,Delphinapterus leucas,FALSE,1,6335,NA,NT
Beluga Whale,Delphinapterus leucas,FALSE,1,61442,Cook Inlet subpopulation,CR
Beluga Whale,Delphinapterus leucas,FALSE,2,6335,NA,NT
Beluga Whale,Delphinapterus leucas,FALSE,2,61442,Cook Inlet subpopulation,CR
Beluga Whale,Delphinapterus leucas,FALSE,3,6335,NA,NT
Beluga Whale,Delphinapterus leucas,FALSE,3,61442,Cook Inlet subpopulation,CR
Beluga whale,Delphinapterus leucas,FALSE,8,6335,NA,NT
Beluga whale,Delphinapterus leucas,FALSE,8,61442,Cook Inlet subpopulation,CR
Beluga whale,Delphinapterus leucas,FALSE,9,6335,NA,NT
Beluga whale,Delphinapterus leucas,FALSE,9,61442,Cook Inlet subpopulation,CR
Black guillemot,Cepphus grylle,FALSE,8,22694861,NA,LC
Black guillemot,Cepphus grylle,FALSE,9,22694861,NA,LC
Black guillemot,Cepphus grylle,FALSE,5,22694861,NA,LC
Black guillemot,Cepphus grylle,FALSE,6,22694861,NA,LC
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,22563,NA,LC
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,194300,Fiordland subpopulation,CR
Bottlenosed dolphin,Tursiops truncatus,FALSE,8,16369383,Mediterranean subpopulation,VU
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,22563,NA,LC
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,194300,Fiordland subpopulation,CR
Bottlenosed dolphin,Tursiops truncatus,FALSE,9,16369383,Mediterranean subpopulation,VU
Bowhead whale,Balaena mysticetus,TRUE,NA,2469,Okhotsk Sea subpopulation,EN
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd
