comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat,cat_txt,cat_score,year,cat_2016_score
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1965.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1966.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1967.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1968.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1969.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1970.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1971.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1972.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1973.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1974.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1975.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1976.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1977.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1978.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1979.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1980.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1981.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1982.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1983.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1984.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CR,"""Very rare but believed to be stable or increasing""",0.8,1985.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,EN,Endangered,0.6,1986.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,EN,Endangered,0.6,1987.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,EN,Endangered,0.6,1988.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,EN,Endangered,0.6,1989.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1990.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1991.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1992.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1993.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1994.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,VU,Vulnerable,0.4,1995.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,1996.0,0.0
