iucn_sid,iucn_rgn_name,presence,origin,distribution_code,rgn_id,ohi_rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat
19877,Canada,Extant,Native,Native,2,Nunavut,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Canada,Extant,Native,Native,3,Beaufort,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Finland,Extant,Native,Native,NA,Finland,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Greenland,Extant,Native,Native,8,West Greenland,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Greenland,Extant,Native,Native,9,East Greenland,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Iceland,Extant,Native,Native,NA,Iceland,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Norway,Extant,Native,Native,6,Norway,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Saint Pierre and Miquelon,Extant,Native,Native,NA,Saint Pierre and Miquelon,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Russian Federation,Extant,Native,Native,4,Russia,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Sweden,Extant,Native,Native,NA,Sweden,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
19877,United States,Extant,Native,Native,1,Alaska,Arctic char,Salvelinus alpinus,TRUE,NA,NA,LC
22694245,Greenland,Extant,Native,Native,8,West Greenland,Arctic skua,Stercorarius parasiticus,FALSE,8,NA,LC
22694245,Greenland,Extant,Native,Native,9,East Greenland,Arctic skua,Stercorarius parasiticus,FALSE,9,NA,LC
22694245,Norway,Extant,Native,Native,6,Norway,Arctic skua,Stercorarius parasiticus,FALSE,6,NA,LC
22694245,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Arctic skua,Stercorarius parasiticus,FALSE,5,NA,LC
22694245,Greenland,Extant,Native,Native,8,West Greenland,Arctic skua,Stercorarius parasiticus,FALSE,8,NA,LC
22694245,Greenland,Extant,Native,Native,9,East Greenland,Arctic skua,Stercorarius parasiticus,FALSE,9,NA,LC
22694245,Norway,Extant,Native,Native,6,Norway,Arctic skua,Stercorarius parasiticus,FALSE,6,NA,LC
22694245,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Arctic skua,Stercorarius parasiticus,FALSE,5,NA,LC
22694245,Greenland,Extant,Native,Native,8,West Greenland,Arctic skua,Stercorarius parasiticus,FALSE,8,NA,LC
22694245,Greenland,Extant,Native,Native,9,East Greenland,Arctic skua,Stercorarius parasiticus,FALSE,9,NA,LC
22694245,Norway,Extant,Native,Native,6,Norway,Arctic skua,Stercorarius parasiticus,FALSE,6,NA,LC
22694245,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Arctic skua,Stercorarius parasiticus,FALSE,5,NA,LC
22694245,Greenland,Extant,Native,Native,8,West Greenland,Arctic skua,Stercorarius parasiticus,FALSE,8,NA,LC
22694245,Greenland,Extant,Native,Native,9,East Greenland,Arctic skua,Stercorarius parasiticus,FALSE,9,NA,LC
22694245,Norway,Extant,Native,Native,6,Norway,Arctic skua,Stercorarius parasiticus,FALSE,6,NA,LC
