iucn_sid,iucn_rgn_name,presence,origin,distribution_code,rgn_id,ohi_rgn_name
19877,Canada,Extant,Native,Native,2,Nunavut
19877,Canada,Extant,Native,Native,3,Beaufort
19877,Finland,Extant,Native,Native,NA,Finland
19877,Greenland,Extant,Native,Native,8,West Greenland
19877,Greenland,Extant,Native,Native,9,East Greenland
19877,Iceland,Extant,Native,Native,NA,Iceland
19877,Norway,Extant,Native,Native,6,Norway
19877,Saint Pierre and Miquelon,Extant,Native,Native,NA,Saint Pierre and Miquelon
19877,Russian Federation,Extant,Native,Native,4,Russia
19877,Sweden,Extant,Native,Native,NA,Sweden
19877,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard
19877,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen
19877,United States,Extant,Native,Native,1,Alaska
22694245,United Arab Emirates,Extant,Native,Native,NA,United Arab Emirates
22694245,Antigua and Barbuda,Extant,Native,Native,NA,Antigua and Barbuda
22694245,Angola,Extant,Native,Native,NA,Angola
22694245,Antarctica,Extant,Vagrant,Vagrant,NA,Antarctica
22694245,Argentina,Extant,Native,Native,NA,Argentina
22694245,Austria,Extant,Native,Native,NA,NA
22694245,Australia,Extant,Native,Native,NA,Australia
22694245,Aruba,Extant,Native,Native,NA,Aruba
22694245,Azerbaijan,Extant,Native,Native,NA,NA
22694245,Bosnia and Herzegovina,Extant,Vagrant,Vagrant,NA,Bosnia and Herzegovina
22694245,Barbados,Extant,Native,Native,NA,Barbados
22694245,Bangladesh,Extant,Native,Native,NA,Bangladesh
22694245,Belgium,Extant,Native,Native,NA,Belgium
22694245,Bulgaria,Extant,Native,Native,NA,Bulgaria
22694245,Bahrain,Extant,Native,Native,NA,Bahrain
22694245,Bermuda,Extant,Native,Native,NA,Bermuda
22694245,Brazil,Extant,Native,Native,NA,Brazil
22694245,Bahamas,Extant,Native,Native,NA,Bahamas
22694245,Belarus,Extant,Vagrant,Vagrant,NA,NA
22694245,Belize,Extant,Native,Native,NA,Belize
22694245,Canada,Extant,Native,Native,2,Nunavut
22694245,Canada,Extant,Native,Native,3,Beaufort
22694245,"Congo, The Democratic Republic of the",Extant,Vagrant,Vagrant,NA,Democratic Republic of the Congo
22694245,Congo,Extant,Origin Uncertain,Present - Origin Uncertain,NA,Republique du Congo
22694245,Switzerland,Extant,Native,Native,NA,NA
22694245,Côte d'Ivoire,Extant,Native,Native,NA,Ivory Coast
22694245,Chile,Extant,Native,Native,NA,Chile
22694245,Cameroon,Extant,Vagrant,Vagrant,NA,Cameroon
22694245,Colombia,Extant,Native,Native,NA,Colombia
22694245,Costa Rica,Extant,Native,Native,NA,Costa Rica
22694245,Cuba,Extant,Native,Native,NA,Cuba
22694245,Cape Verde,Extant,Native,Native,NA,Cape Verde
22694245,Curaçao,Extant,Native,Native,NA,Curacao
22694245,Christmas Island,Extant,Vagrant,Vagrant,NA,Christmas Island
22694245,Cyprus,Extant,Native,Native,NA,Cyprus
22694245,Czech Republic,Extant,Native,Native,NA,NA
22694245,Germany,Extant,Native,Native,NA,Germany
22694245,Denmark,Extant,Native,Native,NA,Denmark
22694245,Dominica,Extant,Native,Native,NA,Dominica
22694245,Dominican Republic,Extant,Native,Native,NA,Dominican Republic
22694245,Algeria,Extant,Native,Native,NA,Algeria
22694245,Ecuador,Extant,Native,Native,NA,Ecuador
22694245,Egypt,Extant,Native,Native,NA,Egypt
22694245,Eritrea,Extant,Native,Native,NA,Eritrea
22694245,Spain,Extant,Native,Native,NA,Spain
22694245,Ethiopia,Extant,Vagrant,Vagrant,NA,landlocked
22694245,Finland,Extant,Native,Native,NA,Finland
22694245,Fiji,Extant,Vagrant,Vagrant,NA,Fiji
22694245,Falkland Islands (Malvinas),Extant,Native,Native,NA,Falkland Islands
22694245,"Micronesia, Federated States of",Extant,Native,Native,NA,Micronesia
22694245,Faroe Islands,Extant,Native,Native,NA,Faeroe Islands
22694245,France,Extant,Native,Native,NA,France
22694245,Gabon,Extant,Native,Native,NA,Gabon
22694245,United Kingdom,Extant,Native,Native,NA,United Kingdom
22694245,Grenada,Extant,Vagrant,Vagrant,NA,Grenada
22694245,Georgia,Extant,Vagrant,Vagrant,NA,Georgia
22694245,French Guiana,Extant,Native,Native,NA,French Guiana
22694245,Ghana,Extant,Vagrant,Vagrant,NA,Ghana
22694245,Gibraltar,Extant,Native,Native,NA,Gibraltar
22694245,Greenland,Extant,Native,Native,8,West Greenland
22694245,Greenland,Extant,Native,Native,9,East Greenland
22694245,Gambia,Extant,Native,Native,NA,Gambia
22694245,Guinea,Extant,Native,Native,NA,Guinea
22694245,Guadeloupe,Extant,Native,Native,NA,Guadeloupe and Martinique
22694245,Greece,Extant,Native,Native,NA,Greece
22694245,South Georgia and the South Sandwich Islands,Extant,Native,Native,NA,South Georgia and the South Sandwich Islands
22694245,Guatemala,Extant,Native,Native,NA,Guatemala
22694245,Guinea-Bissau,Extant,Native,Native,NA,Guinea Bissau
22694245,Guyana,Extant,Native,Native,NA,Guyana
22694245,Honduras,Extant,Native,Native,NA,Honduras
22694245,Croatia,Extant,Vagrant,Vagrant,NA,Croatia
22694245,Haiti,Extant,Native,Native,NA,Haiti
22694245,Hungary,Extant,Native,Native,NA,NA
22694245,Indonesia,Extant,Native,Native,NA,Indonesia
22694245,Ireland,Extant,Native,Native,NA,Ireland
22694245,Israel,Extant,Native,Native,NA,Israel
22694245,India,Extant,Native,Native,NA,India
22694245,Iraq,Extant,Native,Native,NA,Iraq
22694245,"Iran, Islamic Republic of",Extant,Native,Native,NA,Iran
22694245,Iceland,Extant,Native,Native,NA,Iceland
22694245,Italy,Extant,Native,Native,NA,Italy
22694245,Jamaica,Extant,Vagrant,Vagrant,NA,Jamaica
22694245,Jordan,Extant,Native,Native,NA,Jordan
22694245,Japan,Extant,Native,Native,NA,Japan
22694245,Kenya,Extant,Vagrant,Vagrant,NA,Kenya
22694245,Kyrgyzstan,Extant,Vagrant,Vagrant,NA,NA
22694245,Saint Kitts and Nevis,Extant,Native,Native,NA,Saint Kitts and Nevis
22694245,"Korea, Republic of",Extant,Native,Native,NA,South Korea
22694245,Kuwait,Extant,Native,Native,NA,Kuwait
22694245,Cayman Islands,Extant,Native,Native,NA,Cayman Islands
22694245,Kazakhstan,Extant,Vagrant,Vagrant,NA,NA
22694245,Lebanon,Extant,Vagrant,Vagrant,NA,Lebanon
22694245,Saint Lucia,Extant,Native,Native,NA,Saint Lucia
22694245,Sri Lanka,Extant,Native,Native,NA,Sri Lanka
22694245,Liberia,Extant,Native,Native,NA,Liberia
22694245,Luxembourg,Extant,Vagrant,Vagrant,NA,NA
22694245,Latvia,Extant,Vagrant,Vagrant,NA,Latvia
22694245,Libya,Extant,Vagrant,Vagrant,NA,Libya
22694245,Morocco,Extant,Native,Native,NA,Morocco
22694245,Montenegro,Extant,Vagrant,Vagrant,NA,Montenegro
22694245,Martinique,Extant,Native,Native,NA,Guadeloupe and Martinique
22694245,Mauritania,Extant,Native,Native,NA,Mauritania
22694245,Montserrat,Extant,Native,Native,NA,Montserrat
22694245,Malta,Extant,Vagrant,Vagrant,NA,Malta
22694245,Mexico,Extant,Native,Native,NA,Mexico
22694245,Malaysia,Extant,Native,Native,NA,Malaysia
22694245,Mozambique,Extant,Native,Native,NA,Mozambique
22694245,Namibia,Extant,Native,Native,NA,Namibia
22694245,New Caledonia,Extant,Native,Native,NA,New Caledonia
22694245,Nigeria,Extant,Vagrant,Vagrant,NA,Nigeria
22694245,Nicaragua,Extant,Native,Native,NA,Nicaragua
22694245,Netherlands,Extant,Native,Native,NA,Netherlands
22694245,Norway,Extant,Native,Native,6,Norway
22694245,New Zealand,Extant,Native,Native,NA,New Zealand
22694245,Oman,Extant,Native,Native,NA,Oman
22694245,Panama,Extant,Native,Native,NA,Panama
22694245,Peru,Extant,Native,Native,NA,Peru
22694245,Papua New Guinea,Extant,Origin Uncertain,Present - Origin Uncertain,NA,Papua New Guinea
22694245,Pakistan,Extant,Native,Native,NA,Pakistan
22694245,Poland,Extant,Native,Native,NA,Poland
22694245,Saint Pierre and Miquelon,Extant,Native,Native,NA,Saint Pierre and Miquelon
22694245,Puerto Rico,Extant,Native,Native,NA,Puerto Rico and Virgin Islands of the United States
22694245,"Palestinian Territory, Occupied",Extant,Native,Native,NA,Israel
22694245,Portugal,Extant,Native,Native,NA,Portugal
22694245,Romania,Extant,Native,Native,NA,Romania
22694245,Serbia,Extant,Vagrant,Vagrant,NA,landlocked
22694245,Russian Federation,Extant,Native,Native,4,Russia
22694245,Saudi Arabia,Extant,Native,Native,NA,Saudi Arabia
22694245,Solomon Islands,Extant,Native,Native,NA,Solomon Islands
22694245,Seychelles,Extant,Vagrant,Vagrant,NA,Seychelles
22694245,Sudan,Extant,Vagrant,Vagrant,NA,Sudan
22694245,Sweden,Extant,Native,Native,NA,Sweden
22694245,Singapore,Extant,Native,Native,NA,Singapore
22694245,"Saint Helena, Ascension and Tristan da Cunha",Extant,Native,Native,NA,Ascension
22694245,"Saint Helena, Ascension and Tristan da Cunha",Extant,Native,Native,NA,Saint Helena
22694245,"Saint Helena, Ascension and Tristan da Cunha",Extant,Native,Native,NA,Tristan da Cunha
22694245,Slovenia,Extant,Vagrant,Vagrant,NA,Slovenia
22694245,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard
22694245,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen
22694245,Slovakia,Extant,Native,Native,NA,NA
22694245,Sierra Leone,Extant,Vagrant,Vagrant,NA,Sierra Leone
22694245,Senegal,Extant,Native,Native,NA,Senegal
22694245,Somalia,Extant,Native,Native,NA,Somalia
22694245,Turks and Caicos Islands,Extant,Native,Native,NA,Turks and Caicos Islands
22694245,Togo,Extant,Native,Native,NA,Togo
22694245,Thailand,Extant,Native,Native,NA,Thailand
22694245,Timor-Leste,Extant,Vagrant,Vagrant,NA,East Timor
22694245,Turkmenistan,Extant,Native,Native,NA,landlocked
22694245,Tunisia,Extant,Native,Native,NA,Tunisia
22694245,Turkey,Extant,Native,Native,NA,Turkey
22694245,Trinidad and Tobago,Extant,Native,Native,NA,Trinidad and Tobago
22694245,"Taiwan, Province of China",Extant,Native,Native,NA,Taiwan
22694245,"Tanzania, United Republic of",Extant,Vagrant,Vagrant,NA,Tanzania
22694245,United States,Extant,Native,Native,1,Alaska
22694245,Uruguay,Extant,Native,Native,NA,Uruguay
22694245,Saint Vincent and the Grenadines,Extant,Native,Native,NA,Saint Vincent and the Grenadines
22694245,"Venezuela, Bolivarian Republic of",Extant,Native,Native,NA,Venezuela
22694245,"Virgin Islands, British",Extant,Native,Native,NA,British Virgin Islands
22694245,"Virgin Islands, U.S.",Extant,Native,Native,NA,Puerto Rico and Virgin Islands of the United States
22694245,Vanuatu,Extant,Native,Native,NA,Vanuatu
22694245,Yemen,Extant,Native,Native,NA,Yemen
22694245,South Africa,Extant,Native,Native,NA,South Africa
22694245,United Arab Emirates,Extant,Native,Native,NA,United Arab Emirates
22694245,Antigua and Barbuda,Extant,Native,Native,NA,Antigua and Barbuda
22694245,Angola,Extant,Native,Native,NA,Angola
22694245,Antarctica,Extant,Vagrant,Vagrant,NA,Antarctica
22694245,Argentina,Extant,Native,Native,NA,Argentina
22694245,Austria,Extant,Native,Native,NA,NA
22694245,Australia,Extant,Native,Native,NA,Australia
22694245,Aruba,Extant,Native,Native,NA,Aruba
22694245,Azerbaijan,Extant,Native,Native,NA,NA
22694245,Bosnia and Herzegovina,Extant,Vagrant,Vagrant,NA,Bosnia and Herzegovina
22694245,Barbados,Extant,Native,Native,NA,Barbados
22694245,Bangladesh,Extant,Native,Native,NA,Bangladesh
22694245,Belgium,Extant,Native,Native,NA,Belgium
22694245,Bulgaria,Extant,Native,Native,NA,Bulgaria
22694245,Bahrain,Extant,Native,Native,NA,Bahrain
22694245,Bermuda,Extant,Native,Native,NA,Bermuda
22694245,Brazil,Extant,Native,Native,NA,Brazil
22694245,Bahamas,Extant,Native,Native,NA,Bahamas
22694245,Belarus,Extant,Vagrant,Vagrant,NA,NA
22694245,Belize,Extant,Native,Native,NA,Belize
22694245,Canada,Extant,Native,Native,2,Nunavut
22694245,Canada,Extant,Native,Native,3,Beaufort
22694245,"Congo, The Democratic Republic of the",Extant,Vagrant,Vagrant,NA,Democratic Republic of the Congo
22694245,Congo,Extant,Origin Uncertain,Present - Origin Uncertain,NA,Republique du Congo
22694245,Switzerland,Extant,Native,Native,NA,NA
22694245,Côte d'Ivoire,Extant,Native,Native,NA,Ivory Coast
22694245,Chile,Extant,Native,Native,NA,Chile
22694245,Cameroon,Extant,Vagrant,Vagrant,NA,Cameroon
22694245,Colombia,Extant,Native,Native,NA,Colombia
22694245,Costa Rica,Extant,Native,Native,NA,Costa Rica
22694245,Cuba,Extant,Native,Native,NA,Cuba
22694245,Cape Verde,Extant,Native,Native,NA,Cape Verde
22694245,Curaçao,Extant,Native,Native,NA,Curacao
22694245,Christmas Island,Extant,Vagrant,Vagrant,NA,Christmas Island
22694245,Cyprus,Extant,Native,Native,NA,Cyprus
22694245,Czech Republic,Extant,Native,Native,NA,NA
22694245,Germany,Extant,Native,Native,NA,Germany
22694245,Denmark,Extant,Native,Native,NA,Denmark
22694245,Dominica,Extant,Native,Native,NA,Dominica
22694245,Dominican Republic,Extant,Native,Native,NA,Dominican Republic
22694245,Algeria,Extant,Native,Native,NA,Algeria
22694245,Ecuador,Extant,Native,Native,NA,Ecuador
22694245,Egypt,Extant,Native,Native,NA,Egypt
22694245,Eritrea,Extant,Native,Native,NA,Eritrea
22694245,Spain,Extant,Native,Native,NA,Spain
22694245,Ethiopia,Extant,Vagrant,Vagrant,NA,landlocked
22694245,Finland,Extant,Native,Native,NA,Finland
22694245,Fiji,Extant,Vagrant,Vagrant,NA,Fiji
22694245,Falkland Islands (Malvinas),Extant,Native,Native,NA,Falkland Islands
22694245,"Micronesia, Federated States of",Extant,Native,Native,NA,Micronesia
22694245,Faroe Islands,Extant,Native,Native,NA,Faeroe Islands
22694245,France,Extant,Native,Native,NA,France
22694245,Gabon,Extant,Native,Native,NA,Gabon
22694245,United Kingdom,Extant,Native,Native,NA,United Kingdom
22694245,Grenada,Extant,Vagrant,Vagrant,NA,Grenada
22694245,Georgia,Extant,Vagrant,Vagrant,NA,Georgia
22694245,French Guiana,Extant,Native,Native,NA,French Guiana
22694245,Ghana,Extant,Vagrant,Vagrant,NA,Ghana
22694245,Gibraltar,Extant,Native,Native,NA,Gibraltar
22694245,Greenland,Extant,Native,Native,8,West Greenland
22694245,Greenland,Extant,Native,Native,9,East Greenland
22694245,Gambia,Extant,Native,Native,NA,Gambia
22694245,Guinea,Extant,Native,Native,NA,Guinea
22694245,Guadeloupe,Extant,Native,Native,NA,Guadeloupe and Martinique
22694245,Greece,Extant,Native,Native,NA,Greece
22694245,South Georgia and the South Sandwich Islands,Extant,Native,Native,NA,South Georgia and the South Sandwich Islands
