rgn_id,rgn_name,sciname,iucn_sid,cat,cat_score,year,mean_cat,ico_status,n_spp,trend_lm,ico_trend
1,Alaska,Balaena mysticetus,2467,LC,0.0,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Balaena mysticetus,2468,CD,0.3,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Balaenoptera acutorostrata,2474,LC,0.0,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Balaenoptera borealis,2475,EN,0.6,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Balaenoptera musculus,2477,EN,0.6,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Balaenoptera physalus,2478,EN,0.6,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Delphinapterus leucas,6335,NT,0.2,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Delphinapterus leucas,61442,CR,0.8,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Megaptera novaeangliae,13006,LC,0.0,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Ursus maritimus,22823,VU,0.4,2016.0,0.35625,64.375,8,0.005795454545454576,0.02898
1,Alaska,Balaena mysticetus,2467,LC,0.0,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Balaena mysticetus,2468,CD,0.3,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Balaenoptera acutorostrata,2474,LC,0.0,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Balaenoptera borealis,2475,EN,0.6,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Balaenoptera musculus,2477,EN,0.6,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Balaenoptera physalus,2478,EN,0.6,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Delphinapterus leucas,6335,NT,0.2,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Delphinapterus leucas,61442,CR,0.8,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Megaptera novaeangliae,13006,LC,0.0,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Ursus maritimus,22823,VU,0.4,2015.0,0.35625,64.375,8,0.010303030303030201,0.05152
1,Alaska,Balaena mysticetus,2467,LC,0.0,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Balaena mysticetus,2468,CD,0.3,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Balaenoptera acutorostrata,2474,LC,0.0,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Balaenoptera borealis,2475,EN,0.6,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Balaenoptera musculus,2477,EN,0.6,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Balaenoptera physalus,2478,EN,0.6,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Delphinapterus leucas,6335,NT,0.2,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Delphinapterus leucas,61442,CR,0.8,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Megaptera novaeangliae,13006,LC,0.0,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Ursus maritimus,22823,VU,0.4,2014.0,0.35625,64.375,8,0.012840909090909436,0.0642
1,Alaska,Balaena mysticetus,2467,LC,0.0,2013.0,0.35625,64.375,8,0.014242424242424095,0.07121
1,Alaska,Balaena mysticetus,2468,CD,0.3,2013.0,0.35625,64.375,8,0.014242424242424095,0.07121
1,Alaska,Balaenoptera acutorostrata,2474,LC,0.0,2013.0,0.35625,64.375,8,0.014242424242424095,0.07121
1,Alaska,Balaenoptera borealis,2475,EN,0.6,2013.0,0.35625,64.375,8,0.014242424242424095,0.07121
1,Alaska,Balaenoptera musculus,2477,EN,0.6,2013.0,0.35625,64.375,8,0.014242424242424095,0.07121
1,Alaska,Balaenoptera physalus,2478,EN,0.6,2013.0,0.35625,64.375,8,0.014242424242424095,0.07121
1,Alaska,Delphinapterus leucas,6335,NT,0.2,2013.0,0.35625,64.375,8,0.014242424242424095,0.07121
1,Alaska,Delphinapterus leucas,61442,CR,0.8,2013.0,0.35625,64.375,8,0.014242424242424095,0.07121
