rgn_id,sciname,iucn_sid,year,category
1,Balaena mysticetus,2467,2016.0,LC
1,Balaena mysticetus,2468,2016.0,CD
1,Balaenoptera acutorostrata,2474,2016.0,LC
1,Balaenoptera borealis,2475,2016.0,EN
1,Balaenoptera musculus,2477,2016.0,EN
1,Balaenoptera physalus,2478,2016.0,EN
1,Delphinapterus leucas,6335,2016.0,NT
1,Delphinapterus leucas,61442,2016.0,CR
1,Megaptera novaeangliae,13006,2016.0,LC
1,Ursus maritimus,22823,2016.0,VU
1,Balaena mysticetus,2467,2015.0,LC
1,Balaena mysticetus,2468,2015.0,CD
1,Balaenoptera acutorostrata,2474,2015.0,LC
1,Balaenoptera borealis,2475,2015.0,EN
1,Balaenoptera musculus,2477,2015.0,EN
1,Balaenoptera physalus,2478,2015.0,EN
1,Delphinapterus leucas,6335,2015.0,NT
1,Delphinapterus leucas,61442,2015.0,CR
1,Megaptera novaeangliae,13006,2015.0,LC
1,Ursus maritimus,22823,2015.0,VU
1,Balaena mysticetus,2467,2014.0,LC
1,Balaena mysticetus,2468,2014.0,CD
1,Balaenoptera acutorostrata,2474,2014.0,LC
1,Balaenoptera borealis,2475,2014.0,EN
1,Balaenoptera musculus,2477,2014.0,EN
1,Balaenoptera physalus,2478,2014.0,EN
1,Delphinapterus leucas,6335,2014.0,NT
1,Delphinapterus leucas,61442,2014.0,CR
1,Megaptera novaeangliae,13006,2014.0,LC
1,Ursus maritimus,22823,2014.0,VU
1,Balaena mysticetus,2467,2013.0,LC
1,Balaena mysticetus,2468,2013.0,CD
1,Balaenoptera acutorostrata,2474,2013.0,LC
1,Balaenoptera borealis,2475,2013.0,EN
1,Balaenoptera musculus,2477,2013.0,EN
1,Balaenoptera physalus,2478,2013.0,EN
1,Delphinapterus leucas,6335,2013.0,NT
1,Delphinapterus leucas,61442,2013.0,CR
1,Megaptera novaeangliae,13006,2013.0,LC
1,Ursus maritimus,22823,2013.0,VU
1,Balaena mysticetus,2467,2012.0,LC
1,Balaena mysticetus,2468,2012.0,CD
1,Balaenoptera acutorostrata,2474,2012.0,LC
1,Balaenoptera borealis,2475,2012.0,EN
1,Balaenoptera musculus,2477,2012.0,EN
1,Balaenoptera physalus,2478,2012.0,EN
1,Delphinapterus leucas,6335,2012.0,NT
1,Delphinapterus leucas,61442,2012.0,CR
1,Megaptera novaeangliae,13006,2012.0,LC
