rgn_id,trend_lm,year,ico_trend
1,0.005168666666666626,2010,0.02584
2,0.0036504242424241825,2010,0.01825
3,0.0036504242424241825,2010,0.01825
4,0.003600545454545454,2010,0.018
5,-0.0024894545454545464,2010,-0.01245
6,0.0038257575757575718,2010,0.01913
7,9.365454545454828e-4,2010,0.00468
8,0.002130242424242415,2010,0.01065
9,0.002130242424242415,2010,0.01065
1,0.0060610909090908684,2011,0.03031
2,0.00467509090909084,2011,0.02338
3,0.00467509090909084,2011,0.02338
4,0.004277818181818171,2011,0.02139
5,-0.0024679999999999733,2011,-0.01234
6,0.004545454545454517,2011,0.02273
7,0.0013221818181818434,2011,0.00661
8,0.002727818181818162,2011,0.01364
9,0.002727818181818162,2011,0.01364
1,0.006448424242423828,2012,0.03224
2,0.005324606060605674,2012,0.02662
3,0.005324606060605674,2012,0.02662
4,0.0045986060606058,2012,0.02299
5,-0.002230060606060507,2012,-0.01115
6,0.00488636363636333,2012,0.02443
7,0.0015976363636362614,2012,0.00799
8,0.003106484848484663,2012,0.01553
9,0.003106484848484663,2012,0.01553
1,0.006330666666666624,2013,0.03165
2,0.005598969696969651,2013,0.02799
3,0.005598969696969651,2013,0.02799
4,0.004562909090909091,2013,0.02281
5,-0.001775636363636339,2013,-0.00888
6,0.004848484848484784,2013,0.02424
7,0.0017629090909090884,2013,0.00881
8,0.003266242424242394,2013,0.01633
9,0.003266242424242394,2013,0.01633
1,0.005707818181818339,2014,0.02854
2,0.005498181818181992,2014,0.02749
3,0.005498181818181992,2014,0.02749
4,0.004170727272727406,2014,0.02085
5,-0.001104727272727299,2014,-0.00552
6,0.004431818181818326,2014,0.02216
7,0.0018180000000001006,2014,0.00909
8,0.003207090909091019,2014,0.01604
9,0.003207090909091019,2014,0.01604
1,0.0033673333333333597,2015,0.01684
2,0.003347818181818243,2015,0.01674
3,0.003347818181818243,2015,0.01674
4,0.0021386060606061338,2015,0.01069
5,-0.0014722424242423731,2015,-0.00736
6,0.002272727272727336,2015,0.01136
7,-2.2036363636349302e-4,2015,-0.0011
8,0.0019530303030303579,2015,0.00977
9,0.0019530303030303579,2015,0.00977
1,-7.91454545454492e-4,2016,-0.00396
2,-4.1818181818174935e-4,2016,-0.00209
3,-4.1818181818174935e-4,2016,-0.00209
4,-0.0016402424242423705,2016,-0.0082
5,-0.002554181818181819,2016,-0.01277
6,-3.787878787878624e-4,2016,-0.00189
7,-0.0025341818181817567,2016,-0.01267
8,3.6212121212128703e-4,2016,0.00181
9,3.6212121212128703e-4,2016,0.00181
1,-0.004983939393939367,2017,-0.02492
2,-0.004270848484848443,2017,-0.02135
3,-0.004270848484848443,2017,-0.02135
4,-0.00527642424242419,2017,-0.02638
5,-0.003203151515151495,2017,-0.01602
6,-0.003181818181818185,2017,-0.01591
7,-0.004627636363636323,2017,-0.02314
8,-0.001413999999999973,2017,-0.00707
9,-0.001413999999999973,2017,-0.00707
