rgn_id,rgn_name,loiczid,proportionArea,csquarecode,cellarea
1,Alaska,21640.0,0.04,7716:140:3,813.04
1,Alaska,21641.0,0.14,7715:249:4,813.04
1,Alaska,21642.0,0.21,7715:249:3,813.04
1,Alaska,21643.0,0.3,7715:248:4,813.04
1,Alaska,21644.0,0.32,7715:248:3,813.04
1,Alaska,21645.0,0.4,7715:247:4,813.04
1,Alaska,21646.0,0.4,7715:247:3,813.04
1,Alaska,21647.0,0.4,7715:246:4,813.04
1,Alaska,21648.0,0.4,7715:246:3,813.04
1,Alaska,21649.0,0.4,7715:245:4,813.04
1,Alaska,21650.0,0.4,7715:245:3,813.04
1,Alaska,21651.0,0.33,7715:144:4,813.04
1,Alaska,21652.0,0.3,7715:144:3,813.04
1,Alaska,21653.0,0.22,7715:143:4,813.04
1,Alaska,21654.0,0.15,7715:143:3,813.04
1,Alaska,21655.0,0.05,7715:142:4,813.04
1,Alaska,22354.0,0.07,7716:143:1,839.04
1,Alaska,22355.0,0.29,7716:142:2,839.04
1,Alaska,22356.0,0.48,7716:142:1,839.04
1,Alaska,22357.0,0.65,7716:141:2,839.04
1,Alaska,22358.0,0.8,7716:141:1,839.04
1,Alaska,22359.0,0.93,7716:140:2,839.04
1,Alaska,22360.0,1.0,7716:140:1,839.04
1,Alaska,22361.0,1.0,7715:249:2,839.04
1,Alaska,22362.0,1.0,7715:249:1,839.04
1,Alaska,22363.0,1.0,7715:248:2,839.04
1,Alaska,22364.0,1.0,7715:248:1,839.04
1,Alaska,22365.0,1.0,7715:247:2,839.04
1,Alaska,22366.0,1.0,7715:247:1,839.04
1,Alaska,22367.0,1.0,7715:246:2,839.04
1,Alaska,22368.0,1.0,7715:246:1,839.04
1,Alaska,22369.0,1.0,7715:245:2,839.04
1,Alaska,22370.0,1.0,7715:245:1,839.04
1,Alaska,22371.0,1.0,7715:144:2,839.04
1,Alaska,22372.0,1.0,7715:144:1,839.04
1,Alaska,22373.0,1.0,7715:143:2,839.04
1,Alaska,22374.0,1.0,7715:143:1,839.04
1,Alaska,22375.0,1.0,7715:142:2,839.04
1,Alaska,22376.0,0.94,7715:142:1,839.04
1,Alaska,22377.0,0.82,7715:141:2,839.04
1,Alaska,22378.0,0.66,7715:141:1,839.04
1,Alaska,22379.0,0.5,7715:140:2,839.04
1,Alaska,22380.0,0.32,7715:140:1,839.04
1,Alaska,22381.0,0.2,7714:249:2,839.04
1,Alaska,22382.0,0.1,7714:249:1,839.04
1,Alaska,23069.0,0.09,7716:235:4,864.97
1,Alaska,23070.0,0.29,7716:235:3,864.97
1,Alaska,23071.0,0.46,7716:134:4,864.97
1,Alaska,23072.0,0.63,7716:134:3,864.97
1,Alaska,23073.0,0.81,7716:133:4,864.97
1,Alaska,23074.0,1.0,7716:133:3,864.97
1,Alaska,23075.0,1.0,7716:132:4,864.97
1,Alaska,23076.0,1.0,7716:132:3,864.97
1,Alaska,23077.0,1.0,7716:131:4,864.97
1,Alaska,23078.0,1.0,7716:131:3,864.97
1,Alaska,23079.0,1.0,7716:130:4,864.97
1,Alaska,23080.0,1.0,7716:130:3,864.97
1,Alaska,23081.0,1.0,7715:239:4,864.97
1,Alaska,23082.0,1.0,7715:239:3,864.97
1,Alaska,23083.0,1.0,7715:238:4,864.97
1,Alaska,23084.0,1.0,7715:238:3,864.97
1,Alaska,23085.0,1.0,7715:237:4,864.97
1,Alaska,23086.0,1.0,7715:237:3,864.97
1,Alaska,23087.0,1.0,7715:236:4,864.97
1,Alaska,23088.0,1.0,7715:236:3,864.97
1,Alaska,23089.0,1.0,7715:235:4,864.97
1,Alaska,23090.0,1.0,7715:235:3,864.97
1,Alaska,23091.0,1.0,7715:134:4,864.97
1,Alaska,23092.0,1.0,7715:134:3,864.97
1,Alaska,23093.0,1.0,7715:133:4,864.97
1,Alaska,23094.0,1.0,7715:133:3,864.97
1,Alaska,23095.0,1.0,7715:132:4,864.97
1,Alaska,23096.0,1.0,7715:132:3,864.97
1,Alaska,23097.0,1.0,7715:131:4,864.97
1,Alaska,23098.0,1.0,7715:131:3,864.97
1,Alaska,23099.0,1.0,7715:130:4,864.97
1,Alaska,23100.0,1.0,7715:130:3,864.97
1,Alaska,23101.0,1.0,7714:239:4,864.97
1,Alaska,23102.0,1.0,7714:239:3,864.97
1,Alaska,23103.0,0.99,7714:238:4,864.97
1,Alaska,23104.0,0.87,7714:238:3,864.97
1,Alaska,23105.0,0.74,7714:237:4,864.97
1,Alaska,23106.0,0.61,7714:237:3,864.97
1,Alaska,23107.0,0.6,7714:236:4,864.97
1,Alaska,23108.0,0.55,7714:236:3,864.97
1,Alaska,23109.0,0.5,7714:235:4,864.97
1,Alaska,23110.0,0.41,7714:235:3,864.97
1,Alaska,23111.0,0.33,7714:134:4,864.97
1,Alaska,23112.0,0.23,7714:134:3,864.97
1,Alaska,23113.0,0.11,7714:133:4,864.97
1,Alaska,23784.0,0.01,7716:238:1,890.83
1,Alaska,23785.0,0.19,7716:237:2,890.83
1,Alaska,23786.0,0.39,7716:237:1,890.83
1,Alaska,23787.0,0.59,7716:236:2,890.83
1,Alaska,23788.0,0.85,7716:236:1,890.83
1,Alaska,23789.0,1.0,7716:235:2,890.83
1,Alaska,23790.0,1.0,7716:235:1,890.83
1,Alaska,23791.0,1.0,7716:134:2,890.83
1,Alaska,23792.0,1.0,7716:134:1,890.83
1,Alaska,23793.0,1.0,7716:133:2,890.83
1,Alaska,23794.0,1.0,7716:133:1,890.83
1,Alaska,23795.0,1.0,7716:132:2,890.83
1,Alaska,23796.0,1.0,7716:132:1,890.83
1,Alaska,23797.0,1.0,7716:131:2,890.83
1,Alaska,23798.0,1.0,7716:131:1,890.83
1,Alaska,23799.0,1.0,7716:130:2,890.83
1,Alaska,23800.0,1.0,7716:130:1,890.83
1,Alaska,23801.0,1.0,7715:239:2,890.83
1,Alaska,23802.0,1.0,7715:239:1,890.83
1,Alaska,23803.0,1.0,7715:238:2,890.83
1,Alaska,23804.0,1.0,7715:238:1,890.83
1,Alaska,23805.0,1.0,7715:237:2,890.83
1,Alaska,23806.0,1.0,7715:237:1,890.83
1,Alaska,23807.0,1.0,7715:236:2,890.83
1,Alaska,23808.0,1.0,7715:236:1,890.83
1,Alaska,23809.0,1.0,7715:235:2,890.83
1,Alaska,23810.0,1.0,7715:235:1,890.83
1,Alaska,23811.0,1.0,7715:134:2,890.83
1,Alaska,23812.0,1.0,7715:134:1,890.83
1,Alaska,23813.0,1.0,7715:133:2,890.83
1,Alaska,23814.0,1.0,7715:133:1,890.83
1,Alaska,23815.0,1.0,7715:132:2,890.83
1,Alaska,23816.0,1.0,7715:132:1,890.83
1,Alaska,23817.0,1.0,7715:131:2,890.83
1,Alaska,23818.0,1.0,7715:131:1,890.83
1,Alaska,23819.0,1.0,7715:130:2,890.83
1,Alaska,23820.0,1.0,7715:130:1,890.83
1,Alaska,23821.0,1.0,7714:239:2,890.83
1,Alaska,23822.0,1.0,7714:239:1,890.83
1,Alaska,23823.0,1.0,7714:238:2,890.83
1,Alaska,23824.0,1.0,7714:238:1,890.83
1,Alaska,23825.0,1.0,7714:237:2,890.83
1,Alaska,23826.0,1.0,7714:237:1,890.83
1,Alaska,23827.0,1.0,7714:236:2,890.83
1,Alaska,23828.0,1.0,7714:236:1,890.83
1,Alaska,23829.0,1.0,7714:235:2,890.83
1,Alaska,23830.0,1.0,7714:235:1,890.83
1,Alaska,23831.0,1.0,7714:134:2,890.83
1,Alaska,23832.0,1.0,7714:134:1,890.83
1,Alaska,23833.0,1.0,7714:133:2,890.83
1,Alaska,23834.0,0.96,7714:133:1,890.83
1,Alaska,23835.0,0.9,7714:132:2,890.83
1,Alaska,23836.0,0.9,7714:132:1,890.83
1,Alaska,23837.0,0.9,7714:131:2,890.83
1,Alaska,23838.0,0.81,7714:131:1,890.83
1,Alaska,23839.0,0.77,7714:130:2,890.83
1,Alaska,23840.0,0.68,7714:130:1,890.83
1,Alaska,23841.0,0.57,7713:239:2,890.83
1,Alaska,23842.0,0.45,7713:239:1,890.83
1,Alaska,23843.0,0.32,7713:238:2,890.83
1,Alaska,23844.0,0.15,7713:238:1,890.83
1,Alaska,23845.0,0.01,7713:237:2,890.83
1,Alaska,24503.0,0.64,7716:228:4,916.62
1,Alaska,24504.0,0.95,7716:228:3,916.62
1,Alaska,24505.0,1.0,7716:227:4,916.62
1,Alaska,24506.0,1.0,7716:227:3,916.62
1,Alaska,24507.0,1.0,7716:226:4,916.62
1,Alaska,24508.0,1.0,7716:226:3,916.62
1,Alaska,24509.0,1.0,7716:225:4,916.62
1,Alaska,24510.0,1.0,7716:225:3,916.62
1,Alaska,24511.0,1.0,7716:124:4,916.62
1,Alaska,24512.0,1.0,7716:124:3,916.62
1,Alaska,24513.0,1.0,7716:123:4,916.62
1,Alaska,24514.0,1.0,7716:123:3,916.62
1,Alaska,24515.0,1.0,7716:122:4,916.62
1,Alaska,24516.0,1.0,7716:122:3,916.62
1,Alaska,24517.0,1.0,7716:121:4,916.62
1,Alaska,24518.0,1.0,7716:121:3,916.62
1,Alaska,24519.0,1.0,7716:120:4,916.62
1,Alaska,24520.0,1.0,7716:120:3,916.62
1,Alaska,24521.0,1.0,7715:229:4,916.62
1,Alaska,24522.0,1.0,7715:229:3,916.62
1,Alaska,24523.0,1.0,7715:228:4,916.62
1,Alaska,24524.0,1.0,7715:228:3,916.62
1,Alaska,24525.0,1.0,7715:227:4,916.62
1,Alaska,24526.0,1.0,7715:227:3,916.62
1,Alaska,24527.0,1.0,7715:226:4,916.62
1,Alaska,24528.0,1.0,7715:226:3,916.62
1,Alaska,24529.0,1.0,7715:225:4,916.62
1,Alaska,24530.0,1.0,7715:225:3,916.62
1,Alaska,24531.0,1.0,7715:124:4,916.62
1,Alaska,24532.0,1.0,7715:124:3,916.62
1,Alaska,24533.0,1.0,7715:123:4,916.62
1,Alaska,24534.0,1.0,7715:123:3,916.62
1,Alaska,24535.0,1.0,7715:122:4,916.62
1,Alaska,24536.0,1.0,7715:122:3,916.62
1,Alaska,24537.0,1.0,7715:121:4,916.62
1,Alaska,24538.0,1.0,7715:121:3,916.62
1,Alaska,24539.0,1.0,7715:120:4,916.62
1,Alaska,24540.0,1.0,7715:120:3,916.62
1,Alaska,24541.0,1.0,7714:229:4,916.62
1,Alaska,24542.0,1.0,7714:229:3,916.62
1,Alaska,24543.0,1.0,7714:228:4,916.62
1,Alaska,24544.0,1.0,7714:228:3,916.62
1,Alaska,24545.0,1.0,7714:227:4,916.62
1,Alaska,24546.0,1.0,7714:227:3,916.62
1,Alaska,24547.0,1.0,7714:226:4,916.62
1,Alaska,24548.0,1.0,7714:226:3,916.62
1,Alaska,24549.0,1.0,7714:225:4,916.62
1,Alaska,24550.0,1.0,7714:225:3,916.62
1,Alaska,24551.0,1.0,7714:124:4,916.62
1,Alaska,24552.0,1.0,7714:124:3,916.62
1,Alaska,24553.0,1.0,7714:123:4,916.62
