am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score,rgn_id,rgn_name
ITS-176862,VU,Larus relictus,22694447,Decreasing,VU,BOTW,22694447,NA,iucn-bli,0.4,-0.5,4,Russia
ITS-176862,VU,Larus relictus,22694447,Decreasing,VU,BOTW,22694447,NA,iucn-bli,0.4,-0.5,5,svalbard
ITS-176862,VU,Larus relictus,22694447,Decreasing,VU,BOTW,22694447,NA,iucn-bli,0.4,-0.5,6,norway
ITS-176862,VU,Larus relictus,22694447,Decreasing,VU,BOTW,22694447,NA,iucn-bli,0.4,-0.5,9,east
ITS-176971,LC,Alca torda,22694852,Increasing,NT,BOTW,22694852,NA,iucn-bli,0.2,0.5,2,Nunavut
ITS-176971,LC,Alca torda,22694852,Increasing,NT,BOTW,22694852,NA,iucn-bli,0.2,0.5,4,Russia
ITS-176971,LC,Alca torda,22694852,Increasing,NT,BOTW,22694852,NA,iucn-bli,0.2,0.5,5,svalbard
ITS-176971,LC,Alca torda,22694852,Increasing,NT,BOTW,22694852,NA,iucn-bli,0.2,0.5,6,norway
ITS-176971,LC,Alca torda,22694852,Increasing,NT,BOTW,22694852,NA,iucn-bli,0.2,0.5,7,Jan Mayen
ITS-176971,LC,Alca torda,22694852,Increasing,NT,BOTW,22694852,NA,iucn-bli,0.2,0.5,8,west
ITS-176971,LC,Alca torda,22694852,Increasing,NT,BOTW,22694852,NA,iucn-bli,0.2,0.5,9,east
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,1,Alaska
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,2,Nunavut
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,3,Beaufort Sea
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,4,Russia
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,5,svalbard
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,6,norway
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,7,Jan Mayen
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,8,west
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5,9,east
ITS-175145,LC,Bucephala albeola,22680462,Increasing,LC,BOTW,22680462,NA,iucn-bli,0,0.5,4,Russia
ITS-175145,LC,Bucephala albeola,22680462,Increasing,LC,BOTW,22680462,NA,iucn-bli,0,0.5,5,svalbard
ITS-175145,LC,Bucephala albeola,22680462,Increasing,LC,BOTW,22680462,NA,iucn-bli,0,0.5,6,norway
ITS-175145,LC,Bucephala albeola,22680462,Increasing,LC,BOTW,22680462,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-175145,LC,Bucephala albeola,22680462,Increasing,LC,BOTW,22680462,NA,iucn-bli,0,0.5,9,east
ITS-175141,LC,Bucephala clangula,22680455,Stable,LC,BOTW,22680455,NA,iucn-bli,0,0,1,Alaska
ITS-175141,LC,Bucephala clangula,22680455,Stable,LC,BOTW,22680455,NA,iucn-bli,0,0,4,Russia
ITS-175141,LC,Bucephala clangula,22680455,Stable,LC,BOTW,22680455,NA,iucn-bli,0,0,8,west
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0,0.5,4,Russia
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0,0.5,5,svalbard
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0,0.5,6,norway
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0,0.5,8,west
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0,0.5,9,east
ITS-203446,LC,Calonectris diomedea,45061132,Decreasing,LC,BOTW,45061132,NA,iucn-bli,0,-0.5,4,Russia
ITS-203446,LC,Calonectris diomedea,45061132,Decreasing,LC,BOTW,45061132,NA,iucn-bli,0,-0.5,6,norway
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,1,Alaska
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,2,Nunavut
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,3,Beaufort Sea
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,4,Russia
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,5,svalbard
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,6,norway
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,7,Jan Mayen
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,8,west
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5,9,east
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0,-0.5,1,Alaska
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0,-0.5,4,Russia
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0,-0.5,5,svalbard
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0,-0.5,6,norway
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0,-0.5,7,Jan Mayen
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0,-0.5,8,west
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0,-0.5,9,east
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,1,Alaska
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,2,Nunavut
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,3,Beaufort Sea
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,4,Russia
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,5,svalbard
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,6,norway
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,7,Jan Mayen
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,8,west
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5,9,east
ITS-174525,VU,Diomedea exulans,22698305,Decreasing,VU,BOTW,22698305,NA,iucn-bli,0.4,-0.5,4,Russia
ITS-174525,VU,Diomedea exulans,22698305,Decreasing,VU,BOTW,22698305,NA,iucn-bli,0.4,-0.5,5,svalbard
ITS-174525,VU,Diomedea exulans,22698305,Decreasing,VU,BOTW,22698305,NA,iucn-bli,0.4,-0.5,6,norway
ITS-174525,VU,Diomedea exulans,22698305,Decreasing,VU,BOTW,22698305,NA,iucn-bli,0.4,-0.5,7,Jan Mayen
ITS-174525,VU,Diomedea exulans,22698305,Decreasing,VU,BOTW,22698305,NA,iucn-bli,0.4,-0.5,9,east
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,1,Alaska
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,2,Nunavut
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,3,Beaufort Sea
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,4,Russia
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5,5,svalbard
