"","am_sid","am_cat","sciname","iucn_sid","pop_trend","pop_cat","spp_group","id_no","iucn_subpop","spatial_source","cat_score","trend_score"
"1","ITS-176862","VU","Larus relictus",22694447,"Decreasing","VU","BOTW",22694447,NA,"iucn-bli",0.4,-0.5
"5","ITS-176971","LC","Alca torda",22694852,"Increasing","NT","BOTW",22694852,NA,"iucn-bli",0.2,0.5
"12","ITS-176982","LC","Alle alle",22694837,"Decreasing","LC","BOTW",22694837,NA,"iucn-bli",0,-0.5
"21","ITS-175145","LC","Bucephala albeola",22680462,"Increasing","LC","BOTW",22680462,NA,"iucn-bli",0,0.5
"26","ITS-175141","LC","Bucephala clangula",22680455,"Stable","LC","BOTW",22680455,NA,"iucn-bli",0,0
"29","ITS-175144","LC","Bucephala islandica",22680459,"Increasing","LC","BOTW",22680459,NA,"iucn-bli",0,0.5
"35","ITS-203446","LC","Calonectris diomedea",45061132,"Decreasing","LC","BOTW",45061132,NA,"iucn-bli",0,-0.5
"37","ITS-176985","LC","Cepphus grylle",22694861,"Increasing","LC","BOTW",22694861,NA,"iucn-bli",0,0.5
"46","ITS-176959","LC","Chlidonias niger",22694787,"Decreasing","LC","BOTW",22694787,NA,"iucn-bli",0,-0.5
"53","ITS-175147","VU","Clangula hyemalis",22680427,"Decreasing","VU","BOTW",22680427,NA,"iucn-bli",0.4,-0.5
"62","ITS-174525","VU","Diomedea exulans",22698305,"Decreasing","VU","BOTW",22698305,NA,"iucn-bli",0.4,-0.5
"67","ITS-177025","LC","Fratercula arctica",22694927,"Decreasing","VU","BOTW",22694927,NA,"iucn-bli",0.4,-0.5
"76","ITS-177032","LC","Fratercula cirrhata",22694934,"Decreasing","LC","BOTW",22694934,NA,"iucn-bli",0,-0.5
"78","SLB-40185","LC","Fratercula corniculata",22694931,"Decreasing","LC","BOTW",22694931,NA,"iucn-bli",0,-0.5
"82","ITS-174763","LC","Fregata magnificens",22697724,"Increasing","LC","BOTW",22697724,NA,"iucn-bli",0,0.5
"88","ITS-174536","LC","Fulmarus glacialis",22697866,"Increasing","LC","BOTW",22697866,NA,"iucn-bli",0,0.5
"97","ITS-176882","LC","Gelochelidon nilotica",62026481,"Decreasing","LC","BOTW",62026481,NA,"iucn-bli",0,-0.5
"100","ITS-175149","LC","Histrionicus histrionicus",22680423,"Increasing","LC","BOTW",22680423,NA,"iucn-bli",0,0.5
"108","ITS-176935","LC","Hydroprogne caspia",22694524,"Increasing","LC","BOTW",22694524,NA,"iucn-bli",0,0.5
"109","ITS-176824","LC","Larus argentatus",62030608,"Decreasing","LC","BOTW",62030608,NA,"iucn-bli",0,-0.5
"118","ITS-560740",NA,"Larus armenicus",22694357,"Unknown","NT","BOTW",22694357,NA,"iucn-bli",0.2,NA
"124","ITS-176837","LC","Larus atricilla",22694455,"Increasing","LC","BOTW",22694455,NA,"iucn-bli",0,0.5
"126","ITS-554270","LC","Larus cachinnans",22735929,"Stable","LC","BOTW",22735929,NA,"iucn-bli",0,0
"128","ITS-176832","LC","Larus canus",22694308,"Unknown","LC","BOTW",22694308,NA,"iucn-bli",0,NA
"134","ITS-176831","LC","Larus crassirostris",22694289,"Stable","LC","BOTW",22694289,NA,"iucn-bli",0,0
"135","ITS-176830","LC","Larus delawarensis",22694317,"Increasing","LC","BOTW",22694317,NA,"iucn-bli",0,0.5
"141","ITS-176821","LC","Larus fuscus",22694373,"Increasing","LC","BOTW",22694373,NA,"iucn-bli",0,0.5
"146","ITS-176814","LC","Larus glaucescens",22694334,"Increasing","LC","BOTW",22694334,NA,"iucn-bli",0,0.5
"147","ITS-176808","LC","Larus hyperboreus",22694343,"Stable","LC","BOTW",22694343,NA,"iucn-bli",0,0
"156","ITS-176815","LC","Larus marinus",22694324,"Increasing","LC","BOTW",22694324,NA,"iucn-bli",0,0.5
"163","ITS-176858","LC","Larus melanocephalus",22694443,"Stable","LC","BOTW",22694443,NA,"iucn-bli",0,0
"168","ITS-176835","LC","Larus ridibundus",22694420,"Decreasing","LC","BOTW",22694420,NA,"iucn-bli",0,-0.5
"172","ITS-174594","LC","Macronectes giganteus",22697852,"Increasing","LC","BOTW",22697852,NA,"iucn-bli",0,0.5
"177","ITS-175163","EN","Melanitta fusca",22724845,"Decreasing","LC","BOTW",22724845,NA,"iucn-bli",0,-0.5
"183","ITS-175163","EN","Melanitta fusca",22724836,"Decreasing","VU","BOTW",22724836,NA,"iucn-bli",0.4,-0.5
"189","ITS-175171","LC","Melanitta nigra",22724879,"Unknown","LC","BOTW",22724879,NA,"iucn-bli",0,NA
"194","ITS-175170","LC","Melanitta perspicillata",22680441,"Decreasing","LC","BOTW",22680441,NA,"iucn-bli",0,-0.5
"197","ITS-175187","LC","Mergus serrator",22680485,"Stable","LC","BOTW",22680485,NA,"iucn-bli",0,0
"203","ITS-174712","LC","Morus bassanus",22696657,"Increasing","LC","BOTW",22696657,NA,"iucn-bli",0,0.5
"208","ITS-174628","LC","Oceanodroma leucorhoa",22698511,"Stable","LC","BOTW",22698511,NA,"iucn-bli",0,0
"215","ITS-176851","NT","Pagophila eburnea",22694473,"Decreasing","NT","BOTW",22694473,NA,"iucn-bli",0.2,-0.5
"218","ITS-174733","LC","Phalacrocorax aristotelis",22696894,"Decreasing","LC","BOTW",22696894,NA,"iucn-bli",0,-0.5
"223","ITS-174717","LC","Phalacrocorax auritus",22696776,"Increasing","LC","BOTW",22696776,NA,"iucn-bli",0,0.5
"226","ITS-174715","LC","Phalacrocorax carbo",22696792,"Increasing","LC","BOTW",22696792,NA,"iucn-bli",0,0.5
"233","ITS-174725","LC","Phalacrocorax pelagicus",22728950,"Decreasing","LC","BOTW",22728950,NA,"iucn-bli",0,-0.5
"238","ITS-175153","VU","Polysticta stelleri",22680415,"Decreasing","VU","BOTW",22680415,NA,"iucn-bli",0.4,-0.5
"244","ITS-174590","LC","Pterodroma mollis",22698080,"Stable","LC","BOTW",22698080,NA,"iucn-bli",0,0
"249","ITS-174555","LC","Puffinus puffinus",22698226,"Decreasing","LC","BOTW",22698226,NA,"iucn-bli",0,-0.5
"255","ITS-176864","LC","Rhodostethia rosea",22694476,"Unknown","LC","BOTW",22694476,NA,"iucn-bli",0,NA
"258","ITS-176875","LC","Rissa tridactyla",22694497,"Decreasing","LC","BOTW",22694497,NA,"iucn-bli",0,-0.5
"265","ITS-175155","LC","Somateria mollissima",22680405,"Unknown","NT","BOTW",22680405,NA,"iucn-bli",0.2,NA
"272","ITS-175160","LC","Somateria spectabilis",22680409,"Decreasing","LC","BOTW",22680409,NA,"iucn-bli",0,-0.5
"281","ITS-176794","LC","Stercorarius longicaudus",22694251,"Stable","LC","BOTW",22694251,NA,"iucn-bli",0,0
"290","ITS-660062","LC","Stercorarius maccormicki",22694218,"Stable","LC","BOTW",22694218,NA,"iucn-bli",0,0
"295","ITS-176793","LC","Stercorarius parasiticus",22694245,"Stable","LC","BOTW",22694245,NA,"iucn-bli",0,0
"302","ITS-176792","LC","Stercorarius pomarinus",22694240,"Stable","LC","BOTW",22694240,NA,"iucn-bli",0,0
"309","ITS-660059","LC","Stercorarius skua",22694160,"Stable","LC","BOTW",22694160,NA,"iucn-bli",0,0
"315","ITS-176891",NA,"Sterna dougallii",22694601,"Unknown","LC","BOTW",22694601,NA,"iucn-bli",0,NA
"316","ITS-176888","LC","Sterna hirundo",22694623,"Decreasing","LC","BOTW",22694623,NA,"iucn-bli",0,-0.5
"325","ITS-176890","LC","Sterna paradisaea",22694629,"Decreasing","LC","BOTW",22694629,NA,"iucn-bli",0,-0.5
"334","ITS-176927","LC","Sterna sandvicensis",22694591,"Stable","LC","BOTW",22694591,NA,"iucn-bli",0,0
"337","ITS-824126","LC","Sternula albifrons",22694656,"Decreasing","LC","BOTW",22694656,NA,"iucn-bli",0,-0.5
"340","ITS-554452","EN","Thalassarche chlororhynchos",22698425,"Decreasing","EN","BOTW",22698425,NA,"iucn-bli",0.6,-0.5
"345","ITS-554453","NT","Thalassarche melanophris",22698375,"Decreasing","NT","BOTW",22698375,NA,"iucn-bli",0.2,-0.5
"350","ITS-176974","LC","Uria aalge",22694841,"Increasing","LC","BOTW",22694841,NA,"iucn-bli",0,0.5
"359","ITS-176978","LC","Uria lomvia",22694847,"Increasing","LC","BOTW",22694847,NA,"iucn-bli",0,0.5
"368","ITS-176866","LC","Xema sabini",22694479,"Stable","LC","BOTW",22694479,NA,"iucn-bli",0,0
"376","URM-Cn-5888","LC","Scolymia lacera",132874,"Unknown","LC","CORALS_Part1",132874,NA,"iucn",0,NA
"377","W-Hyd-210726","LC","Millepora alcicornis",133144,"Stable","LC","CORALS_Part1",133144,NA,"iucn",0,0
"378","URM-Cn-6038","LC","Porites astreoides",133680,"Increasing","LC","CORALS_Part3",133680,NA,"iucn",0,0.5
"379","ITS-97315","LC","Homarus gammarus",169955,"Stable","LC","LOBSTERS",169955,NA,"iucn",0,0
"380","ITS-97317","LC","Nephrops norvegicus",169967,"Stable","LC","LOBSTERS",169967,NA,"iucn",0,0
"381","ITS-660110","LC","Pentacheles laevis",185038,"Stable","LC","LOBSTERS",185038,NA,"iucn",0,0
"386","ITS-Mam-612591","EN","Eubalaena japonica",41711,"Unknown","EN","MARINE_MAMMALS_update",41711,NA,"iucn",0.6,NA
"388","ITS-Mam-180533","LC","Balaena mysticetus",2468,NA,"NT","MARINE_MAMMALS_update",2468,"Bering-Chukchi-Beaufort Sea","iucn",0.2,NA
"397","ITS-Mam-180533","LC","Balaena mysticetus",2467,"Increasing","LC","MARINE_MAMMALS_update",2467,NA,"iucn",0,0.5
"406","ITS-Mam-180533","LC","Balaena mysticetus",2469,"Unknown","EN","MARINE_MAMMALS_update",2469,"Okhotsk Sea","iucn",0.6,NA
"415","ITS-Mam-180533","LC","Balaena mysticetus",2472,"Unknown","CR","MARINE_MAMMALS_update",2472,"Svalbard-Barents Sea (Spitsbergen)","iucn",0.8,NA
"424","ITS-Mam-180524","LC","Balaenoptera acutorostrata",2474,"Stable","LC","MARINE_MAMMALS_update",2474,NA,"iucn",0,0
"433","ITS-Mam-180526","EN","Balaenoptera borealis",2475,"Unknown","EN","MARINE_MAMMALS_update",2475,NA,"iucn",0.6,NA
"441","ITS-Mam-180528","EN","Balaenoptera musculus",2477,"Increasing","EN","MARINE_MAMMALS_update",2477,NA,"iucn",0.6,0.5
"450","ITS-Mam-180527","EN","Balaenoptera physalus",2478,"Unknown","EN","MARINE_MAMMALS_update",2478,NA,"iucn",0.6,NA
"459","ITS-Mam-180496","DD","Berardius bairdii",2763,"Unknown","DD","MARINE_MAMMALS_update",2763,NA,"iucn",NA,NA
"461","ITS-Mam-180657","VU","Cystophora cristata",6204,"Decreasing","VU","MARINE_MAMMALS_update",6204,NA,"iucn",0.4,-0.5
"468","ITS-Mam-180483","NT","Delphinapterus leucas",6335,"Unknown","NT","MARINE_MAMMALS_update",6335,NA,"iucn",0.2,NA
"477","ITS-Mam-180483","NT","Delphinapterus leucas",61442,"Decreasing","CR","MARINE_MAMMALS_update",61442,"Cook Inlet","iucn",0.8,-0.5
"486","ITS-Mam-180438","LC","Delphinus delphis",6336,"Unknown","LC","MARINE_MAMMALS_update",6336,NA,"iucn",0,NA
"491","ITS-Mam-180438","LC","Delphinus delphis",6336,"Unknown","LC","MARINE_MAMMALS_update",6336,"Mediterranean","iucn",0,NA
"496","ITS-Mam-180655","LC","Erignathus barbatus",8010,"Stable","LC","MARINE_MAMMALS_update",8010,NA,"iucn",0,0
"505","ITS-Mam-180521","LC","Eschrichtius robustus",8097,"Stable","LC","MARINE_MAMMALS_update",8097,NA,"iucn",0,0
"509","ITS-Mam-180521","LC","Eschrichtius robustus",8099,"Increasing","CR","MARINE_MAMMALS_update",8099,"Western","iucn",0.8,0.5
"513","ITS-Mam-180537","EN","Eubalaena glacialis",41712,"Unknown","EN","MARINE_MAMMALS_update",41712,NA,"iucn",0.6,NA
"515","ITS-Mam-180537","EN","Eubalaena glacialis",41711,"Unknown","EN","MARINE_MAMMALS_update",41711,NA,"iucn",0.6,NA
"517","ITS-Mam-552461","DD","Globicephala melas",9250,"Unknown","DD","MARINE_MAMMALS_update",9250,NA,"iucn",NA,NA
"524","ITS-Mam-180457","LC","Grampus griseus",9461,"Unknown","LC","MARINE_MAMMALS_update",9461,NA,"iucn",0,NA
"527","ITS-Mam-180653","LC","Halichoerus grypus",9660,"Increasing","LC","MARINE_MAMMALS_update",9660,NA,"iucn",0,0.5
"533","ITS-Mam-622021","DD","Histriophoca fasciata",41670,"Unknown","DD","MARINE_MAMMALS_update",41670,NA,"iucn",NA,NA
"537","ITS-Mam-180443","LC","Lagenorhynchus acutus",11141,"Unknown","LC","MARINE_MAMMALS_update",11141,NA,"iucn",0,NA
"544","ITS-Mam-180442","LC","Lagenorhynchus albirostris",11142,"Unknown","LC","MARINE_MAMMALS_update",11142,NA,"iucn",0,NA
"551","ITS-Mam-180444","LC","Lagenorhynchus obliquidens",11145,"Unknown","LC","MARINE_MAMMALS_update",11145,NA,"iucn",0,NA
"553","ITS-Mam-180530","LC","Megaptera novaeangliae",13006,"Increasing","LC","MARINE_MAMMALS_update",13006,NA,"iucn",0,0.5
"562","ITS-Mam-180515","DD","Mesoplodon bidens",13241,"Unknown","DD","MARINE_MAMMALS_update",13241,NA,"iucn",NA,NA
"568","ITS-Mam-180485","NT","Monodon monoceros",13704,"Unknown","NT","MARINE_MAMMALS_update",13704,NA,"iucn",0.2,NA
"575","ITS-Mam-180639","DD","Odobenus rosmarus",15106,"Unknown","DD","MARINE_MAMMALS_update",15106,NA,"iucn",NA,NA
"584","ITS-Mam-622022","LC","Pagophilus groenlandicus",41671,"Increasing","LC","MARINE_MAMMALS_update",41671,NA,"iucn",0,0.5
"591","ITS-Mam-180649","LC","Phoca vitulina",17013,"Stable","LC","MARINE_MAMMALS_update",17013,NA,"iucn",0,0
"599","ITS-Mam-180473","LC","Phocoena phocoena",17027,"Unknown","LC","MARINE_MAMMALS_update",17027,NA,"iucn",0,NA
"606","ITS-Mam-180473","LC","Phocoena phocoena",17031,"Decreasing","CR","MARINE_MAMMALS_update",17031,"Baltic Sea","iucn",0.8,-0.5
"613","ITS-Mam-180480","LC","Phocoenoides dalli",17032,"Unknown","LC","MARINE_MAMMALS_update",17032,NA,"iucn",0,NA
"615","ITS-Mam-180488","VU","Physeter macrocephalus",41755,"Unknown","VU","MARINE_MAMMALS_update",41755,NA,"iucn",0.4,NA
"624","ITS-Mam-622018","LC","Pusa hispida",41672,"Unknown","LC","MARINE_MAMMALS_update",41672,NA,"iucn",0,NA
"633","ITS-Mam-180426","LC","Tursiops truncatus",22563,"Unknown","LC","MARINE_MAMMALS_update",22563,NA,"iucn",0,NA
"638","ITS-Mam-180426","LC","Tursiops truncatus",194300,"Decreasing","CR","MARINE_MAMMALS_update",194300,"Fiordland","iucn",0.8,-0.5
"643","ITS-Mam-180498","LC","Ziphius cavirostris",23211,"Unknown","LC","MARINE_MAMMALS_update",23211,NA,"iucn",0,NA
"648","Fis-136019",NA,"Lagocephalus lagocephalus",190464,"Unknown","LC","PUFFERFISH",190464,NA,"iucn",0,NA
"654","Rep-4381","VU","Dermochelys coriacea",46967863,"Decreasing","CR","REPTILES_update",46967863,"Southwest Indian","iucn",0.8,-0.5
"660","Rep-4381","VU","Dermochelys coriacea",46967873,"Unknown","DD","REPTILES_update",46967873,"Northeast Indian","iucn",NA,NA
"666","Rep-4381","VU","Dermochelys coriacea",46967817,"Decreasing","CR","REPTILES_update",46967817,"West Pacific","iucn",0.8,-0.5
"672","Rep-4381","VU","Dermochelys coriacea",46967827,"Increasing","LC","REPTILES_update",46967827,"Northwest Atlantic","iucn",0,0.5
