rgn_id,year,lsp_st_3nm,a_prot_3nm,a_tot_3nm
1,1961,6.43,1055.25,54789.75
1,1975,6.43,1055.25,54789.75
1,1980,6.43,1055.25,54789.75
1,1982,6.43,1055.25,54789.75
1,1984,6.63,1090.25,54789.75
1,1985,6.63,1090.25,54789.75
1,1998,6.63,1090.25,54789.75
1,2001,7.07,1163,54789.75
1,2010,12.77,2096,54789.75
NA,1961,5.3,20907.25,1312010.25
NA,1975,5.33,20961,1312010.25
NA,1980,5.43,21430.75,1312010.25
NA,1982,5.47,21546.25,1312010.25
NA,1984,6.93,27326.25,1312010.25
NA,1985,7.6,29947.25,1312010.25
NA,1998,12.4,48825.5,1312010.25
NA,2001,15.5,60948.75,1312010.25
NA,2010,15.7,61752.75,1312010.25
