rgn_id,year,a_tot_eez
1,2000,493028.25
1,2001,493028.25
1,2002,493028.25
1,2003,493028.25
1,2004,493028.25
1,2005,493028.25
1,2006,493028.25
1,2007,493028.25
1,2008,493028.25
1,2009,493028.25
1,2010,493028.25
1,2011,493028.25
1,2012,493028.25
1,2013,493028.25
1,2014,493028.25
2,2000,1483308.5
2,2001,1483308.5
2,2002,1483308.5
2,2003,1483308.5
2,2004,1483308.5
2,2005,1483308.5
2,2006,1483308.5
2,2007,1483308.5
2,2008,1483308.5
2,2009,1483308.5
2,2010,1483308.5
2,2011,1483308.5
2,2012,1483308.5
2,2013,1483308.5
2,2014,1483308.5
3,2000,718910.25
3,2001,718910.25
3,2002,718910.25
3,2003,718910.25
3,2004,718910.25
3,2005,718910.25
3,2006,718910.25
3,2007,718910.25
3,2008,718910.25
3,2009,718910.25
3,2010,718910.25
3,2011,718910.25
3,2012,718910.25
3,2013,718910.25
3,2014,718910.25
4,2000,4391850
4,2001,4391850
4,2002,4391850
4,2003,4391850
4,2004,4391850
4,2005,4391850
4,2006,4391850
4,2007,4391850
4,2008,4391850
4,2009,4391850
4,2010,4391850
4,2011,4391850
4,2012,4391850
4,2013,4391850
4,2014,4391850
5,2000,856697.5
5,2001,856697.5
5,2002,856697.5
5,2003,856697.5
5,2004,856697.5
5,2005,856697.5
5,2006,856697.5
5,2007,856697.5
5,2008,856697.5
5,2009,856697.5
5,2010,856697.5
5,2011,856697.5
5,2012,856697.5
5,2013,856697.5
5,2014,856697.5
6,2000,576719
6,2001,576719
6,2002,576719
6,2003,576719
6,2004,576719
6,2005,576719
6,2006,576719
6,2007,576719
6,2008,576719
6,2009,576719
6,2010,576719
6,2011,576719
6,2012,576719
6,2013,576719
6,2014,576719
7,2000,292090.5
7,2001,292090.5
7,2002,292090.5
7,2003,292090.5
7,2004,292090.5
7,2005,292090.5
7,2006,292090.5
7,2007,292090.5
7,2008,292090.5
7,2009,292090.5
7,2010,292090.5
7,2011,292090.5
7,2012,292090.5
7,2013,292090.5
7,2014,292090.5
8,2000,968383
8,2001,968383
8,2002,968383
8,2003,968383
8,2004,968383
8,2005,968383
8,2006,968383
8,2007,968383
8,2008,968383
8,2009,968383
8,2010,968383
8,2011,968383
8,2012,968383
8,2013,968383
8,2014,968383
9,2000,1313677.25
9,2001,1313677.25
9,2002,1313677.25
9,2003,1313677.25
9,2004,1313677.25
9,2005,1313677.25
9,2006,1313677.25
9,2007,1313677.25
9,2008,1313677.25
9,2009,1313677.25
9,2010,1313677.25
9,2011,1313677.25
9,2012,1313677.25
9,2013,1313677.25
9,2014,1313677.25
NA,2000,17721461.5
NA,2001,17721461.5
NA,2002,17721461.5
NA,2003,17721461.5
NA,2004,17721461.5
NA,2005,17721461.5
NA,2006,17721461.5
NA,2007,17721461.5
NA,2008,17721461.5
NA,2009,17721461.5
NA,2010,17721461.5
NA,2011,17721461.5
NA,2012,17721461.5
NA,2013,17721461.5
NA,2014,17721461.5
10,2000,459900
10,2001,459900
10,2002,459900
10,2003,459900
10,2004,459900
10,2005,459900
10,2006,459900
10,2007,459900
10,2008,459900
10,2009,459900
10,2010,459900
10,2011,459900
10,2012,459900
10,2013,459900
10,2014,459900
