rgn_id,year,a_prot_eez
1,2000,113
1,2001,113
1,2002,113
1,2003,113
1,2004,113
1,2005,113
1,2006,113
1,2007,113
1,2008,113
1,2009,113
1,2010,113
1,2011,113
1,2012,113
1,2013,113
1,2014,113
2,2000,12501.25
2,2001,12757
2,2002,12757
2,2003,12757
2,2004,12757
2,2005,12757
2,2006,12757
2,2007,12757
2,2008,12757
2,2009,12757
2,2010,16753
2,2011,16753
2,2012,16753
2,2013,16753
2,2014,16753
3,2000,1172.25
3,2001,1245
3,2002,1245
3,2003,1245
3,2004,1245
3,2005,1245
3,2006,1245
3,2007,1245
3,2008,1245
3,2009,1245
3,2010,2818
3,2011,2818
3,2012,2818
3,2013,2818
3,2014,2818
4,2000,232953.25
4,2001,232953.25
4,2002,234000.75
4,2003,234000.75
4,2004,234000.75
4,2005,234000.75
4,2006,234000.75
4,2007,234000.75
4,2008,234000.75
4,2009,234000.75
4,2010,234000.75
4,2011,234000.75
4,2012,234000.75
4,2013,234000.75
4,2014,234000.75
5,2000,104655
5,2001,104655
5,2002,107637.25
5,2003,116330.5
5,2004,116330.5
5,2005,117453.5
5,2006,117453.5
5,2007,117453.5
5,2008,117453.5
5,2009,117453.5
5,2010,117453.5
5,2011,117453.5
5,2012,117453.5
5,2013,117453.5
5,2014,117453.5
6,2000,1059.25
6,2001,1059.25
6,2002,1523.75
6,2003,1696
6,2004,2155.25
6,2005,2160.75
6,2006,2476
6,2007,2476
6,2008,2476
6,2009,2476
6,2010,2575.75
6,2011,2575.75
6,2012,2575.75
6,2013,2594
6,2014,2594
7,2000,0
7,2001,0
7,2002,0
7,2003,0
7,2004,0
7,2005,0
7,2006,0
7,2007,0
7,2008,0
7,2009,0
7,2010,4688.75
7,2011,4688.75
7,2012,4688.75
7,2013,4688.75
7,2014,4688.75
8,2000,16294.75
8,2001,16294.75
8,2002,16294.75
8,2003,16625.25
8,2004,16625.25
8,2005,16630.5
8,2006,16630.5
8,2007,16630.5
8,2008,16708.25
8,2009,16708.25
8,2010,16758
8,2011,16758
8,2012,16758
8,2013,16758
8,2014,16758
9,2000,85620.25
9,2001,85620.25
9,2002,85620.25
9,2003,85620.25
9,2004,85620.25
9,2005,85620.25
9,2006,85620.25
9,2007,85620.25
9,2008,85620.25
9,2009,85620.25
9,2010,85620.25
9,2011,85620.25
9,2012,85620.25
9,2013,85620.25
9,2014,85620.25
NA,2000,1769016
NA,2001,1791798
NA,2002,1793213.75
NA,2003,1828189.75
NA,2004,1835737
NA,2005,1848703.5
NA,2006,1851627.75
NA,2007,1851773.75
NA,2008,1871304.25
NA,2009,1880681.25
NA,2010,1989989.25
NA,2011,2003983.75
NA,2012,2025391.75
NA,2013,2040729.5
NA,2014,2056894
10,2000,0
10,2001,0
10,2002,0
10,2003,0
10,2004,0
10,2005,0
10,2006,0
10,2007,0
10,2008,0
10,2009,0
10,2010,0
10,2011,0
10,2012,0
10,2013,0
10,2014,0
