rgn_id,year,a_prot_3nm
1,2000,113.0
1,2001,113.0
1,2002,113.0
1,2003,113.0
1,2004,113.0
1,2005,113.0
1,2006,113.0
1,2007,113.0
1,2008,113.0
1,2009,113.0
1,2010,113.0
1,2011,113.0
1,2012,113.0
1,2013,113.0
1,2014,113.0
2,2000,8035.5
2,2001,8291.25
2,2002,8291.25
2,2003,8291.25
2,2004,8291.25
2,2005,8291.25
2,2006,8291.25
2,2007,8291.25
2,2008,8291.25
2,2009,8291.25
2,2010,9451.75
2,2011,9451.75
2,2012,9451.75
2,2013,9451.75
2,2014,9451.75
3,2000,20251.5
3,2001,32447.5
3,2002,32447.5
3,2003,32447.5
3,2004,32447.5
3,2005,32447.5
3,2006,32447.5
3,2007,32447.5
3,2008,32447.5
3,2009,32447.5
3,2010,33150.0
3,2011,33150.0
3,2012,33150.0
3,2013,33150.0
3,2014,33150.0
4,2000,88255.5
4,2001,88255.5
4,2002,89325.5
4,2003,89325.5
4,2004,89325.5
4,2005,89325.5
4,2006,89325.5
4,2007,89325.5
4,2008,89325.5
4,2009,89325.5
4,2010,89325.5
4,2011,89325.5
4,2012,89325.5
4,2013,89325.5
4,2014,89325.5
5,2000,48678.25
5,2001,48678.25
5,2002,49061.25
5,2003,54669.0
5,2004,54669.0
5,2005,55748.75
5,2006,55748.75
5,2007,55748.75
5,2008,55748.75
5,2009,55748.75
5,2010,55748.75
5,2011,55748.75
5,2012,55748.75
5,2013,55748.75
5,2014,55748.75
6,2000,1052.0
6,2001,1052.0
6,2002,1516.0
6,2003,1688.25
6,2004,2146.75
6,2005,2152.25
6,2006,2467.5
6,2007,2467.5
6,2008,2467.5
6,2009,2467.5
6,2010,2566.75
6,2011,2566.75
6,2012,2566.75
6,2013,2587.25
6,2014,2587.25
7,2000,0.0
7,2001,0.0
7,2002,0.0
7,2003,0.0
7,2004,0.0
7,2005,0.0
7,2006,0.0
7,2007,0.0
7,2008,0.0
7,2009,0.0
7,2010,778.75
7,2011,778.75
7,2012,778.75
7,2013,778.75
7,2014,778.75
8,2000,7208.25
8,2001,7208.25
8,2002,7208.25
8,2003,7499.75
8,2004,7499.75
8,2005,7505.0
8,2006,7505.0
8,2007,7505.0
8,2008,7582.75
8,2009,7582.75
8,2010,7632.5
8,2011,7632.5
8,2012,7632.5
8,2013,7632.5
8,2014,7632.5
9,2000,39548.0
9,2001,39548.0
9,2002,39548.0
9,2003,39548.0
9,2004,39548.0
9,2005,39548.0
9,2006,39548.0
9,2007,39548.0
9,2008,39548.0
9,2009,39548.0
9,2010,39548.0
9,2011,39548.0
9,2012,39548.0
9,2013,39548.0
9,2014,39548.0
NA,2000,1994257.25
NA,2001,2017039.25
NA,2002,2021011.0
NA,2003,2058065.75
NA,2004,2065531.5
NA,2005,2068848.0
NA,2006,2071772.25
NA,2007,2071918.25
NA,2008,2091448.75
NA,2009,2096274.5
NA,2010,2116070.75
NA,2011,2117947.25
NA,2012,2135654.25
NA,2013,2137703.5
NA,2014,2153868.0
10,2000,NA
10,2001,NA
10,2002,NA
10,2003,NA
10,2004,NA
10,2005,NA
10,2006,NA
10,2007,NA
10,2008,NA
10,2009,NA
10,2010,NA
10,2011,NA
10,2012,NA
10,2013,NA
10,2014,NA
