rgn_id,year,species_code,catch
1,1993,PWA,5101
1,1994,PWA,4779
1,1995,PWA,3267
1,1996,PWA,4790
1,1997,PWA,2864
1,1998,PWA,3030
1,1999,PWA,5754
1,2000,PWA,4447
1,2001,PWA,3041
1,2002,PWA,3653
1,2003,PWA,3696
1,2004,PWA,2621
1,2005,PWA,2406
1,2006,PWA,2498
1,2007,PWA,4057
1,2008,PWA,2396
1,2009,PWA,3669
1,2010,PWA,3111
1,2011,PWA,2335
1,2012,PWA,3057
1,2013,PWA,1373
1,2014,PWA,1364
1,2009,SPO,7899
1,2010,SPO,7899
1,2011,SPO,7899
1,2012,SPO,7899
1,2013,SPO,7899
1,2014,SPO,7900.5
1,2015,SPO,7900.5
2,1998,NAR,359
2,1999,NAR,526
2,2000,NAR,493
2,2001,NAR,552
2,2002,NAR,411
2,2003,NAR,445
2,2004,NAR,544
2,2005,NAR,475
2,2006,NAR,800
2,2007,NAR,483
2,2008,NAR,1047
2,2009,NAR,506
2,2010,NAR,543
2,2011,NAR,554
3,NA,NA,NA
4,1993,PWA,1476
4,1994,PWA,1747
4,1995,PWA,1847
4,1996,PWA,1622
4,1997,PWA,1260
4,1998,PWA,1638
4,1999,PWA,2879
4,2000,PWA,2090
4,2001,PWA,2297
4,2002,PWA,2271
4,2003,PWA,2457
4,2004,PWA,1928
4,2005,PWA,2476
4,2006,PWA,1805
4,2007,PWA,2022
4,2008,PWA,1341
4,2009,PWA,1914
4,2010,PWA,1816
4,2011,PWA,1779
4,2012,PWA,1740
4,2013,PWA,1797
4,2014,PWA,1412
4,1979,HAR,35000
4,1980,HAR,36500
4,1981,HAR,43566
4,1982,HAR,58504
4,1983,HAR,64000
4,1984,HAR,65095
4,1985,HAR,61043
4,1986,HAR,61132
4,1987,HAR,45797
4,1988,HAR,54401
4,1989,HAR,33464
4,1990,HAR,32457
4,1991,HAR,32480
4,1992,HAR,31090
4,1993,HAR,31500
4,1994,HAR,32500
4,1995,HAR,29644
4,1996,HAR,31528
4,1997,HAR,31380
4,1998,HAR,13370
4,1999,HAR,34850
4,2000,HAR,38413
4,2001,HAR,39116
4,2002,HAR,34187
4,2003,HAR,37936
4,2004,HAR,0
4,2005,HAR,14277
4,2006,HAR,7107
4,2007,HAR,5476
4,2008,HAR,13331
4,2009,HAR,0
4,2010,HAR,10
4,2011,HAR,0
4,1993,PWA,1476
4,1994,PWA,1747
4,1995,PWA,1847
4,1996,PWA,1622
4,1997,PWA,1260
4,1998,PWA,1638
4,1999,PWA,2879
4,2000,PWA,2090
4,2001,PWA,2297
4,2002,PWA,2271
4,2003,PWA,2457
4,2004,PWA,1928
4,2005,PWA,2476
4,2006,PWA,1805
4,2007,PWA,2022
4,2008,PWA,1341
4,2009,PWA,1914
4,2010,PWA,1816
4,2011,PWA,1779
4,2012,PWA,1740
4,2013,PWA,1797
4,2014,PWA,1412
5,NA,NA,NA
6,1979,HAR,13531
6,1980,HAR,15202
6,1981,HAR,17465
6,1982,HAR,17456
6,1983,HAR,18089
6,1984,HAR,8876
6,1985,HAR,19007
6,1986,HAR,19017
6,1987,HAR,19000
6,1988,HAR,16598
6,1989,HAR,9413
6,1990,HAR,9522
6,1991,HAR,9500
6,1992,HAR,5571
6,1993,HAR,8758
6,1994,HAR,9500
6,1995,HAR,6842
6,1996,HAR,9521
6,1997,HAR,5019
6,1998,HAR,832
6,1999,HAR,1150
6,2000,HAR,6357
6,2001,HAR,5200
6,2002,HAR,2348
6,2003,HAR,5298
6,2004,HAR,33
6,2005,HAR,8197
6,2006,HAR,10086
6,2007,HAR,6153
6,2008,HAR,0
6,2009,HAR,0
6,2010,HAR,105
6,2011,HAR,200
7,2001,HAR,2992
7,2002,HAR,1232
7,2003,HAR,2277
7,2004,HAR,9895
7,2005,HAR,7205
7,2006,HAR,3304
7,2007,HAR,7828
7,2008,HAR,1263
7,2009,HAR,8035
7,2010,HAR,4678
7,2011,HAR,10134
7,2001,HOO,3820
7,2002,HOO,7191
7,2003,HOO,5295
7,2004,HOO,4881
7,2005,HOO,3826
7,2006,HOO,3647
7,2007,HOO,62
7,2008,HOO,44
7,2009,HOO,413
7,2010,HOO,178
7,2011,HOO,19
7,2012,HOO,21
7,2013,HOO,22
8,2004,NAR,45
8,2005,NAR,389
8,2006,NAR,280
8,2007,NAR,335
8,2008,NAR,374
8,2009,NAR,292
8,2010,NAR,184
8,2011,NAR,249
8,2012,NAR,313
8,2013,NAR,275
8,2014,NAR,334
8,2007,WAL,123
8,2008,WAL,94
8,2009,WAL,123
8,2010,WAL,100
8,2011,WAL,92
8,2012,WAL,110
8,2013,WAL,112
8,2014,WAL,119
8,2015,WAL,127
9,2004,NAR,0
9,2005,NAR,8
9,2006,NAR,42
9,2007,NAR,13
9,2008,NAR,76
9,2009,NAR,12
9,2010,NAR,30
9,2011,NAR,45
9,2012,NAR,48
9,2013,NAR,65
9,2014,NAR,81
9,2007,WAL,10
9,2008,WAL,9
9,2009,WAL,4
9,2010,WAL,7
9,2011,WAL,5
9,2012,WAL,4
9,2013,WAL,8
9,2014,WAL,8
