rgn_id,year,species_code,reference
1,1989,PWA,1290
1,1990,PWA,1290
1,1991,PWA,1290
1,1992,PWA,1290
1,1993,PWA,1290
1,1994,PWA,1290
1,1995,PWA,1290
1,1996,PWA,1290
1,1997,PWA,1290
1,1998,PWA,1290
1,1999,PWA,1290
1,2000,PWA,1290
1,2001,PWA,1290
1,2002,PWA,1290
1,2003,PWA,1290
1,2004,PWA,1290
1,2005,PWA,1290
1,2006,PWA,1290
1,2007,PWA,1290
1,2008,PWA,1290
1,2009,PWA,1290
1,2010,PWA,1290
1,2011,PWA,1290
1,2012,PWA,1290
1,2013,PWA,1290
1,2014,PWA,1290
1,2015,PWA,1290
1,2009,SPO,11730
1,2010,SPO,11730
1,2011,SPO,11730
1,2012,SPO,11730
1,2013,SPO,11730
1,2014,SPO,11730
1,2015,SPO,11730
2,1998,NAR,542
2,1999,NAR,327
2,2000,NAR,467
2,2001,NAR,467
2,2002,NAR,638
2,2003,NAR,704
2,2004,NAR,782
2,2005,NAR,725
2,2006,NAR,808
2,2007,NAR,735
2,2008,NAR,741
2,2009,NAR,759
2,2010,NAR,745
2,2011,NAR,738
3,NA,NA,NA
4,1979,HAR,34000
4,1980,HAR,34000
4,1981,HAR,42500
4,1982,HAR,57500
4,1983,HAR,64000
4,1984,HAR,62000
4,1985,HAR,61000
4,1986,HAR,61000
4,1987,HAR,61000
4,1988,HAR,53400
4,1989,HAR,30500
4,1990,HAR,30500
4,1991,HAR,30500
4,1992,HAR,30500
4,1993,HAR,30500
4,1994,HAR,30500
4,1995,HAR,31250
4,1996,HAR,30500
4,1997,HAR,35000
4,1998,HAR,35000
4,1999,HAR,16400
4,2000,HAR,22700
4,2001,HAR,48000
4,2002,HAR,48000
4,2003,HAR,43000
4,2004,HAR,35100
4,2005,HAR,35100
4,2006,HAR,68200
4,2007,HAR,63200
4,2008,HAR,45100
4,2009,HAR,28000
4,2010,HAR,0
4,2011,HAR,0
4,1993,PWA,1290
4,1994,PWA,1290
4,1995,PWA,1290
4,1996,PWA,1290
4,1997,PWA,1290
4,1998,PWA,1290
4,1999,PWA,1290
4,2000,PWA,1290
4,2001,PWA,1290
4,2002,PWA,1290
4,2003,PWA,1290
4,2004,PWA,1290
4,2005,PWA,1290
4,2006,PWA,1290
4,2007,PWA,1290
4,2008,PWA,1290
4,2009,PWA,1290
4,2010,PWA,1290
4,2011,PWA,1290
4,2012,PWA,1290
4,2013,PWA,1290
4,2014,PWA,1290
5,NA,NA,NA
6,1979,HAR,10300
6,1980,HAR,5600
6,1981,HAR,4000
6,1982,HAR,0
6,1983,HAR,0
6,1984,HAR,0
6,1985,HAR,0
6,1986,HAR,0
6,1987,HAR,0
6,1988,HAR,0
6,1989,HAR,0
6,1990,HAR,0
6,1991,HAR,0
6,1992,HAR,15000
6,1993,HAR,15000
6,1994,HAR,15000
6,1995,HAR,15000
6,1996,HAR,15000
6,1997,HAR,31200
6,1998,HAR,31200
6,1999,HAR,31200
6,2000,HAR,40000
6,2001,HAR,42000
6,2002,HAR,42000
6,2003,HAR,16000
6,2004,HAR,16000
6,2005,HAR,17500
6,2006,HAR,17500
6,2007,HAR,18000
6,2008,HAR,18000
6,2009,HAR,19000
6,2010,HAR,19000
6,2011,HAR,19000
7,2001,HAR,16600
7,2002,HAR,9500
7,2003,HAR,9500
7,2004,HAR,9500
7,2005,HAR,9500
7,2006,HAR,9500
7,2007,HAR,9500
7,2008,HAR,8750
7,2009,HAR,9500
7,2010,HAR,5000
7,2011,HAR,5000
7,2001,HOO,5000
7,2002,HOO,5000
7,2003,HOO,5000
7,2004,HOO,5000
7,2005,HOO,10000
7,2006,HOO,10000
7,2007,HOO,10000
7,2008,HOO,10000
7,2009,HOO,15000
7,2010,HOO,10000
7,2011,HOO,7000
7,2012,HOO,7000
7,2013,HOO,7000
8,2004,NAR,300
8,2005,NAR,300
8,2006,NAR,317
8,2007,NAR,300
8,2008,NAR,410
8,2009,NAR,310
8,2010,NAR,310
8,2011,NAR,310
8,2012,NAR,329
8,2013,NAR,310
8,2014,NAR,355
8,2007,WAL,170
8,2008,WAL,145
8,2009,WAL,111
8,2010,WAL,108
8,2011,WAL,112
8,2012,WAL,123
8,2013,WAL,122
8,2014,WAL,122
8,2015,WAL,155
9,2004,NAR,0
9,2005,NAR,0
9,2006,NAR,0
9,2007,NAR,0
9,2008,NAR,0
9,2009,NAR,85
9,2010,NAR,85
9,2011,NAR,85
9,2012,NAR,129
9,2013,NAR,88
9,2014,NAR,110
9,2007,WAL,30
9,2008,WAL,30
9,2009,WAL,23
9,2010,WAL,18
9,2011,WAL,18
9,2012,WAL,18
9,2013,WAL,18
9,2014,WAL,18
