am_sid,rgn_id,rgn_name,sciname
Fis-22922,1,Alaska,Osmerus mordax
Fis-63912,1,Alaska,Lethenteron camtschaticum
Fis-29858,1,Alaska,Coregonus sardinella
Fis-30261,1,Alaska,Lycodes jugoricus
Fis-30264,1,Alaska,Lycodes pallidus
Fis-24756,1,Alaska,Lycodes polaris
Fis-30266,1,Alaska,Lycodes rossi
Fis-30268,1,Alaska,Lycodes turneri
Fis-24741,1,Alaska,Liopsetta glacialis
Fis-24923,1,Alaska,Pungitius pungitius
Fis-24399,1,Alaska,Acantholumpenus mackayi
Fis-24610,1,Alaska,Eumesogrammus praecisus
Fis-24751,1,Alaska,Lumpenus fabricii
Fis-49057,1,Alaska,Leptoclinus maculatus
Fis-24753,1,Alaska,Anisarchus medius
Fis-144084,1,Alaska,Stichaeus punctatus punctatus
Fis-30764,1,Alaska,Artediellus scaber
Fis-24702,1,Alaska,Icelus bicornis
Fis-30828,1,Alaska,Icelus spatula
Fis-24768,1,Alaska,Hemilepidotus papilio
Fis-24810,1,Alaska,Myoxocephalus scorpioides
Fis-62940,1,Alaska,Triglops pingelii
Fis-30771,1,Alaska,Aspidophoroides olrikii
Fis-24612,1,Alaska,Eumicrotremus spinosus
Fis-30835,1,Alaska,Liparis gibbus
Fis-30842,1,Alaska,Liparis tunicatus
Fis-22917,1,Alaska,Oncorhynchus kisutch
Fis-24332,1,Alaska,Salvelinus malma
Fis-24899,1,Alaska,Platichthys stellatus
Fis-29728,1,Alaska,Bathymaster signatus
Fis-24892,1,Alaska,Pholis fasciata
Fis-24553,1,Alaska,Enophrys diceraus
Fis-24767,1,Alaska,Megalocottus platycephalus
Fis-24441,1,Alaska,Aspidophoroides monopterygius
Fis-30819,1,Alaska,Hippoglossoides robustus
Fis-17283,1,Alaska,Limanda proboscidea
Fis-29418,1,Alaska,Hippoglossus stenolepis
Fis-23237,1,Alaska,Reinhardtius hippoglossoides
Fis-22921,1,Alaska,Oncorhynchus tshawytscha
Fis-147788,1,Alaska,Podothecus accipenserinus
Fis-24436,1,Alaska,Artediellus uncinatus
Fis-24311,1,Alaska,Bathyraja parmifera
Fis-30263,1,Alaska,Lycodes palearis
Fis-24846,1,Alaska,Pallasina barbata
Fis-11256,1,Alaska,Limanda aspera
Fis-30812,1,Alaska,Eumicrotremus derjugini
Fis-30267,1,Alaska,Lycodes sagittarius
