rgn_id,year,passengers,,,,,,,,,,,,,,,,,,,
1,NA,NA,,,,,,,,,,,,,,,,,,,
2,2005,523,,,,,,,,,,,,,,,,,,,
2,2006,1100,,,,,,,,,,,,,,,,,,,
2,2007,1248,,,,,,,,,,,,,,,,,,,
2,2008,1481,,,,,,,,,,,,,,,,,,,
2,2009,1369,,,,,,,,,,,,,,,,,,,
2,2010,1314,,,,,,,,,,,,,,,,,,,
2,2011,945,,,,,,,,,,,,,,,,,,,
2,2012,1291,,,,,,,,,,,,,,,,,,,
2,2013,1501,,,,,,,,,,,,,,,,,,,
2,2014,1440,,,,,,,,,,,,,,,,,,,
3,2005,523,,,,,,,,,,,,,,,,,,,
3,2006,1100,,,,,,,,,,,,,,,,,,,
3,2007,1248,,,,,,,,,,,,,,,,,,,
3,2008,1481,,,,,,,,,,,,,,,,,,,
3,2009,1369,,,,,,,,,,,,,,,,,,,
3,2010,1314,,,,,,,,,,,,,,,,,,,
3,2011,945,,,,,,,,,,,,,,,,,,,
3,2012,1291,,,,,,,,,,,,,,,,,,,
3,2013,1501,,,,,,,,,,,,,,,,,,,
3,2014,1440,,,,,,,,,,,,,,,,,,,
4,2005,0,,,,,,,,,,,,,,,,,,,
4,2006,0,,,,,,,,,,,,,,,,,,,
4,2007,0,,,,,,,,,,,,,,,,,,,
4,2008,0,,,,,,,,,,,,,,,,,,,
4,2009,0,,,,,,,,,,,,,,,,,,,
4,2010,0,,,,,,,,,,,,,,,,,,,
4,2011,0,,,,,,,,,,,,,,,,,,,
4,2012,1005,,,,,,,,,,,,,,,,,,,
4,2013,636,,,,,,,,,,,,,,,,,,,
4,2014,738,,,,,,,,,,,,,,,,,,,
4,2015,1225,,,,,,,,,,,,,,,,,,,
5,2005,34760,,,,,,,,,,,,,,,,,,,
5,2006,34903,,,,,,,,,,,,,,,,,,,
5,2007,40256,,,,,,,,,,,,,,,,,,,
5,2008,38737,,,,,,,,,,,,,,,,,,,
5,2009,38272,,,,,,,,,,,,,,,,,,,
5,2010,35448,,,,,,,,,,,,,,,,,,,
5,2011,33893,,,,,,,,,,,,,,,,,,,
5,2012,53215,,,,,,,,,,,,,,,,,,,
5,2013,46784,,,,,,,,,,,,,,,,,,,
5,2014,47673,,,,,,,,,,,,,,,,,,,
6,2006,56000,,,,,,,,,,,,,,,,,,,
6,2007,60000,,,,,,,,,,,,,,,,,,,
6,2008,78000,,,,,,,,,,,,,,,,,,,
6,2009,78000,,,,,,,,,,,,,,,,,,,
6,2010,84000,,,,,,,,,,,,,,,,,,,
6,2011,74000,,,,,,,,,,,,,,,,,,,
6,2012,98000,,,,,,,,,,,,,,,,,,,
6,2013,107000,,,,,,,,,,,,,,,,,,,
6,2014,110000,,,,,,,,,,,,,,,,,,,
7,NA,NA,,,,,,,,,,,,,,,,,,,
8,2003,4997,,,,,,,,,,,,,,,,,,,
8,2004,7827,,,,,,,,,,,,,,,,,,,
8,2005,8223,,,,,,,,,,,,,,,,,,,
8,2006,11026,,,,,,,,,,,,,,,,,,,
8,2007,11753,,,,,,,,,,,,,,,,,,,
8,2008,14446,,,,,,,,,,,,,,,,,,,
8,2009,13488,,,,,,,,,,,,,,,,,,,
8,2010,15136,,,,,,,,,,,,,,,,,,,
8,2011,14913,,,,,,,,,,,,,,,,,,,
8,2012,11700,,,,,,,,,,,,,,,,,,,
8,2013,10748,,,,,,,,,,,,,,,,,,,
8,2014,10107,,,,,,,,,,,,,,,,,,,
8,2015,11195,,,,,,,,,,,,,,,,,,,
9,2003,4997,,,,,,,,,,,,,,,,,,,
9,2004,7827,,,,,,,,,,,,,,,,,,,
9,2005,8223,,,,,,,,,,,,,,,,,,,
9,2006,11026,,,,,,,,,,,,,,,,,,,
9,2007,11753,,,,,,,,,,,,,,,,,,,
9,2008,14446,,,,,,,,,,,,,,,,,,,
9,2009,13488,,,,,,,,,,,,,,,,,,,
9,2010,15136,,,,,,,,,,,,,,,,,,,
9,2011,14913,,,,,,,,,,,,,,,,,,,
9,2012,11700,,,,,,,,,,,,,,,,,,,
9,2013,10748,,,,,,,,,,,,,,,,,,,
9,2014,10107,,,,,,,,,,,,,,,,,,,
9,2015,11195,,,,,,,,,,,,,,,,,,,
