rgn_id,loiczid,proportionArea,csquarecode,cellarea
1,26686.0,0.09,7715:217:1,993.59
1,26687.0,0.09,7715:216:2,993.59
1,26688.0,0.23,7715:216:1,993.59
1,26689.0,0.18,7715:215:2,993.59
1,26690.0,0.24,7715:215:1,993.59
1,26691.0,0.1,7715:114:2,993.59
1,27400.0,0.11,7716:100:3,1019.09
1,27401.0,0.12,7715:209:4,1019.09
1,27402.0,0.15,7715:209:3,1019.09
1,27403.0,0.18,7715:208:4,1019.09
1,27404.0,0.07,7715:208:3,1019.09
1,27405.0,0.08,7715:207:4,1019.09
1,27406.0,0.01,7715:207:3,1019.09
1,27408.0,0.01,7715:206:3,1019.09
1,27409.0,0.25,7715:205:4,1019.09
1,27410.0,0.06,7715:205:3,1019.09
1,27411.0,0.07,7715:104:4,1019.09
1,27412.0,0.09,7715:104:3,1019.09
1,27413.0,0.01,7715:103:4,1019.09
1,27414.0,0.07,7715:103:3,1019.09
1,27415.0,0.12,7715:102:4,1019.09
1,27416.0,0.19,7715:102:3,1019.09
1,27417.0,0.1,7715:101:4,1019.09
1,27419.0,0.05,7715:100:4,1019.09
1,27420.0,0.07,7715:100:3,1019.09
1,27421.0,0.18,7714:209:4,1019.09
1,27422.0,0.11,7714:209:3,1019.09
1,27425.0,0.01,7714:207:4,1019.09
1,28115.0,0.07,7716:102:2,1044.52
1,28116.0,0.28,7716:102:1,1044.52
1,28117.0,0.22,7716:101:2,1044.52
1,28118.0,0.12,7716:101:1,1044.52
1,28119.0,0.1,7716:100:2,1044.52
1,28120.0,0.04,7716:100:1,1044.52
1,28121.0,0.11,7715:209:2,1044.52
1,28137.0,0.05,7715:101:2,1044.52
1,28138.0,0.1,7715:101:1,1044.52
1,28139.0,0.05,7715:100:2,1044.52
1,28140.0,0.08,7715:100:1,1044.52
1,28141.0,0.01,7714:209:2,1044.52
1,28142.0,0.03,7714:209:1,1044.52
1,28143.0,0.13,7714:208:2,1044.52
1,28144.0,0.18,7714:208:1,1044.52
1,28145.0,0.19,7714:207:2,1044.52
1,28146.0,0.21,7714:207:1,1044.52
1,28147.0,0.15,7714:206:2,1044.52
1,28148.0,0.14,7714:206:1,1044.52
1,28149.0,0.08,7714:205:2,1044.52
1,28150.0,0.06,7714:205:1,1044.52
1,28151.0,0.02,7714:104:2,1044.52
1,28152.0,0.08,7714:104:1,1044.52
1,28153.0,0.1,7714:103:2,1044.52
1,28154.0,0.13,7714:103:1,1044.52
1,28155.0,0.07,7714:102:2,1044.52
1,28834.0,0.21,7616:393:3,1069.87
1,28835.0,0.23,7616:392:4,1069.87
1,28836.0,0.01,7616:392:3,1069.87
1,28871.0,0.05,7614:394:4,1069.87
1,28875.0,0.01,7614:392:4,1069.87
1,28876.0,0.09,7614:392:3,1069.87
1,28877.0,0.09,7614:391:4,1069.87
1,28878.0,0.1,7614:391:3,1069.87
1,29553.0,0.09,7616:393:2,1095.13
1,29554.0,0.15,7616:393:1,1095.13
1,30268.0,0.14,7616:486:3,1120.32
1,30269.0,0.1,7616:485:4,1120.32
1,30270.0,0.08,7616:485:3,1120.32
1,30271.0,0.06,7616:384:4,1120.32
1,30272.0,0.07,7616:384:3,1120.32
1,30987.0,0.12,7616:486:2,1145.41
1,30988.0,0.12,7616:486:1,1145.41
1,30989.0,0.07,7616:485:2,1145.41
1,30990.0,0.03,7616:485:1,1145.41
1,31710.0,0.06,7616:475:3,1170.42
1,31711.0,0.09,7616:374:4,1170.42
1,31712.0,0.1,7616:374:3,1170.42
1,32433.0,0.13,7616:373:2,1195.34
1,32434.0,0.06,7616:373:1,1195.34
1,32435.0,0.08,7616:372:2,1195.34
1,32436.0,0.02,7616:372:1,1195.34
1,32437.0,0.06,7616:371:2,1195.34
1,33151.0,0.04,7616:364:4,1220.17
1,33152.0,0.01,7616:364:3,1220.17
1,33153.0,0.05,7616:363:4,1220.17
1,33155.0,0.13,7616:362:4,1220.17
1,33156.0,0.23,7616:362:3,1220.17
1,33157.0,0.24,7616:361:4,1220.17
1,33158.0,0.06,7616:361:3,1220.17
1,33159.0,0.08,7616:360:4,1220.17
1,33160.0,0.04,7616:360:3,1220.17
2,9565.0,0.1,7807:237:2,363.31
2,9566.0,0.08,7807:237:1,363.31
2,9567.0,0.05,7807:236:2,363.31
2,9568.0,0.1,7807:236:1,363.31
2,9569.0,0.01,7807:235:2,363.31
2,9570.0,0.08,7807:235:1,363.31
2,9571.0,0.1,7807:134:2,363.31
2,9572.0,0.1,7807:134:1,363.31
2,9573.0,0.1,7807:133:2,363.31
2,9574.0,0.1,7807:133:1,363.31
2,9575.0,0.09,7807:132:2,363.31
2,9576.0,0.01,7807:132:1,363.31
2,9577.0,0.08,7807:131:2,363.31
2,9578.0,0.1,7807:131:1,363.31
2,9579.0,0.1,7807:130:2,363.31
2,9580.0,0.1,7807:130:1,363.31
