year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status
0,1,0,38983,0,9745.75,0.0,0.0,0.0
1909,1,0,38983,0,9745.75,0.0,0.0,0.0
1920,1,0,38983,0,9745.75,0.0,0.0,0.0
1927,1,0,38983,0,9745.75,0.0,0.0,0.0
1928,1,0,38983,0,9745.75,0.0,0.0,0.0
1929,1,0,38983,0,9745.75,0.0,0.0,0.0
1931,1,0,38983,0,9745.75,0.0,0.0,0.0
1932,1,0,38983,0,9745.75,0.0,0.0,0.0
1938,1,0,38983,0,9745.75,0.0,0.0,0.0
1942,1,0,38983,0,9745.75,0.0,0.0,0.0
1956,1,0,38983,0,9745.75,0.0,0.0,0.0
1957,1,0,38983,0,9745.75,0.0,0.0,0.0
1959,1,0,38983,0,9745.75,0.0,0.0,0.0
1960,1,0,38983,0,9745.75,0.0,0.0,0.0
1961,1,0,38983,0,9745.75,0.0,0.0,0.0
1962,1,0,38983,0,9745.75,0.0,0.0,0.0
1965,1,0,38983,0,9745.75,0.0,0.0,0.0
1967,1,0,38983,0,9745.75,0.0,0.0,0.0
1968,1,0,38983,0,9745.75,0.0,0.0,0.0
1969,1,0,38983,0,9745.75,0.0,0.0,0.0
1970,1,0,38983,0,9745.75,0.0,0.0,0.0
1971,1,0,38983,0,9745.75,0.0,0.0,0.0
1972,1,0,38983,0,9745.75,0.0,0.0,0.0
1973,1,0,38983,0,9745.75,0.0,0.0,0.0
1974,1,1,38983,1,9745.75,0.25,0.0,0.0
1975,1,0,38983,1,9745.75,0.25,0.0,0.0
1976,1,0,38983,1,9745.75,0.25,0.0,0.0
1977,1,0,38983,1,9745.75,0.25,0.0,0.0
1978,1,34,38983,35,9745.75,8.75,9e-4,0.3
1979,1,0,38983,35,9745.75,8.75,9e-4,0.3
1980,1,417,38983,452,9745.75,113.0,0.0116,3.87
1981,1,0,38983,452,9745.75,113.0,0.0116,3.87
1982,1,0,38983,452,9745.75,113.0,0.0116,3.87
1983,1,0,38983,452,9745.75,113.0,0.0116,3.87
1984,1,0,38983,452,9745.75,113.0,0.0116,3.87
1985,1,0,38983,452,9745.75,113.0,0.0116,3.87
1986,1,0,38983,452,9745.75,113.0,0.0116,3.87
1987,1,0,38983,452,9745.75,113.0,0.0116,3.87
1988,1,0,38983,452,9745.75,113.0,0.0116,3.87
1989,1,0,38983,452,9745.75,113.0,0.0116,3.87
1990,1,0,38983,452,9745.75,113.0,0.0116,3.87
1991,1,0,38983,452,9745.75,113.0,0.0116,3.87
1992,1,0,38983,452,9745.75,113.0,0.0116,3.87
1993,1,0,38983,452,9745.75,113.0,0.0116,3.87
1994,1,0,38983,452,9745.75,113.0,0.0116,3.87
1995,1,0,38983,452,9745.75,113.0,0.0116,3.87
1996,1,0,38983,452,9745.75,113.0,0.0116,3.87
1997,1,0,38983,452,9745.75,113.0,0.0116,3.87
1998,1,0,38983,452,9745.75,113.0,0.0116,3.87
1999,1,0,38983,452,9745.75,113.0,0.0116,3.87
2000,1,0,38983,452,9745.75,113.0,0.0116,3.87
2001,1,0,38983,452,9745.75,113.0,0.0116,3.87
2002,1,0,38983,452,9745.75,113.0,0.0116,3.87
2003,1,0,38983,452,9745.75,113.0,0.0116,3.87
2004,1,0,38983,452,9745.75,113.0,0.0116,3.87
2005,1,0,38983,452,9745.75,113.0,0.0116,3.87
2006,1,0,38983,452,9745.75,113.0,0.0116,3.87
2007,1,0,38983,452,9745.75,113.0,0.0116,3.87
2008,1,0,38983,452,9745.75,113.0,0.0116,3.87
2009,1,0,38983,452,9745.75,113.0,0.0116,3.87
2010,1,0,38983,452,9745.75,113.0,0.0116,3.87
2011,1,0,38983,452,9745.75,113.0,0.0116,3.87
2012,1,0,38983,452,9745.75,113.0,0.0116,3.87
2013,1,0,38983,452,9745.75,113.0,0.0116,3.87
2014,1,0,38983,452,9745.75,113.0,0.0116,3.87
0,2,0,707091,0,176772.75,0.0,0.0,0.0
1909,2,0,707091,0,176772.75,0.0,0.0,0.0
1920,2,0,707091,0,176772.75,0.0,0.0,0.0
1927,2,0,707091,0,176772.75,0.0,0.0,0.0
1928,2,0,707091,0,176772.75,0.0,0.0,0.0
1929,2,0,707091,0,176772.75,0.0,0.0,0.0
1931,2,0,707091,0,176772.75,0.0,0.0,0.0
1932,2,0,707091,0,176772.75,0.0,0.0,0.0
1938,2,0,707091,0,176772.75,0.0,0.0,0.0
1942,2,0,707091,0,176772.75,0.0,0.0,0.0
1956,2,0,707091,0,176772.75,0.0,0.0,0.0
1957,2,29,707091,29,176772.75,7.25,0.0,0.0
1959,2,0,707091,29,176772.75,7.25,0.0,0.0
1960,2,0,707091,29,176772.75,7.25,0.0,0.0
1961,2,12983,707091,13012,176772.75,3253.0,0.0184,6.13
1962,2,0,707091,13012,176772.75,3253.0,0.0184,6.13
1965,2,6232,707091,19244,176772.75,4811.0,0.0272,9.07
1967,2,0,707091,19244,176772.75,4811.0,0.0272,9.07
1968,2,0,707091,19244,176772.75,4811.0,0.0272,9.07
1969,2,0,707091,19244,176772.75,4811.0,0.0272,9.07
1970,2,0,707091,19244,176772.75,4811.0,0.0272,9.07
1971,2,0,707091,19244,176772.75,4811.0,0.0272,9.07
1972,2,0,707091,19244,176772.75,4811.0,0.0272,9.07
1973,2,0,707091,19244,176772.75,4811.0,0.0272,9.07
1974,2,0,707091,19244,176772.75,4811.0,0.0272,9.07
1975,2,176,707091,19420,176772.75,4855.0,0.0275,9.17
1976,2,3514,707091,22934,176772.75,5733.5,0.0324,10.8
1977,2,0,707091,22934,176772.75,5733.5,0.0324,10.8
1978,2,0,707091,22934,176772.75,5733.5,0.0324,10.8
1979,2,0,707091,22934,176772.75,5733.5,0.0324,10.8
1980,2,0,707091,22934,176772.75,5733.5,0.0324,10.8
1981,2,0,707091,22934,176772.75,5733.5,0.0324,10.8
1982,2,2745,707091,25679,176772.75,6419.75,0.0363,12.1
1983,2,0,707091,25679,176772.75,6419.75,0.0363,12.1
1984,2,268,707091,25947,176772.75,6486.75,0.0367,12.23
1985,2,686,707091,26633,176772.75,6658.25,0.0377,12.57
1986,2,0,707091,26633,176772.75,6658.25,0.0377,12.57
1987,2,0,707091,26633,176772.75,6658.25,0.0377,12.57
1988,2,3376,707091,30009,176772.75,7502.25,0.0424,14.13
1989,2,0,707091,30009,176772.75,7502.25,0.0424,14.13
1990,2,0,707091,30009,176772.75,7502.25,0.0424,14.13
1991,2,0,707091,30009,176772.75,7502.25,0.0424,14.13
1992,2,511,707091,30520,176772.75,7630.0,0.0432,14.4
1993,2,0,707091,30520,176772.75,7630.0,0.0432,14.4
1994,2,0,707091,30520,176772.75,7630.0,0.0432,14.4
1995,2,1622,707091,32142,176772.75,8035.5,0.0455,15.17
1996,2,0,707091,32142,176772.75,8035.5,0.0455,15.17
1997,2,0,707091,32142,176772.75,8035.5,0.0455,15.17
1998,2,0,707091,32142,176772.75,8035.5,0.0455,15.17
1999,2,0,707091,32142,176772.75,8035.5,0.0455,15.17
2000,2,0,707091,32142,176772.75,8035.5,0.0455,15.17
2001,2,1023,707091,33165,176772.75,8291.25,0.0469,15.63
2002,2,0,707091,33165,176772.75,8291.25,0.0469,15.63
2003,2,0,707091,33165,176772.75,8291.25,0.0469,15.63
2004,2,0,707091,33165,176772.75,8291.25,0.0469,15.63
2005,2,0,707091,33165,176772.75,8291.25,0.0469,15.63
2006,2,0,707091,33165,176772.75,8291.25,0.0469,15.63
2007,2,0,707091,33165,176772.75,8291.25,0.0469,15.63
2008,2,0,707091,33165,176772.75,8291.25,0.0469,15.63
2009,2,0,707091,33165,176772.75,8291.25,0.0469,15.63
2010,2,4642,707091,37807,176772.75,9451.75,0.0535,17.83
2011,2,0,707091,37807,176772.75,9451.75,0.0535,17.83
2012,2,0,707091,37807,176772.75,9451.75,0.0535,17.83
2013,2,0,707091,37807,176772.75,9451.75,0.0535,17.83
2014,2,0,707091,37807,176772.75,9451.75,0.0535,17.83
0,3,0,497827,0,124456.75,0.0,0.0,0.0
1909,3,0,497827,0,124456.75,0.0,0.0,0.0
1920,3,0,497827,0,124456.75,0.0,0.0,0.0
1927,3,0,497827,0,124456.75,0.0,0.0,0.0
1928,3,0,497827,0,124456.75,0.0,0.0,0.0
