year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status
0,1,0,1972113,0,493028.25,0.0,0.0,0.0
1909,1,0,1972113,0,493028.25,0.0,0.0,0.0
1920,1,0,1972113,0,493028.25,0.0,0.0,0.0
1927,1,0,1972113,0,493028.25,0.0,0.0,0.0
1928,1,0,1972113,0,493028.25,0.0,0.0,0.0
1929,1,0,1972113,0,493028.25,0.0,0.0,0.0
1931,1,0,1972113,0,493028.25,0.0,0.0,0.0
1932,1,0,1972113,0,493028.25,0.0,0.0,0.0
1938,1,0,1972113,0,493028.25,0.0,0.0,0.0
1942,1,0,1972113,0,493028.25,0.0,0.0,0.0
1956,1,0,1972113,0,493028.25,0.0,0.0,0.0
1957,1,0,1972113,0,493028.25,0.0,0.0,0.0
1959,1,0,1972113,0,493028.25,0.0,0.0,0.0
1960,1,0,1972113,0,493028.25,0.0,0.0,0.0
1961,1,0,1972113,0,493028.25,0.0,0.0,0.0
1962,1,0,1972113,0,493028.25,0.0,0.0,0.0
1965,1,0,1972113,0,493028.25,0.0,0.0,0.0
1967,1,0,1972113,0,493028.25,0.0,0.0,0.0
1968,1,0,1972113,0,493028.25,0.0,0.0,0.0
1969,1,0,1972113,0,493028.25,0.0,0.0,0.0
1970,1,0,1972113,0,493028.25,0.0,0.0,0.0
1971,1,0,1972113,0,493028.25,0.0,0.0,0.0
1972,1,0,1972113,0,493028.25,0.0,0.0,0.0
1973,1,0,1972113,0,493028.25,0.0,0.0,0.0
1974,1,1,1972113,1,493028.25,0.25,0.0,0.0
1975,1,0,1972113,1,493028.25,0.25,0.0,0.0
1976,1,0,1972113,1,493028.25,0.25,0.0,0.0
1977,1,0,1972113,1,493028.25,0.25,0.0,0.0
1978,1,34,1972113,35,493028.25,8.75,0.0,0.0
1979,1,0,1972113,35,493028.25,8.75,0.0,0.0
1980,1,417,1972113,452,493028.25,113.0,2e-4,0.07
1981,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1982,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1983,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1984,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1985,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1986,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1987,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1988,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1989,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1990,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1991,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1992,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1993,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1994,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1995,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1996,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1997,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1998,1,0,1972113,452,493028.25,113.0,2e-4,0.07
1999,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2000,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2001,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2002,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2003,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2004,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2005,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2006,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2007,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2008,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2009,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2010,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2011,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2012,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2013,1,0,1972113,452,493028.25,113.0,2e-4,0.07
2014,1,0,1972113,452,493028.25,113.0,2e-4,0.07
0,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1909,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1920,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1927,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1928,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1929,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1931,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1932,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1938,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1942,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1956,2,0,5933234,0,1483308.5,0.0,0.0,0.0
1957,2,375,5933234,375,1483308.5,93.75,1e-4,0.03
1959,2,0,5933234,375,1483308.5,93.75,1e-4,0.03
1960,2,0,5933234,375,1483308.5,93.75,1e-4,0.03
1961,2,24435,5933234,24810,1483308.5,6202.5,0.0042,1.4
1962,2,0,5933234,24810,1483308.5,6202.5,0.0042,1.4
1965,2,6704,5933234,31514,1483308.5,7878.5,0.0053,1.77
1967,2,0,5933234,31514,1483308.5,7878.5,0.0053,1.77
1968,2,0,5933234,31514,1483308.5,7878.5,0.0053,1.77
1969,2,0,5933234,31514,1483308.5,7878.5,0.0053,1.77
1970,2,0,5933234,31514,1483308.5,7878.5,0.0053,1.77
