"goal","dimension","region_id","score"
"AO","future",0,88.39
"AO","future",1,92.04
"AO","future",2,91.46
"AO","future",3,91.46
"AO","future",4,75.73
"AO","future",5,100
"AO","future",6,100
"AO","future",7,100
"AO","future",8,98.58
"AO","future",9,98.58
"AO","pressures",1,18.71
"AO","pressures",2,11.77
"AO","pressures",3,11.77
"AO","pressures",4,34.87
"AO","pressures",5,13.01
"AO","pressures",6,13.01
"AO","pressures",7,13.01
"AO","pressures",8,13.22
"AO","pressures",9,13.22
"AO","resilience",1,72.26
"AO","resilience",2,76.89
"AO","resilience",3,76.89
"AO","resilience",4,58.02
"AO","resilience",5,88.96
"AO","resilience",6,88.96
"AO","resilience",7,88.96
"AO","resilience",8,82.05
"AO","resilience",9,82.05
"AO","score",0,81.82
"AO","score",1,85.04
"AO","score",2,83.36
"AO","score",3,83.36
"AO","score",4,72.83
"AO","score",5,90.44
"AO","score",6,90.44
"AO","score",7,90.44
"AO","score",8,89.21
"AO","score",9,89.21
"AO","status",0,75.25
"AO","status",1,78.04
"AO","status",2,75.27
"AO","status",3,75.27
"AO","status",4,69.94
"AO","status",5,80.87
"AO","status",6,80.87
"AO","status",7,80.87
"AO","status",8,79.83
"AO","status",9,79.83
"AO","trend",1,0
"AO","trend",2,0
"AO","trend",3,0
"AO","trend",4,0.01
"AO","trend",5,0.02
"AO","trend",6,0.02
"AO","trend",7,0.02
"AO","trend",8,0.01
"AO","trend",9,0.01
"BD","future",0,96.1
"BD","future",1,84.21
"BD","future",2,99.86
"BD","future",3,96.27
"BD","future",4,92.32
"BD","future",5,100
"BD","future",6,100
"BD","future",7,100
"BD","future",8,100
"BD","future",9,99.92
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","pressures",5,
"BD","pressures",6,
"BD","pressures",7,
"BD","pressures",8,
"BD","pressures",9,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","resilience",5,
"BD","resilience",6,
"BD","resilience",7,
"BD","resilience",8,
"BD","resilience",9,
"BD","score",0,93.08
"BD","score",1,83.69
"BD","score",2,94.21
"BD","score",3,92.12
"BD","score",4,93.46
"BD","score",5,92.71
"BD","score",6,93.47
"BD","score",7,93.16
"BD","score",8,94.36
"BD","score",9,93.62
"BD","status",0,90.07
"BD","status",1,83.18
"BD","status",2,88.56
"BD","status",3,87.98
"BD","status",4,94.59
"BD","status",5,85.42
"BD","status",6,86.95
"BD","status",7,86.32
"BD","status",8,88.72
"BD","status",9,87.33
"BD","trend",1,-0.18
"BD","trend",2,-0.07
"BD","trend",3,-0.12
"BD","trend",4,-0.06
"BD","trend",5,-0.03
"BD","trend",6,-0.05
"BD","trend",7,-0.04
"BD","trend",8,0
"BD","trend",9,-0.02
"CP","future",0,87.27
"CP","future",1,96.23
"CP","future",2,100
"CP","future",3,100
"CP","future",4,87.67
"CP","future",5,56.38
"CP","future",6,56.38
"CP","future",7,56.38
"CP","future",8,100
"CP","future",9,100
"CP","pressures",1,21.64
"CP","pressures",2,23.25
"CP","pressures",3,23.25
"CP","pressures",4,43.44
"CP","pressures",5,26.18
"CP","pressures",6,26.18
"CP","pressures",7,26.18
"CP","pressures",8,31.68
"CP","pressures",9,31.68
"CP","resilience",1,68.47
"CP","resilience",2,81.96
"CP","resilience",3,81.96
"CP","resilience",4,35.77
"CP","resilience",5,86.21
"CP","resilience",6,86.21
"CP","resilience",7,86.21
"CP","resilience",8,77.93
"CP","resilience",9,77.93
"CP","score",0,86.17
"CP","score",1,91.41
"CP","score",2,97.58
"CP","score",3,97.58
"CP","score",4,89.08
"CP","score",5,56.86
"CP","score",6,56.86
"CP","score",7,56.86
"CP","score",8,94.71
"CP","score",9,94.71
"CP","status",0,85.07
"CP","status",1,86.58
"CP","status",2,95.15
"CP","status",3,95.15
"CP","status",4,90.5
"CP","status",5,57.35
"CP","status",6,57.35
"CP","status",7,57.35
"CP","status",8,89.42
"CP","status",9,89.42
"CP","trend",1,-0.06
"CP","trend",2,0.02
"CP","trend",3,0.02
"CP","trend",4,-0.01
"CP","trend",5,-0.32
"CP","trend",6,-0.32
"CP","trend",7,-0.32
"CP","trend",8,0.02
"CP","trend",9,0.02
"CS","future",0,84.41
"CS","future",1,58.71
"CS","future",2,59.25
"CS","future",3,59.25
"CS","future",4,100
"CS","future",5,
"CS","future",6,
"CS","future",7,
"CS","future",8,
"CS","future",9,
"CS","pressures",1,20.39
"CS","pressures",2,11.21
"CS","pressures",3,11.21
"CS","pressures",4,38
"CS","pressures",5,
"CS","pressures",6,
"CS","pressures",7,
"CS","pressures",8,
"CS","pressures",9,
"CS","resilience",1,48.55
"CS","resilience",2,66.18
"CS","resilience",3,66.18
"CS","resilience",4,60.73
"CS","resilience",5,
"CS","resilience",6,
"CS","resilience",7,
"CS","resilience",8,
"CS","resilience",9,
"CS","score",0,83.23
"CS","score",1,62.21
"CS","score",2,54.71
"CS","score",3,54.71
"CS","score",4,100
"CS","score",5,
"CS","score",6,
"CS","score",7,
"CS","score",8,
"CS","score",9,
"CS","status",0,82.06
"CS","status",1,65.72
"CS","status",2,50.16
"CS","status",3,50.16
"CS","status",4,100
"CS","status",5,
"CS","status",6,
"CS","status",7,
"CS","status",8,
"CS","status",9,
"CS","trend",1,-0.3
"CS","trend",2,0
"CS","trend",3,0
"CS","trend",4,
"CS","trend",5,
"CS","trend",6,
"CS","trend",7,
"CS","trend",8,
"CS","trend",9,
"CW","future",0,93.52
"CW","future",1,71.07
"CW","future",2,100
"CW","future",3,100
"CW","future",4,94.15
"CW","future",5,83.43
"CW","future",6,83.43
"CW","future",7,83.43
"CW","future",8,100
"CW","future",9,100
"CW","pressures",1,55.41
"CW","pressures",2,25.31
"CW","pressures",3,25.31
"CW","pressures",4,54.91
"CW","pressures",5,53.35
"CW","pressures",6,53.35
"CW","pressures",7,53.35
"CW","pressures",8,30.68
"CW","pressures",9,30.68
"CW","resilience",1,37.1
"CW","resilience",2,65.98
"CW","resilience",3,65.98
"CW","resilience",4,67.88
"CW","resilience",5,93.11
"CW","resilience",6,93.11
"CW","resilience",7,93.11
"CW","resilience",8,88.96
"CW","resilience",9,88.96
"CW","score",0,89.74
"CW","score",1,74.09
"CW","score",2,95.69
"CW","score",3,95.69
"CW","score",4,91.19
"CW","score",5,78.78
"CW","score",6,78.78
"CW","score",7,78.78
"CW","score",8,94.44
"CW","score",9,94.44
"CW","status",0,85.96
"CW","status",1,77.11
"CW","status",2,91.38
"CW","status",3,91.38
"CW","status",4,88.24
"CW","status",5,74.12
"CW","status",6,74.12
"CW","status",7,74.12
"CW","status",8,88.88
"CW","status",9,88.88
"CW","trend",1,-0.03
"CW","trend",2,-0.01
"CW","trend",3,-0.01
"CW","trend",4,0.04
"CW","trend",5,-0.01
"CW","trend",6,-0.01
"CW","trend",7,-0.01
"CW","trend",8,0
"CW","trend",9,0
"ECO","future",0,97.32
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",3,100
"ECO","future",4,100
"ECO","future",5,100
"ECO","future",6,100
"ECO","future",7,
"ECO","future",8,86.9
"ECO","future",9,86.9
"ECO","pressures",1,22.8
"ECO","pressures",2,13.61
"ECO","pressures",3,13.61
"ECO","pressures",4,38.35
"ECO","pressures",5,16.51
"ECO","pressures",6,16.51
"ECO","pressures",7,16.51
"ECO","pressures",8,15.52
"ECO","pressures",9,15.52
"ECO","resilience",1,76.7
"ECO","resilience",2,78.43
"ECO","resilience",3,78.43
"ECO","resilience",4,49.1
"ECO","resilience",5,81.35
"ECO","resilience",6,81.35
"ECO","resilience",7,81.35
"ECO","resilience",8,74.94
"ECO","resilience",9,74.94
"ECO","score",0,97.09
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",3,100
"ECO","score",4,100
"ECO","score",5,100
"ECO","score",6,100
"ECO","score",7,
"ECO","score",8,85.75
"ECO","score",9,85.75
"ECO","status",0,96.85
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","status",5,100
"ECO","status",6,100
"ECO","status",7,
"ECO","status",8,84.6
"ECO","status",9,84.6
"ECO","trend",1,1
"ECO","trend",2,0.25
"ECO","trend",3,-0.22
"ECO","trend",4,1
"ECO","trend",5,1
"ECO","trend",6,1
"ECO","trend",7,
"ECO","trend",8,-0.25
"ECO","trend",9,-0.25
"FIS","future",0,
"FIS","future",1,
"FIS","future",2,
"FIS","future",3,
"FIS","future",4,
"FIS","future",5,
"FIS","future",6,
"FIS","future",7,
"FIS","future",8,
"FIS","future",9,
"FIS","pressures",1,20.2
"FIS","pressures",2,14.59
"FIS","pressures",3,14.59
"FIS","pressures",4,36.32
"FIS","pressures",5,15.53
"FIS","pressures",6,15.53
"FIS","pressures",7,15.53
"FIS","pressures",8,13.3
"FIS","pressures",9,13.3
"FIS","resilience",1,71.9
"FIS","resilience",2,75.92
"FIS","resilience",3,75.92
"FIS","resilience",4,52.37
"FIS","resilience",5,80.04
"FIS","resilience",6,80.04
"FIS","resilience",7,80.04
"FIS","resilience",8,73.95
"FIS","resilience",9,73.95
"FIS","score",0,
"FIS","score",1,
"FIS","score",2,
"FIS","score",3,
"FIS","score",4,
"FIS","score",5,
"FIS","score",6,
"FIS","score",7,
"FIS","score",8,
"FIS","score",9,
"FIS","status",0,
"FIS","status",1,
"FIS","status",2,
"FIS","status",3,
"FIS","status",4,
"FIS","status",5,
"FIS","status",6,
"FIS","status",7,
"FIS","status",8,
"FIS","status",9,
"FIS","trend",1,-0.01
"FIS","trend",2,0.24
"FIS","trend",3,-0.01
"FIS","trend",4,-0.1
"FIS","trend",5,0.17
"FIS","trend",6,-0.06
"FIS","trend",7,0.1
"FIS","trend",8,0.14
"FIS","trend",9,-0.2
"FP","future",0,34.21
"FP","future",1,32.79
"FP","future",2,35.92
"FP","future",3,35.92
"FP","future",4,32.11
"FP","future",5,37.2
"FP","future",6,37.2
"FP","future",7,37.2
"FP","future",8,
"FP","future",9,
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",3,
"FP","pressures",4,
"FP","pressures",5,
"FP","pressures",6,
"FP","pressures",7,
"FP","pressures",8,
"FP","pressures",9,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",3,
"FP","resilience",4,
"FP","resilience",5,
"FP","resilience",6,
"FP","resilience",7,
"FP","resilience",8,
"FP","resilience",9,
"FP","score",0,32.1
"FP","score",1,31.39
