"goal","method","reference_point"
"AO","??",NA
"CS","Health/condition variable based on current vs. historic extent","varies for each region/habitat"
"CP","Health/condition variable based on current vs. historic extent","varies for each region/habitat"
"TR","spatial: 90th quantile","0.029423328"
"ICO","scaled IUCN risk categories",NA
"LSP","30% marine protected area; 30% coastal protected area","varies by area of region's eez and 1 km inland"
"CW","spatial: pressures scaled from 0-1 at raster level",NA
"HAB","Health/condition variable based on current vs. historic extent","varies for each region/habitat"
"SPP","Average of IUCN risk categories, scaled to historic extinction",NA
"LSP","30% marine protected area; 30% coastal protected area","varies by area of region's eez and 1 km inland"
"TR","spatial: 90th quantile","5.958515889744"
"TR","spatial: 90th quantile","5.83035998889267"
"TR","spatial: 90th quantile","5.454756547384"
"TR","spatial: 90th quantile","5.339046172226"
"TR","spatial: 90th quantile","4.90757858186667"
"TR","spatial: 90th quantile","5.9821641482"
"TR","spatial: 90th quantile","5.64219339044"
"TR","spatial: 90th quantile","6.79147142744533"
"TR","spatial: 90th quantile","6.74511326826667"
"TR","spatial: 90th quantile","6.70600474420133"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","4.90757858186667"
"TR","spatial: 90th quantile","5.9821641482"
"TR","spatial: 90th quantile","5.64219339044"
"TR","spatial: 90th quantile","6.79147142744533"
"TR","spatial: 90th quantile","6.74511326826667"
"TR","spatial: 90th quantile","6.70600474420133"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","6.27352304413333"
"TR","spatial: 90th quantile","6.92306167373333"
"TR","spatial: 90th quantile","6.82445043466667"
"TR","spatial: 90th quantile","5.958515889744"
"TR","spatial: 90th quantile","5.83035998889267"
"TR","spatial: 90th quantile","5.454756547384"
"TR","spatial: 90th quantile","5.339046172226"
"TR","spatial: 90th quantile","4.90757858186667"
"TR","spatial: 90th quantile","5.9821641482"
"TR","spatial: 90th quantile","5.64219339044"
"TR","spatial: 90th quantile","6.79147142744533"
"TR","spatial: 90th quantile","6.74511326826667"
"TR","spatial: 90th quantile","6.70600474420133"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","5.67265026197333"
"TR","spatial: 90th quantile","5.64219339044"
"TR","spatial: 90th quantile","6.79147142744533"
"TR","spatial: 90th quantile","6.74511326826667"
"TR","spatial: 90th quantile","6.70600474420133"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","5.9821641482"
"TR","spatial: 90th quantile","5.64219339044"
"TR","spatial: 90th quantile","6.79147142744533"
"TR","spatial: 90th quantile","6.74511326826667"
"TR","spatial: 90th quantile","6.70600474420133"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","5.64219339044"
"TR","spatial: 90th quantile","6.79147142744533"
"TR","spatial: 90th quantile","6.74511326826667"
"TR","spatial: 90th quantile","6.70600474420133"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile",NA
"TR","spatial: 90th quantile","4.90757858186667"
"TR","spatial: 90th quantile","5.9821641482"
"TR","spatial: 90th quantile","5.64219339044"
"TR","spatial: 90th quantile","6.79147142744533"
"TR","spatial: 90th quantile","6.74511326826667"
"TR","spatial: 90th quantile","6.70600474420133"
"TR","spatial: 90th quantile","4.90757858186667"
"TR","spatial: 90th quantile","5.9821641482"
"TR","spatial: 90th quantile","5.64219339044"
"TR","spatial: 90th quantile","6.79147142744533"
"TR","spatial: 90th quantile","6.74511326826667"
"TR","spatial: 90th quantile","6.70600474420133"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","8.36138032156667"
"TR","spatial: 90th quantile","8.36138032156667"
